orcid,full_name,first_name,last_name,version,name,type,organ,hubmap_id
0000-0002-3959-1712,Christine Curcio,Christine,Curcio,v1.3,eye,asct-b,Eye,HBM262.HRHH.693
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.0,fallopian-tube,asct-b,Fallopian tube,HBM579.XTKX.649
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.1,fallopian-tube,asct-b,Fallopian tube,HBM522.SVHM.477
0000-0001-8034-7685,Stephen Fisher,Stephen,Fisher,v1.1,fallopian-tube,asct-b,Fallopian tube,HBM522.SVHM.477
0000-0003-0118-0413,Shin Lin,Shin,Lin,v1.0,heart,asct-b,Heart,HBM873.NNVD.559
0000-0002-7112-7389,Marc Halushka,Marc,Halushka,v1.0,heart,asct-b,Heart,HBM873.NNVD.559
0000-0003-0118-0413,Shin Lin,Shin,Lin,v1.1,heart,asct-b,Heart,HBM876.HSSQ.977
0000-0002-7112-7389,Marc Halushka,Marc,Halushka,v1.1,heart,asct-b,Heart,HBM876.HSSQ.977
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.1,heart,asct-b,Heart,HBM876.HSSQ.977
0000-0003-0118-0413,Shin Lin,Shin,Lin,v1.2,heart,asct-b,Heart,HBM877.BTSR.898
0000-0002-7112-7389,Marc Halushka,Marc,Halushka,v1.2,heart,asct-b,Heart,HBM877.BTSR.898
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.2,heart,asct-b,Heart,HBM877.BTSR.898
0000-0002-0935-7300,Teri A. Longacre,Teri,Longacre,v1.0,intestine-large,asct-b,Intestine,HBM287.KVCD.758
0000-0001-5675-3974,John Hickey,John,Hickey,v1.0,intestine-large,asct-b,Intestine,HBM287.KVCD.758
0000-0002-0317-7608,Yiing Lin,Yiing,Lin,v1.0,intestine-large,asct-b,Intestine,HBM287.KVCD.758
0000-0003-2804-127X,Sanjay Jain,Sanjay,Jain,v1.0,kidney,asct-b,Kidney,HBM325.PTQS.258
0000-0001-8143-9231,M. Todd Valerius,M.,Valerius,v1.0,kidney,asct-b,Kidney,HBM325.PTQS.258
0000-0001-9189-9661,Yongqun He,Yongqun,He,v1.0,kidney,asct-b,Kidney,HBM325.PTQS.258
0000-0003-2804-127X,Sanjay Jain,Sanjay,Jain,v1.1,kidney,asct-b,Kidney,HBM673.ZZDK.622
0000-0001-8143-9231,M. Todd Valerius,M.,Valerius,v1.1,kidney,asct-b,Kidney,HBM673.ZZDK.622
0000-0001-9189-9661,Yongqun He,Yongqun,He,v1.1,kidney,asct-b,Kidney,HBM673.ZZDK.622
0000-0003-2804-127X,Sanjay Jain,Sanjay,Jain,v1.2,kidney,asct-b,Kidney,HBM248.CBJV.556
0000-0001-8143-9231,M. Todd Valerius,M.,Valerius,v1.2,kidney,asct-b,Kidney,HBM248.CBJV.556
0000-0001-9189-9661,Yongqun He,Yongqun,He,v1.2,kidney,asct-b,Kidney,HBM248.CBJV.556
0000-0003-2804-127X,Sanjay Jain,Sanjay,Jain,v1.3,kidney,asct-b,Kidney,HBM944.SVLH.825
0000-0001-8143-9231,M. Todd Valerius,M.,Valerius,v1.3,kidney,asct-b,Kidney,HBM944.SVLH.825
0000-0001-9189-9661,Yongqun He,Yongqun,He,v1.3,kidney,asct-b,Kidney,HBM944.SVLH.825
0000-0003-4645-3614,Tarek El-Achkar,Tarek,El-Achkar,v1.3,kidney,asct-b,Kidney,HBM944.SVLH.825
0000-0003-3066-2876,Michael Eadon,Michael,Eadon,v1.3,kidney,asct-b,Kidney,HBM944.SVLH.825
0000-0001-9198-5498,Jeffrey Spraggins,Jeffrey,Spraggins,v1.3,kidney,asct-b,Kidney,HBM944.SVLH.825
0000-0001-7852-7775,David Rowe,David,Rowe,v1.0,knee,asct-b,Knee,HBM533.JRGW.354
0000-0001-7852-7775,David Rowe,David,Rowe,v1.1,knee,asct-b,Knee,HBM433.MCBL.623
0000-0002-0935-7300,Teri A. Longacre,Teri,Longacre,v1.1,large-intestine,asct-b,Large intestine,HBM325.NZPB.589
0000-0001-5675-3974,John Hickey,John,Hickey,v1.1,large-intestine,asct-b,Large intestine,HBM325.NZPB.589
0000-0002-0317-7608,Yiing Lin,Yiing,Lin,v1.1,large-intestine,asct-b,Large intestine,HBM325.NZPB.589
0000-0002-0935-7300,Teri A. Longacre,Teri,Longacre,v1.2,large-intestine,asct-b,Large intestine,HBM494.RRLD.598
0000-0001-5675-3974,John Hickey,John,Hickey,v1.2,large-intestine,asct-b,Large intestine,HBM494.RRLD.598
0000-0002-0317-7608,Yiing Lin,Yiing,Lin,v1.2,large-intestine,asct-b,Large intestine,HBM494.RRLD.598
0000-0002-0935-7300,Teri A. Longacre,Teri,Longacre,v1.3,large-intestine,asct-b,Large intestine,HBM243.ZZGL.262
0000-0001-5675-3974,John Hickey,John,Hickey,v1.3,large-intestine,asct-b,Large intestine,HBM243.ZZGL.262
0000-0002-0317-7608,Yiing Lin,Yiing,Lin,v1.3,large-intestine,asct-b,Large intestine,HBM243.ZZGL.262
0000-0003-1940-6740,Anna Maria Masci,Anna,Masci,v1.0,liver,asct-b,Liver,HBM476.BQCC.574
0000-0002-4174-2786,Tim Kendall,Tim,Kendall,v1.0,liver,asct-b,Liver,HBM476.BQCC.574
0000-0003-1824-1067,Ayako Suzuki,Ayako,Suzuki,v1.0,liver,asct-b,Liver,HBM476.BQCC.574
0000-0003-1940-6740,Anna Maria Masci,Anna,Masci,v1.1,liver,asct-b,Liver,HBM456.SLDZ.399
0000-0002-4174-2786,Tim Kendall,Tim,Kendall,v1.1,liver,asct-b,Liver,HBM456.SLDZ.399
0000-0003-1824-1067,Ayako Suzuki,Ayako,Suzuki,v1.1,liver,asct-b,Liver,HBM456.SLDZ.399
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.0,lung,asct-b,Lung,HBM868.DWJZ.874
0000-0001-8387-4966,Xin Sun,Xin,Sun,v1.0,lung,asct-b,Lung,HBM868.DWJZ.874
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.1,lung,asct-b,Lung,HBM323.SGDF.945
0000-0001-8387-4966,Xin Sun,Xin,Sun,v1.1,lung,asct-b,Lung,HBM323.SGDF.945
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.2,lung,asct-b,Lung,HBM396.QVLQ.449
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.3,lung,asct-b,Lung,HBM496.MNTH.952
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.0,lymph-node,asct-b,Lymph node,HBM375.LMPC.837
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.0,lymph-node,asct-b,Lymph node,HBM375.LMPC.837
0000-0002-3522-8932,Clive Wasserfall,Clive,Wasserfall,v1.0,lymph-node,asct-b,Lymph node,HBM375.LMPC.837
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.1,lymph-node,asct-b,Lymph node,HBM573.SHCQ.259
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.1,lymph-node,asct-b,Lymph node,HBM573.SHCQ.259
0000-0001-6870-0300,Natalie Rodriguez,Natalie,Rodriguez,v1.1,lymph-node,asct-b,Lymph node,HBM573.SHCQ.259
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.2,lymph-node,asct-b,Lymph node,HBM437.JQVC.953
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.2,lymph-node,asct-b,Lymph node,HBM437.JQVC.953
0000-0001-6870-0300,Natalie Rodriguez,Natalie,Rodriguez,v1.2,lymph-node,asct-b,Lymph node,HBM437.JQVC.953
0000-0002-6300-1647,Dhruv Singhal,Dhruv,Singhal,v1.0,lymph-vasculature,asct-b,Lymph vasculature,HBM559.TDMB.283
0000-0003-1361-7109,Maxim Itkin,Maxim,Itkin,v1.0,lymph-vasculature,asct-b,Lymph vasculature,HBM559.TDMB.283
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.0,lymph-vasculature,asct-b,Lymph vasculature,HBM559.TDMB.283
0000-0002-6300-1647,Dhruv Singhal,Dhruv,Singhal,v1.1,lymph-vasculature,asct-b,Lymph vasculature,HBM577.JGGH.294
0000-0003-1361-7109,Maxim Itkin,Maxim,Itkin,v1.1,lymph-vasculature,asct-b,Lymph vasculature,HBM577.JGGH.294
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.1,lymph-vasculature,asct-b,Lymph vasculature,HBM577.JGGH.294
0000-0002-6300-1647,Dhruv Singhal,Dhruv,Singhal,v1.2,lymph-vasculature,asct-b,Lymph vasculature,HBM469.NHVB.448
0000-0003-1361-7109,Maxim Itkin,Maxim,Itkin,v1.2,lymph-vasculature,asct-b,Lymph vasculature,HBM469.NHVB.448
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.2,lymph-vasculature,asct-b,Lymph vasculature,HBM469.NHVB.448
0000-0002-6300-1647,Dhruv Singhal,Dhruv,Singhal,v1.3,lymph-vasculature,asct-b,Lymph vasculature,HBM738.GKLM.876
0000-0003-1361-7109,Maxim Itkin,Maxim,Itkin,v1.3,lymph-vasculature,asct-b,Lymph vasculature,HBM738.GKLM.876
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.3,lymph-vasculature,asct-b,Lymph vasculature,HBM738.GKLM.876
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.0,main-bronchus,asct-b,Main bronchus,HBM928.WTVJ.677
0000-0002-5574-4272,Katherine S Gustilo,Katherine,Gustilo,v1.0,muscular-system,asct-b,Muscular system,HBM944.CLLD.594
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.0,muscular-system,asct-b,Muscular system,HBM944.CLLD.594
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.0,ovary,asct-b,Ovary,HBM643.BVHM.572
0000-0003-4503-8494,Elizabeth Tsui,Elizabeth,Tsui,v1.0,ovary,asct-b,Ovary,HBM643.BVHM.572
0000-0001-7840-4695,Monica M. Laronda,Monica,Laronda,v1.0,ovary,asct-b,Ovary,HBM643.BVHM.572
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.1,ovary,asct-b,Ovary,HBM825.SJZF.445
0000-0003-4503-8494,Elizabeth Tsui,Elizabeth,Tsui,v1.1,ovary,asct-b,Ovary,HBM825.SJZF.445
0000-0001-7840-4695,Monica M. Laronda,Monica,Laronda,v1.1,ovary,asct-b,Ovary,HBM825.SJZF.445
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.2,ovary,asct-b,Ovary,HBM878.KBTH.462
0000-0001-7840-4695,Monica M Laronda,Monica,Laronda,v1.2,ovary,asct-b,Ovary,HBM878.KBTH.462
0000-0001-5336-2943,Jacqueline Maher,Jacqueline,Maher,v1.2,ovary,asct-b,Ovary,HBM878.KBTH.462
0000-0001-9396-2142,Veronica Gomez-Lobo,Veronica,Gomez-Lobo,v1.2,ovary,asct-b,Ovary,HBM878.KBTH.462
0000-0001-8034-7685,Stephen Fisher,Stephen,Fisher,v1.2,ovary,asct-b,Ovary,HBM878.KBTH.462
0000-0001-6878-1235,Martha Campbell-Thompson,Martha,Campbell-Thompson,v1.0,pancreas,asct-b,Pancreas,HBM332.TMXM.592
0000-0001-9028-338X,Adel Eskaros,Adel,Eskaros,v1.0,pancreas,asct-b,Pancreas,HBM332.TMXM.592
0000-0002-8849-6746,Diane Saunders,Diane,Saunders,v1.0,pancreas,asct-b,Pancreas,HBM332.TMXM.592
0000-0001-6878-1235,Martha Campbell-Thompson,Martha,Campbell-Thompson,v1.1,pancreas,asct-b,Pancreas,HBM557.XHHV.557
0000-0001-9028-338X,Adel Eskaros,Adel,Eskaros,v1.1,pancreas,asct-b,Pancreas,HBM557.XHHV.557
0000-0002-8849-6746,Diane Saunders,Diane,Saunders,v1.1,pancreas,asct-b,Pancreas,HBM557.XHHV.557
0000-0001-6878-1235,Martha Campbell-Thompson,Martha,Campbell-Thompson,v1.2,pancreas,asct-b,Pancreas,HBM975.BBTF.393
0000-0001-9028-338X,Adel Eskaros,Adel,Eskaros,v1.2,pancreas,asct-b,Pancreas,HBM975.BBTF.393
0000-0002-8849-6746,Diane Saunders,Diane,Saunders,v1.2,pancreas,asct-b,Pancreas,HBM975.BBTF.393
0000-0001-7183-2638,Nazanin Ebrahimi,Nazanin,Ebrahimi,v1.0,peripheral-nervous-system,asct-b,Peripheral nervous system,HBM462.NJKR.937
0000-0001-7183-2638,Bernard de Bono,Bernard,Bono,v1.0,peripheral-nervous-system,asct-b,Peripheral nervous system,HBM462.NJKR.937
0000-0002-2095-7534,Louise Laurent,Louise,Laurent,v1.0,placenta-full-term,asct-b,Placenta full term,HBM446.WGLG.755
000-0001-5963-2246,Mana Parast,Mana,Parast,v1.0,placenta-full-term,asct-b,Placenta full term,HBM446.WGLG.755
0000-0002-0117-7444,Kathleen Fisch,Kathleen,Fisch,v1.0,placenta-full-term,asct-b,Placenta full term,HBM446.WGLG.755
0000-0002-0746-927X,Douglas Strand,Douglas,Strand,v1.0,prostate,asct-b,Prostate,HBM835.WCGP.479
0000-0001-7058-5399,Chad Vezina,Chad,Vezina,v1.0,prostate,asct-b,Prostate,HBM835.WCGP.479
0000-0002-5574-4272,Katherine S Gustilo,Katherine,Gustilo,v1.0,skeleton,asct-b,Skeleton,HBM233.TRCP.638
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.0,skeleton,asct-b,Skeleton,HBM233.TRCP.638
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.0,skin,asct-b,Skin,HBM227.WHPG.367
0000-0002-1134-8585,Jonhan Ho,Jonhan,Ho,v1.0,skin,asct-b,Skin,HBM227.WHPG.367
0000-0001-9987-6712,Joel Sunshine,Joel,Sunshine,v1.0,skin,asct-b,Skin,HBM227.WHPG.367
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.1,skin,asct-b,Skin,HBM423.RTRR.746
0000-0002-1134-8585,Jonhan Ho,Jonhan,Ho,v1.1,skin,asct-b,Skin,HBM423.RTRR.746
0000-0001-9987-6712,Joel Sunshine,Joel,Sunshine,v1.1,skin,asct-b,Skin,HBM423.RTRR.746
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.2,skin,asct-b,Skin,HBM725.JHNS.532
0000-0002-1134-8585,Jonhan Ho,Jonhan,Ho,v1.2,skin,asct-b,Skin,HBM725.JHNS.532
0000-0001-9987-6712,Joel Sunshine,Joel,Sunshine,v1.2,skin,asct-b,Skin,HBM725.JHNS.532
