tissue_general,tissue_general_ontology_term_id,tissue,tissue_ontology_term_id,dataset_id,self_reported_ethnicity,self_reported_ethnicity_ontology_term_id,sex,sex_ontology_term_id,suspension_type,collection_id,collection_name,collection_doi,pubyear,dataset_title,dataset_h5ad_path,dataset_total_cell_count
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,d3a83885-5198-4b04-8314-b753b66ef9a8,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,d3a83885-5198-4b04-8314-b753b66ef9a8.h5ad,19037
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,d3a83885-5198-4b04-8314-b753b66ef9a8,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,d3a83885-5198-4b04-8314-b753b66ef9a8.h5ad,19037
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,d3a83885-5198-4b04-8314-b753b66ef9a8,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,d3a83885-5198-4b04-8314-b753b66ef9a8.h5ad,19037
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,d3a83885-5198-4b04-8314-b753b66ef9a8,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,d3a83885-5198-4b04-8314-b753b66ef9a8.h5ad,19037
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,d3a83885-5198-4b04-8314-b753b66ef9a8,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,d3a83885-5198-4b04-8314-b753b66ef9a8.h5ad,19037
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,d3a83885-5198-4b04-8314-b753b66ef9a8,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,d3a83885-5198-4b04-8314-b753b66ef9a8.h5ad,19037
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7.h5ad,83451
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7.h5ad,83451
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7.h5ad,83451
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,8b2e5453-faf7-46ea-9073-aea69b283cb7,European,HANCESTRO:0005,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Human Cells,8b2e5453-faf7-46ea-9073-aea69b283cb7.h5ad,28847
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,8b2e5453-faf7-46ea-9073-aea69b283cb7,Asian,HANCESTRO:0008,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Human Cells,8b2e5453-faf7-46ea-9073-aea69b283cb7.h5ad,28847
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,df287f8d-f50d-4620-ab96-489d559e6adc,European,HANCESTRO:0005,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells,df287f8d-f50d-4620-ab96-489d559e6adc.h5ad,1295
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,df287f8d-f50d-4620-ab96-489d559e6adc,Asian,HANCESTRO:0008,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells,df287f8d-f50d-4620-ab96-489d559e6adc.h5ad,1295
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,8b2e5453-faf7-46ea-9073-aea69b283cb7,European,HANCESTRO:0005,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Human Cells,8b2e5453-faf7-46ea-9073-aea69b283cb7.h5ad,28847
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,8b2e5453-faf7-46ea-9073-aea69b283cb7,Asian,HANCESTRO:0008,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Human Cells,8b2e5453-faf7-46ea-9073-aea69b283cb7.h5ad,28847
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,df287f8d-f50d-4620-ab96-489d559e6adc,European,HANCESTRO:0005,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells,df287f8d-f50d-4620-ab96-489d559e6adc.h5ad,1295
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,df287f8d-f50d-4620-ab96-489d559e6adc,Asian,HANCESTRO:0008,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells,df287f8d-f50d-4620-ab96-489d559e6adc.h5ad,1295
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,88c483bf-477d-4be5-90d3-4fb101dd601f,Asian,HANCESTRO:0008,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f.h5ad,25186
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,88c483bf-477d-4be5-90d3-4fb101dd601f,European,HANCESTRO:0005,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f.h5ad,25186
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,88c483bf-477d-4be5-90d3-4fb101dd601f,Asian,HANCESTRO:0008,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f.h5ad,25186
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,88c483bf-477d-4be5-90d3-4fb101dd601f,European,HANCESTRO:0005,male,PATO:0000384,cell,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f.h5ad,25186
lung,UBERON:0002048,lung,UBERON:0002048,e9175006-8978-4417-939f-819855eab80e,Asian,HANCESTRO:0008,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Myeloid cells,e9175006-8978-4417-939f-819855eab80e.h5ad,14072
lung,UBERON:0002048,lung,UBERON:0002048,e9175006-8978-4417-939f-819855eab80e,Asian,HANCESTRO:0008,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Myeloid cells,e9175006-8978-4417-939f-819855eab80e.h5ad,14072
lung,UBERON:0002048,lung,UBERON:0002048,e9175006-8978-4417-939f-819855eab80e,European,HANCESTRO:0005,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Myeloid cells,e9175006-8978-4417-939f-819855eab80e.h5ad,14072
lung,UBERON:0002048,lung,UBERON:0002048,e9175006-8978-4417-939f-819855eab80e,African American,HANCESTRO:0568,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Myeloid cells,e9175006-8978-4417-939f-819855eab80e.h5ad,14072
lung,UBERON:0002048,lung,UBERON:0002048,e9175006-8978-4417-939f-819855eab80e,European,HANCESTRO:0005,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Myeloid cells,e9175006-8978-4417-939f-819855eab80e.h5ad,14072
lung,UBERON:0002048,lung,UBERON:0002048,f64e1be1-de15-4d27-8da4-82225cd4c035,Asian,HANCESTRO:0008,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Immune cells,f64e1be1-de15-4d27-8da4-82225cd4c035.h5ad,73047
lung,UBERON:0002048,lung,UBERON:0002048,f64e1be1-de15-4d27-8da4-82225cd4c035,African American,HANCESTRO:0568,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Immune cells,f64e1be1-de15-4d27-8da4-82225cd4c035.h5ad,73047
lung,UBERON:0002048,lung,UBERON:0002048,f64e1be1-de15-4d27-8da4-82225cd4c035,European,HANCESTRO:0005,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Immune cells,f64e1be1-de15-4d27-8da4-82225cd4c035.h5ad,73047
lung,UBERON:0002048,lung,UBERON:0002048,f64e1be1-de15-4d27-8da4-82225cd4c035,European,HANCESTRO:0005,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Immune cells,f64e1be1-de15-4d27-8da4-82225cd4c035.h5ad,73047
lung,UBERON:0002048,lung,UBERON:0002048,f64e1be1-de15-4d27-8da4-82225cd4c035,Asian,HANCESTRO:0008,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Immune cells,f64e1be1-de15-4d27-8da4-82225cd4c035.h5ad,73047
lung,UBERON:0002048,lung,UBERON:0002048,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,European,HANCESTRO:0005,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Epithelial cells,a6858c10-c52a-4a1d-bc12-a90dbd51ca66.h5ad,64091
lung,UBERON:0002048,lung,UBERON:0002048,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,Asian,HANCESTRO:0008,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Epithelial cells,a6858c10-c52a-4a1d-bc12-a90dbd51ca66.h5ad,64091
lung,UBERON:0002048,lung,UBERON:0002048,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,European,HANCESTRO:0005,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Epithelial cells,a6858c10-c52a-4a1d-bc12-a90dbd51ca66.h5ad,64091
lung,UBERON:0002048,lung,UBERON:0002048,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,African American,HANCESTRO:0568,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Epithelial cells,a6858c10-c52a-4a1d-bc12-a90dbd51ca66.h5ad,64091
lung,UBERON:0002048,lung,UBERON:0002048,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,Asian,HANCESTRO:0008,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,Epithelial cells,a6858c10-c52a-4a1d-bc12-a90dbd51ca66.h5ad,64091
lung,UBERON:0002048,lung,UBERON:0002048,486486d4-9462-43e5-9249-eb43fa5a49a6,Asian,HANCESTRO:0008,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,T cells,486486d4-9462-43e5-9249-eb43fa5a49a6.h5ad,46140
lung,UBERON:0002048,lung,UBERON:0002048,486486d4-9462-43e5-9249-eb43fa5a49a6,European,HANCESTRO:0005,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,T cells,486486d4-9462-43e5-9249-eb43fa5a49a6.h5ad,46140
lung,UBERON:0002048,lung,UBERON:0002048,486486d4-9462-43e5-9249-eb43fa5a49a6,African American,HANCESTRO:0568,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,T cells,486486d4-9462-43e5-9249-eb43fa5a49a6.h5ad,46140
lung,UBERON:0002048,lung,UBERON:0002048,486486d4-9462-43e5-9249-eb43fa5a49a6,European,HANCESTRO:0005,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,T cells,486486d4-9462-43e5-9249-eb43fa5a49a6.h5ad,46140
lung,UBERON:0002048,lung,UBERON:0002048,486486d4-9462-43e5-9249-eb43fa5a49a6,Asian,HANCESTRO:0008,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,T cells,486486d4-9462-43e5-9249-eb43fa5a49a6.h5ad,46140
lung,UBERON:0002048,lung,UBERON:0002048,d4cfefa0-3a35-44eb-b848-d7a725b481e7,European,HANCESTRO:0005,male,PATO:0000384,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,NSCLC epithelial cells,d4cfefa0-3a35-44eb-b848-d7a725b481e7.h5ad,9778
lung,UBERON:0002048,lung,UBERON:0002048,d4cfefa0-3a35-44eb-b848-d7a725b481e7,Asian,HANCESTRO:0008,female,PATO:0000383,cell,62e8f058-9c37-48bc-9200-e767f318a8ec,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,2021,NSCLC epithelial cells,d4cfefa0-3a35-44eb-b848-d7a725b481e7.h5ad,9778
