,soma_joinid,collection_id,collection_name,collection_doi,dataset_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
29,29,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,c8f83821-a242-4ed7-86e9-7da077f5d348,white matter - astrocytes,c8f83821-a242-4ed7-86e9-7da077f5d348.h5ad,3596
30,30,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,c05e6940-729c-47bd-a2a6-6ce3730c4919,white matter - all cells,c05e6940-729c-47bd-a2a6-6ce3730c4919.h5ad,45528
31,31,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,894573ad-498f-47ee-9bec-ad0880147eea,white matter - neurons,894573ad-498f-47ee-9bec-ad0880147eea.h5ad,10734
32,32,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,84242d25-f656-4ca6-8e8d-f3d2beeba11f,white matter - microglia,84242d25-f656-4ca6-8e8d-f3d2beeba11f.h5ad,3851
33,33,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,3d044b52-140a-4528-bf0d-a2dbef9e1f40,white matter - vascular cells,3d044b52-140a-4528-bf0d-a2dbef9e1f40.h5ad,4880
34,34,9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",10.1186/s40478-023-01568-z,12194ced-8086-458e-84a8-e2ab935d8db1,white matter - oligodendroglia,12194ced-8086-458e-84a8-e2ab935d8db1.h5ad,21968
35,35,26b5b4f6-828c-4791-b4a3-abb19e3b1952,Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy,,965386e9-1e4f-466d-bf59-ebdca4b66b9b,Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy,965386e9-1e4f-466d-bf59-ebdca4b66b9b.h5ad,92676
36,36,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,e47c65a8-7d2f-48b8-908e-04ea6505fa26,scRNA-seq data - vascular cells,e47c65a8-7d2f-48b8-908e-04ea6505fa26.h5ad,83651
37,37,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,c8d40d53-387b-48f2-9f89-72bfdb9c7c9f,scRNA-seq data - perivascular cells,c8d40d53-387b-48f2-9f89-72bfdb9c7c9f.h5ad,52638
38,38,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,a41202e6-173c-477c-8b4d-e0688ee1c4cb,scRNA-seq data - lymphatic cells,a41202e6-173c-477c-8b4d-e0688ee1c4cb.h5ad,8982
39,39,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,7f08cbcc-5790-4576-8478-10e9a999b316,snRNA-seq data - all cells,7f08cbcc-5790-4576-8478-10e9a999b316.h5ad,117346
40,40,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,3d0d6923-a2c4-476f-a53e-3b7bfa010d90,scRNA-seq data - fibroblasts,3d0d6923-a2c4-476f-a53e-3b7bfa010d90.h5ad,208390
41,41,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,2a7f90de-098a-4a6f-ac07-9e6462792412,scRNA-seq data - epithelial cells,2a7f90de-098a-4a6f-ac07-9e6462792412.h5ad,240804
42,42,e3aa612b-0d7d-4d3f-bbea-b8972a74dd4b,A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,10.1016/j.cell.2021.04.021,d7291f04-fbbb-4d65-990a-f01fa44e915b,Single-cell RNA-seq for all cortical & hippocampal regions (10x),d7291f04-fbbb-4d65-990a-f01fa44e915b.h5ad,1169213
43,43,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,8e10f1c4-8e98-41e5-b65f-8cd89a887122,All neurons,8e10f1c4-8e98-41e5-b65f-8cd89a887122.h5ad,2480956
44,44,6b701826-37bb-4356-9792-ff41fc4c3161,Abdominal White Adipose Tissue,,9d8e5dca-03a3-457d-b7fb-844c75735c83,22 integrated samples,9d8e5dca-03a3-457d-b7fb-844c75735c83.h5ad,72335
45,45,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,a6388a6f-6076-401b-9b30-7d4306a20035,scRNA-seq data - myeloid cells,a6388a6f-6076-401b-9b30-7d4306a20035.h5ad,30789
46,46,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,842c6f5d-4a94-4eef-8510-8c792d1124bc,scRNA-seq data - all cells,842c6f5d-4a94-4eef-8510-8c792d1124bc.h5ad,714331
47,47,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,74520626-b0ba-4ee9-86b5-714649554def,scRNA-seq data - T cells,74520626-b0ba-4ee9-86b5-714649554def.h5ad,76567
48,48,4195ab4c-20bd-4cd3-8b3d-65601277e731,A spatially resolved single cell genomic atlas of the adult human breast,10.1038/s41586-023-06252-9,396a9124-fb20-4822-bf9c-e93fdf7c999a,scRNA-seq data - B cells,396a9124-fb20-4822-bf9c-e93fdf7c999a.h5ad,12510
49,49,74e10dc4-cbb2-4605-a189-8a1cd8e44d8c,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,10.1016/j.cell.2021.12.018,e84f2780-51e8-4cfa-8aa0-13bbfef677c7,All cells from human liver dataset,e84f2780-51e8-4cfa-8aa0-13bbfef677c7.h5ad,167598
50,50,74e10dc4-cbb2-4605-a189-8a1cd8e44d8c,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,10.1016/j.cell.2021.12.018,dfdf1ae2-d624-4004-9353-f18b902f6bca,Myeloid cells from human liver dataset,dfdf1ae2-d624-4004-9353-f18b902f6bca.h5ad,40821
51,51,74e10dc4-cbb2-4605-a189-8a1cd8e44d8c,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,10.1016/j.cell.2021.12.018,d1cbed97-d88f-4954-8925-13302fe30b39,CD45 negative cells from human liver dataset,d1cbed97-d88f-4954-8925-13302fe30b39.h5ad,15481
52,52,74e10dc4-cbb2-4605-a189-8a1cd8e44d8c,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,10.1016/j.cell.2021.12.018,b03e4ef8-4e6b-47f4-84a7-e8ed033d08cd,Lymphoid cells from human liver dataset,b03e4ef8-4e6b-47f4-84a7-e8ed033d08cd.h5ad,105790
53,53,6d203948-a779-4b69-9b3f-1ee1dadc3980,"Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin",10.1016/j.celrep.2023.111994,f1f123cc-ca2c-460f-b7f1-88240efb1e82,UMAP visualization of keratinocyte subclusters,f1f123cc-ca2c-460f-b7f1-88240efb1e82.h5ad,9471
54,54,6d203948-a779-4b69-9b3f-1ee1dadc3980,"Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin",10.1016/j.celrep.2023.111994,de94c504-4b58-4f42-b68d-74a8e4892f0e,UMAP visualization of all 12 datasets,de94c504-4b58-4f42-b68d-74a8e4892f0e.h5ad,15243
55,55,6d203948-a779-4b69-9b3f-1ee1dadc3980,"Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin",10.1016/j.celrep.2023.111994,da684768-fb01-455b-9f0f-b63a3e2f844f,UMAP visualization of fibroblast subclusters,da684768-fb01-455b-9f0f-b63a3e2f844f.h5ad,2303
56,56,6f6d381a-7701-4781-935c-db10d30de293,The integrated Human Lung Cell Atlas,10.1038/s41591-023-02327-2,9f222629-9e39-47d0-b83f-e08d610c7479,An integrated cell atlas of the human lung in health and disease (full),9f222629-9e39-47d0-b83f-e08d610c7479.h5ad,2282447
57,57,ced320a1-29f3-47c1-a735-513c7084d508,Asian Immune Diversity Atlas (AIDA),,b0e547f0-462b-4f81-b31b-5b0a5d96f537,"AIDA Phase 1: Chinese, Indian, Japanese, Korean, and Malay donors in Japan, Singapore, and South Korea",b0e547f0-462b-4f81-b31b-5b0a5d96f537.h5ad,1058909
58,58,efd94500-1fdc-4e28-9e9f-a309d0154e21,HTAN MSK - Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies,10.1038/s41590-023-01504-2,d41f45c1-1b7b-4573-a998-ac5c5acb1647,Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies,d41f45c1-1b7b-4573-a998-ac5c5acb1647.h5ad,82991
59,59,1df8c90d-d299-4b2e-a54d-a5a80f36e780,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",10.1073/pnas.2103240118,f801b7a9-80a6-4d09-9161-71474deb58ae,"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",f801b7a9-80a6-4d09-9161-71474deb58ae.h5ad,6044
60,60,1df8c90d-d299-4b2e-a54d-a5a80f36e780,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",10.1073/pnas.2103240118,be39785b-67cb-4177-be19-a40ee3747e45,"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",be39785b-67cb-4177-be19-a40ee3747e45.h5ad,20509
61,61,1df8c90d-d299-4b2e-a54d-a5a80f36e780,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",10.1073/pnas.2103240118,4c6f9f26-5470-455b-8933-c408232fbf56,"chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",4c6f9f26-5470-455b-8933-c408232fbf56.h5ad,2576
62,62,48259aa8-f168-4bf5-b797-af8e88da6637,Human breast cell atlas,10.1101/2023.04.21.537845,be35c935-ee4f-475c-9d3c-97630d59a735,HBCA - stroma,be35c935-ee4f-475c-9d3c-97630d59a735.h5ad,413997
63,63,48259aa8-f168-4bf5-b797-af8e88da6637,Human breast cell atlas,10.1101/2023.04.21.537845,975e13b6-bec1-4eed-b46a-9be1f1357373,HBCA - epithelial,975e13b6-bec1-4eed-b46a-9be1f1357373.h5ad,353167
64,64,48259aa8-f168-4bf5-b797-af8e88da6637,Human breast cell atlas,10.1101/2023.04.21.537845,24ec2dc5-3573-4d66-a9e1-25b7dcf43e27,HBCA - immune,24ec2dc5-3573-4d66-a9e1-25b7dcf43e27.h5ad,23714
65,65,48259aa8-f168-4bf5-b797-af8e88da6637,Human breast cell atlas,10.1101/2023.04.21.537845,0ba636a1-4754-4786-a8be-7ab3cf760fd6,HBCA - global,0ba636a1-4754-4786-a8be-7ab3cf760fd6.h5ad,800198
66,66,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,c2876b1b-06d8-4d96-a56b-5304f815b99a,Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),c2876b1b-06d8-4d96-a56b-5304f815b99a.h5ad,1226855
67,67,7651ac1a-f947-463a-9223-a9e408a41989,Insulin is expressed by enteroendocrine cells during human fetal development,10.1038/s41591-021-01586-1,3f32121d-126b-4e8d-9f69-d86502d2a1b1,fetal and neonatal human small intestine cells,3f32121d-126b-4e8d-9f69-d86502d2a1b1.h5ad,36359
68,68,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,be46dfdc-0f99-4731-8957-64ca37364985,Mouse Somatic Cell Lineage,be46dfdc-0f99-4731-8957-64ca37364985.h5ad,50933
69,69,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,ac2fea99-ce08-4fca-8d03-a19f37bf21a3,Human Immune Cell Lineage,ac2fea99-ce08-4fca-8d03-a19f37bf21a3.h5ad,20556
70,70,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,a13bda79-9134-46c9-9ed1-a2858be9aafe,Mouse Male,a13bda79-9134-46c9-9ed1-a2858be9aafe.h5ad,32889
71,71,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,5695d556-974e-4d92-9e99-5f61b8695313,Mouse Germ Cells,5695d556-974e-4d92-9e99-5f61b8695313.h5ad,10411
72,72,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,535e9336-2d8d-43c3-944d-bcbebe20df8a,Human Male,535e9336-2d8d-43c3-944d-bcbebe20df8a.h5ad,133811
73,73,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,4fb330ab-2d74-4649-b58f-7ffef457efdf,Human Somatic Cell Lineage,4fb330ab-2d74-4649-b58f-7ffef457efdf.h5ad,191230
74,74,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,290d50c7-7158-4198-acf5-6d4b624fd3dc,Human Germ Cells,290d50c7-7158-4198-acf5-6d4b624fd3dc.h5ad,10993
75,75,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,18e2a8c5-33f7-455e-a58a-b2ba6921db27,Human Female,18e2a8c5-33f7-455e-a58a-b2ba6921db27.h5ad,213898
76,76,661a402a-2a5a-4c71-9b05-b346c57bc451,Single-cell roadmap of human gonadal development,10.1038/s41586-022-04918-4,12967895-3d58-4e93-be2c-4e1bcf4388d5,Mouse Female,12967895-3d58-4e93-be2c-4e1bcf4388d5.h5ad,69709
77,77,dfc09a93-bce0-4c77-893d-e153d1b7f9fa,Charting human development using a multi-endodermal organ atlas and organoid models,10.1016/j.cell.2021.04.028,ee195b7d-184d-4dfa-9b1c-51a7e601ac11,Adult duodenum,ee195b7d-184d-4dfa-9b1c-51a7e601ac11.h5ad,5200
78,78,dfc09a93-bce0-4c77-893d-e153d1b7f9fa,Charting human development using a multi-endodermal organ atlas and organoid models,10.1016/j.cell.2021.04.028,9968be68-ab65-4a38-9e1a-c9b6abece194,Developing Human Atlas,9968be68-ab65-4a38-9e1a-c9b6abece194.h5ad,155232
79,79,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,b165f033-9dec-468a-9248-802fc6902a74.h5ad,888263
80,80,e4c9ed14-e560-4900-a3bf-b0f8d2ce6a10,A molecular single-cell lung atlas of lethal COVID-19,10.1038/s41586-021-03569-1,d8da613f-e681-4c69-b463-e94f5e66847f,A molecular single-cell lung atlas of lethal COVID-19,d8da613f-e681-4c69-b463-e94f5e66847f.h5ad,116313
81,81,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,fe4b89d5-461e-440c-a5a8-621b37b122c0,TI epithelial,fe4b89d5-461e-440c-a5a8-621b37b122c0.h5ad,154136
82,82,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,a37f857c-779f-464e-9310-3db43a1811e7,TI immune,a37f857c-779f-464e-9310-3db43a1811e7.h5ad,201072
83,83,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,6cf3634d-e911-44ad-bf52-c747a9af3c01,colon stromal,6cf3634d-e911-44ad-bf52-c747a9af3c01.h5ad,39433
84,84,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,5ce42b38-d867-487f-9b40-e8bb00b21d0b,colon epithelial,5ce42b38-d867-487f-9b40-e8bb00b21d0b.h5ad,97788
85,85,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,518d9049-2a76-44f8-8abc-1e2b59ab5ba1,colon immune,518d9049-2a76-44f8-8abc-1e2b59ab5ba1.h5ad,152509
86,86,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,0f4865d5-8000-4f68-8ac7-f5efea9e5e70,TI stromal,0f4865d5-8000-4f68-8ac7-f5efea9e5e70.h5ad,75695
87,87,939769a8-d8d2-4d01-abfc-55699893fd49,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,f8c77961-67a7-4161-b8c2-61c3f917b54f,Amacrine cells of human eye,f8c77961-67a7-4161-b8c2-61c3f917b54f.h5ad,6101
88,88,939769a8-d8d2-4d01-abfc-55699893fd49,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,e6dad530-418b-47f9-af6e-472e56a7b314,All cell types of human eye,e6dad530-418b-47f9-af6e-472e56a7b314.h5ad,100055
89,89,939769a8-d8d2-4d01-abfc-55699893fd49,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,de17ac25-550a-4018-be75-bbb485a0636e,Myeloid cells of human eye,de17ac25-550a-4018-be75-bbb485a0636e.h5ad,395
90,90,939769a8-d8d2-4d01-abfc-55699893fd49,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,d95ab381-2b7c-4885-b168-0097ed4e397f,Cone cells of human eye,d95ab381-2b7c-4885-b168-0097ed4e397f.h5ad,1378
91,91,939769a8-d8d2-4d01-abfc-55699893fd49,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,cec9f9a5-8832-437d-99af-fb8237cde54b,Retinal ganglion cells of human eye,cec9f9a5-8832-437d-99af-fb8237cde54b.h5ad,1777
