,soma_joinid,feature_id,feature_name,feature_length
89,89,ENSG00000100997,ABHD12,4479
90,90,ENSG00000131969,ABHD12B,4551
91,91,ENSG00000139826,ABHD13,5313
92,92,ENSG00000248487,ABHD14A,2378
93,93,ENSG00000114786,ABHD14A-ACY1,4761
94,94,ENSG00000114779,ABHD14B,3161
95,95,ENSG00000168792,ABHD15,3492
96,96,ENSG00000264031,ABHD15-AS1,187
97,97,ENSG00000204427,ABHD16A,4059
98,98,ENSG00000183260,ABHD16B,1491
99,99,ENSG00000129968,ABHD17A,6163
100,100,ENSG00000107362,ABHD17B,3221
101,101,ENSG00000136379,ABHD17C,3620
102,102,ENSG00000164074,ABHD18,6733
103,103,ENSG00000140526,ABHD2,10068
104,104,ENSG00000158201,ABHD3,4337
105,105,ENSG00000100439,ABHD4,4070
106,106,ENSG00000011198,ABHD5,7539
107,107,ENSG00000163686,ABHD6,3563
108,108,ENSG00000127220,ABHD8,2162
109,109,ENSG00000136754,ABI1,4218
110,110,ENSG00000138443,ABI2,23275
111,111,ENSG00000108798,ABI3,2272
112,112,ENSG00000154175,ABI3BP,10978
113,113,ENSG00000097007,ABL1,7018
114,114,ENSG00000143322,ABL2,16689
115,115,ENSG00000099204,ABLIM1,10231
116,116,ENSG00000163995,ABLIM2,6166
117,117,ENSG00000173210,ABLIM3,7225
118,118,ENSG00000175164,ABO,7353
119,119,ENSG00000159842,ABR,12532
120,120,ENSG00000174429,ABRA,2754
121,121,ENSG00000146386,ABRACL,1137
122,122,ENSG00000163322,ABRAXAS1,7699
123,123,ENSG00000165660,ABRAXAS2,2955
124,124,ENSG00000146109,ABT1,2943
125,125,ENSG00000114626,ABTB1,6155
126,126,ENSG00000166016,ABTB2,4976
127,127,ENSG00000260246,AC000032.2,491
128,128,ENSG00000225929,AC000036.4,2030
129,129,ENSG00000223665,CTB-111F10.1,536
130,130,ENSG00000083622,AC000111.6,376
131,131,ENSG00000185065,AC000068.5,2097
132,132,ENSG00000273212,AC000068.10,460
133,133,ENSG00000273300,AC000068.9,427
134,134,ENSG00000284874,SEPT5-GP1BB,4669
135,135,ENSG00000236340,GRM8-AS1,1918
136,136,ENSG00000224138,AC000123.4,516
137,137,ENSG00000226770,AC000124.1,957
138,138,ENSG00000241921,AC000370.2,646
139,139,ENSG00000278727,AC000403.4,3585
140,140,ENSG00000283208,RP11-226E21.4,6145
141,141,ENSG00000254499,AC002056.5,284
142,142,ENSG00000225498,AC002064.5,733
143,143,ENSG00000234459,AC002064.4,289
144,144,ENSG00000237813,AC002066.1,1420
145,145,ENSG00000248636,RP11-768F21.1,1469
146,146,ENSG00000285090,COL1A2-AS1,1095
147,147,ENSG00000234695,TFPI2-DT,527
148,148,ENSG00000265975,CTB-41I6.2,557
149,149,ENSG00000266389,PIK3R5-DT,402
150,150,ENSG00000265618,CTB-96E2.7,1121
151,151,ENSG00000273171,CTB-96E2.2,851
152,152,ENSG00000261018,LL09NC01-254D11.1,1990
153,153,ENSG00000267698,AC002116.7,643
154,154,ENSG00000233420,AC002127.4,4119
155,155,ENSG00000271366,AC002128.5,618
156,156,ENSG00000259242,AC002306.1,937
157,157,ENSG00000235560,AC002310.12,1832
158,158,ENSG00000239791,AC002310.7,2129
159,159,ENSG00000261459,AC002310.11,1515
160,160,ENSG00000261433,CTC-297N7.1,541
161,161,ENSG00000263388,CTC-297N7.10,171
162,162,ENSG00000237741,AC002368.4,388
163,163,ENSG00000257268,RP1-74B13.2,581
164,164,ENSG00000225676,RP3-438O4.4,2210
165,165,ENSG00000227863,AC002383.2,2007
166,166,ENSG00000230941,AC002386.1,398
167,167,ENSG00000267049,AC002398.13,427
168,168,ENSG00000267328,AC002398.12,660
169,169,ENSG00000236472,AC002401.1,468
170,170,ENSG00000253927,GS1-39E22.1,771
171,171,ENSG00000254239,GS1-39E22.2,414
172,172,ENSG00000236197,PPP1R9A-AS1,4031
173,173,ENSG00000231170,AC002451.3,6742
174,174,ENSG00000237819,CDK6-AS1,667
175,175,ENSG00000223969,AC002456.2,4442
176,176,ENSG00000223646,AC002463.3,5132
177,177,ENSG00000260188,CTA-331P3.1,1530
178,178,ENSG00000241764,AC002467.7,3955
179,179,ENSG00000272829,XXbac-B135H6.18,395
180,180,ENSG00000226872,AC002472.11,714
181,181,ENSG00000232759,AC002480.3,2432
182,182,ENSG00000232949,AC002480.4,2141
183,183,ENSG00000232680,AC002511.3,1000
184,184,ENSG00000233214,AC002511.2,450
185,185,ENSG00000267653,RP1-193H18.3,584
186,186,ENSG00000261312,AC002550.5,1379
187,187,ENSG00000276571,AC002550.6,394
188,188,ENSG00000227782,CTC-529I10.2,802
189,189,ENSG00000275413,CTC-529I10.1,331
190,190,ENSG00000261872,RP5-867C24.5,673
191,191,ENSG00000255692,RP1-127H14.3,451
192,192,ENSG00000268193,AC002985.3,685
193,193,ENSG00000257767,RP11-162P23.2,784
194,194,ENSG00000268133,AC003002.4,456
195,195,ENSG00000268533,AC004076.7,521
196,196,ENSG00000268107,AC003005.4,2258
197,197,ENSG00000268266,AC003005.2,664
198,198,ENSG00000269026,AC003006.7,833
199,199,ENSG00000212663,RP1-122K4.3,544
200,200,ENSG00000233535,RP1-122K4.2,696
201,201,ENSG00000267211,RP5-1067M6.3,337
202,202,ENSG00000285486,RP5-1067M6.6,4061
203,203,ENSG00000267344,CTB-39G8.3,457
204,204,ENSG00000267446,CTB-39G8.2,386
205,205,ENSG00000234826,AC003084.2,435
206,206,ENSG00000227930,AC009508.1,499
207,207,ENSG00000236453,AC003092.1,1064
208,208,ENSG00000236938,AC003092.2,446
209,209,ENSG00000228768,AC003101.1,459
210,210,ENSG00000278546,RP1-41C23.4,442
211,211,ENSG00000260793,RP5-882C2.2,2012
212,212,ENSG00000227042,RP6-1O2.1,611
213,213,ENSG00000279159,RP3-394A18.1,49287
214,214,ENSG00000268392,AC003682.16,462
215,215,ENSG00000228543,GS1-519E5.1,1715
216,216,ENSG00000262302,RP1-4G17.5,489
217,217,ENSG00000268564,ILVBL-AS1,356
218,218,ENSG00000234859,AC003958.2,4067
219,219,ENSG00000263280,LA16c-325D7.2,850
220,220,ENSG00000263325,LA16c-325D7.1,265
221,221,ENSG00000269504,AC003973.4,5976
222,222,ENSG00000197462,AC005276.1,837
223,223,ENSG00000256695,RP1-166H1.2,410
224,224,ENSG00000235139,AC003984.1,4276
225,225,ENSG00000232821,AC003986.6,1711
226,226,ENSG00000236536,AC003986.7,692
227,227,ENSG00000234223,AC003988.1,578
228,228,ENSG00000228113,AC003991.3,4838
229,229,ENSG00000254003,SRI-AS1,576
230,230,ENSG00000224322,AC004009.3,1323
231,231,ENSG00000229603,AC004014.3,538
232,232,ENSG00000262482,LA16c-321D4.2,510
233,233,ENSG00000230612,AC004237.1,1789
234,234,ENSG00000251170,RP11-729M20.1,1632
235,235,ENSG00000248242,RP11-556I14.2,575
236,236,ENSG00000248984,AC004054.1,270
237,237,ENSG00000250522,AC004066.3,572
238,238,ENSG00000273447,AC004067.5,700
239,239,ENSG00000251259,AC004069.2,549
240,240,ENSG00000268163,AC004076.9,1028
241,241,ENSG00000276449,AC004076.5,3323
242,242,ENSG00000253308,RP1-170O19.17,757
243,243,ENSG00000253508,RP1-170O19.14,556
244,244,ENSG00000226851,AC004112.4,707
245,245,ENSG00000271133,ITGB8-AS1,896
246,246,ENSG00000262099,DHX33-DT,398
247,247,ENSG00000263272,CTC-524C5.2,1938
248,248,ENSG00000267440,LINC02594,1476
249,249,ENSG00000267666,AC004156.3,3319
250,250,ENSG00000260664,AC004158.3,5253
251,251,ENSG00000230435,AC004160.4,563
252,252,ENSG00000257494,RP3-521E19.2,751
253,253,ENSG00000267778,CBARP-DT,844
254,254,ENSG00000267457,RP5-837J1.4,544
255,255,ENSG00000267618,RP5-837J1.3,2002
256,256,ENSG00000273687,RP5-837J1.6,332
257,257,ENSG00000234477,AC004231.2,815
258,258,ENSG00000265359,RP5-1110E20.1,258
259,259,ENSG00000262899,LA16c-360H6.3,821
260,260,ENSG00000272079,LA16c-380H5.5,1269
261,261,ENSG00000274367,LA16c-380H5.6,417
262,262,ENSG00000257433,RP1-197B17.3,5445
263,263,ENSG00000263990,CTC-542B22.2,488
264,264,ENSG00000269635,AC004257.1,277
265,265,ENSG00000275936,RP1-278C19.8,678
266,266,ENSG00000268812,LIF-AS2,794
267,267,ENSG00000260510,AC004381.7,351
268,268,ENSG00000266101,RP5-906A24.2,573
269,269,ENSG00000235979,AC004448.5,4834
270,270,ENSG00000261204,AC004449.6,433
271,271,ENSG00000268069,RP5-1057I20.4,1080
272,272,ENSG00000276691,RP5-1057I20.5,546
273,273,ENSG00000237019,GS1-433O24.1,382
274,274,ENSG00000223461,AC004471.9,582
275,275,ENSG00000266341,RP5-890E16.4,192
276,276,ENSG00000278765,RP5-890E16.5,590
277,277,ENSG00000228944,AC004485.3,527
278,278,ENSG00000267122,AC004490.1,2738
279,279,ENSG00000272072,CTA-363E19.2,742
280,280,ENSG00000262312,LA16c-390H2.4,2955
281,281,ENSG00000237640,RP4-604G5.1,680
282,282,ENSG00000266990,LLNLR-284B4.2,641
283,283,ENSG00000274177,LLNLR-284B4.1,440
284,284,ENSG00000214870,AC004540.5,7236
285,285,ENSG00000225792,AC004540.4,2819
286,286,ENSG00000269972,RP3-430N8.10,264
287,287,ENSG00000269987,RP3-430N8.11,546
288,288,ENSG00000237921,AC004543.2,369
289,289,ENSG00000257452,RP1-71H24.1,575
290,290,ENSG00000282840,GS1-590J6.3,1893
291,291,ENSG00000276345,ENSG00000276345.1,740
292,292,ENSG00000262298,RP5-1107A17.3,549
293,293,ENSG00000266088,RP5-1028K7.2,1332
294,294,ENSG00000235669,CHN2-AS1,798
295,295,ENSG00000285162,RP5-1189D6.2,5049
296,296,ENSG00000240499,RP5-1101C3.1,3458
297,297,ENSG00000267394,ATXN7L3-AS1,528
298,298,ENSG00000268673,LLNLR-249E10.1,561
299,299,ENSG00000267304,AC004637.1,482
300,300,ENSG00000249028,RP5-951N9.1,2088
301,301,ENSG00000231216,GS1-600G8.3,2249
302,302,ENSG00000265206,RP5-1171I10.5,1625
303,303,ENSG00000241345,RP4-630C24.3,2064
304,304,ENSG00000229263,AC004691.5,547
305,305,ENSG00000250424,RP5-877J2.1,1531
306,306,ENSG00000263494,AC004702.2,195
307,307,ENSG00000249815,RP11-269F21.3,2030
308,308,ENSG00000261996,CTC-281F24.1,879
309,309,ENSG00000253102,RP1-117B12.4,715
310,310,ENSG00000227495,KIF1C-AS1,583
311,311,ENSG00000234203,RP5-1050D4.2,439
312,312,ENSG00000262227,RP5-1050D4.5,551
313,313,ENSG00000262429,RP5-1050D4.3,474
314,314,ENSG00000262678,CAMTA2-AS1,542
315,315,ENSG00000272203,AC004775.5,753
316,316,ENSG00000282943,CTC-490G23.6,2168
317,317,ENSG00000257955,RP1-228P16.5,962
318,318,ENSG00000257985,RP1-228P16.4,3112
319,319,ENSG00000276814,RP1-228P16.8,978
320,320,ENSG00000250132,RP11-359B12.2,3669
321,321,ENSG00000266076,CTD-2535L24.2,1616
322,322,ENSG00000277283,RP1-267D11.6,2094
323,323,ENSG00000259153,RP6-65G23.3,1718
324,324,ENSG00000275630,RP6-65G23.5,284
325,325,ENSG00000258517,RP6-91H8.1,721
326,326,ENSG00000259907,RP6-91H8.2,651
327,327,ENSG00000269927,RP6-91H8.3,2129
328,328,ENSG00000269945,RP6-91H8.5,3625
329,329,ENSG00000227751,RCC2-AS1,311
330,330,ENSG00000274818,RP1-292L20.3,455
331,331,ENSG00000258871,RP3-514A23.2,654
332,332,ENSG00000228204,RP4-724E13.2,911
333,333,ENSG00000181123,RP4-539M6.14,2422
334,334,ENSG00000273428,RP4-539M6.22,1978
335,335,ENSG00000284523,RP13-968A2.1,4610
336,336,ENSG00000230392,RP5-1139I1.1,2907
337,337,ENSG00000228554,AC004837.5,731
338,338,ENSG00000272854,RP4-593H12.1,501
339,339,ENSG00000258376,RP4-647C14.2,3050
340,340,ENSG00000258944,RP4-647C14.3,777
341,341,ENSG00000278254,RP4-668E10.4,3362
342,342,ENSG00000272768,RP4-673M15.1,1441
343,343,ENSG00000232667,AC004862.6,3819
344,344,ENSG00000239636,TFAP2E-AS1,1030
345,345,ENSG00000230680,AC004869.2,540
346,346,ENSG00000229192,AC004870.3,530
347,347,ENSG00000232072,AC004901.1,661
348,348,ENSG00000273419,RP4-751H13.7,4093
349,349,ENSG00000232396,RP1-76B20.11,773
350,350,ENSG00000242154,RP4-778K6.3,546
351,351,ENSG00000231295,RP4-797C5.2,547
352,352,ENSG00000244198,ARHGEF35-AS1,9504
353,353,ENSG00000231704,AC004895.4,1219
354,354,ENSG00000237286,CARD11-AS1,969
355,355,ENSG00000272240,RP5-855D21.1,541
356,356,ENSG00000273402,RP5-855D21.2,625
357,357,ENSG00000244701,RP5-894A10.2,770
358,358,ENSG00000273341,RP5-899E9.1,734
359,359,ENSG00000284292,RP5-900K19.2,2705
360,360,ENSG00000255306,RP5-901A4.1,739
361,361,ENSG00000241324,RP5-921G16.2,254
362,362,ENSG00000235431,AC006373.1,1556
363,363,ENSG00000228151,AC004941.3,3120
364,364,ENSG00000259209,RP5-991G20.2,1697
365,365,ENSG00000259768,RP5-991G20.1,7025
366,366,ENSG00000279206,RP5-991G20.6,600
367,367,ENSG00000253510,RP5-991O23.1,3059
368,368,ENSG00000233969,RP5-1006K12.1,889
369,369,ENSG00000233760,AC004947.2,3407
370,370,ENSG00000272745,RP5-1007H16.1,672
371,371,ENSG00000283117,MGC4859,3118
372,372,ENSG00000228434,AC004951.6,1866
373,373,ENSG00000238358,RP5-1121E10.2,578
374,374,ENSG00000226661,RP5-1139I1.2,635
375,375,ENSG00000272732,RP5-1159O4.2,1655
376,376,ENSG00000272894,MIOS-DT,1730
377,377,ENSG00000203446,SUGCT-AS1,1771
378,378,ENSG00000232756,DDX3ILA1,2298
379,379,ENSG00000226522,HDAC9-AS1,313
380,380,ENSG00000248751,RP1-130H16.18,2057
381,381,ENSG00000273387,RP3-412A9.16,1410
382,382,ENSG00000237896,AC005008.2,942
383,383,ENSG00000233073,GRM3-AS1,3775
384,384,ENSG00000272361,GS1-166A23.2,599
385,385,ENSG00000224330,AC005019.3,842
386,386,ENSG00000272647,GS1-259H13.13,830
387,387,ENSG00000273138,GS1-293C5.1,355
388,388,ENSG00000270696,RP11-342K6.1,1747
389,389,ENSG00000270996,RP11-342K6.4,899
390,390,ENSG00000183308,AC005037.3,973
391,391,ENSG00000159239,RP11-523H20.5,7033
392,392,ENSG00000272183,RP11-523H20.3,649
393,393,ENSG00000228586,AC005042.5,510
394,394,ENSG00000273055,CTB-13F3.1,625
395,395,ENSG00000267052,CTB-30L5.1,1770
396,396,ENSG00000234715,CTB-107G13.1,2725
397,397,ENSG00000272918,CTB-152G17.6,2646
398,398,ENSG00000224046,AC005076.5,908
399,399,ENSG00000226816,AC005082.12,2259
400,400,ENSG00000261535,CTA-305I2.1,801
401,401,ENSG00000229893,TAX1BP1-AS1,1190
402,402,ENSG00000259294,CTA-339C12.1,622
403,403,ENSG00000223374,AC005104.3,442
404,404,ENSG00000283517,RP11-465C12.1,703
405,405,ENSG00000263683,RP4-777O23.1,427
406,406,ENSG00000264520,RP4-777O23.2,368
407,407,ENSG00000281039,RP4-777O23.3,687
408,408,ENSG00000229452,CPVL-AS1,389
409,409,ENSG00000272568,CTB-113D17.1,4928
410,410,ENSG00000223561,AC003090.1,7296
411,411,ENSG00000267405,CTC-296K1.4,587
412,412,ENSG00000267505,CTC-296K1.3,562
413,413,ENSG00000275212,LINC02826,4987
414,414,ENSG00000230258,AC002539.1,1100
415,415,ENSG00000236352,AC005220.3,884
416,416,ENSG00000266378,RP11-214O1.3,2140
417,417,ENSG00000266709,RP11-214O1.2,1652
418,418,ENSG00000258603,RP3-414A15.10,3777
419,419,ENSG00000258695,RP3-414A15.2,519
420,420,ENSG00000273314,RP5-1136G13.2,2198
421,421,ENSG00000235035,AC007395.3,434
422,422,ENSG00000225521,SNED1-AS1,559
423,423,ENSG00000265400,RP11-471L13.2,718
424,424,ENSG00000268030,AC005253.2,2001
425,425,ENSG00000268983,AC005253.4,432
426,426,ENSG00000273734,LLfos-48D6.2,1268
427,427,ENSG00000268205,CTC-444N24.11,4258
428,428,ENSG00000268678,CTC-444N24.13,1045
429,429,ENSG00000268713,CTC-444N24.8,1385
430,430,ENSG00000267551,GNA15-DT,2319
431,431,ENSG00000277621,RP11-597M12.2,390
432,432,ENSG00000284930,RP1-240K6.4,1412
433,433,ENSG00000225606,AC005281.2,911
434,434,ENSG00000266469,CTB-131K11.1,1053
435,435,ENSG00000264067,RP11-401O9.3,641
436,436,ENSG00000273388,RP11-401O9.4,523
437,437,ENSG00000233852,AC005304.1,405
438,438,ENSG00000265494,RP11-131K5.2,1982
439,439,ENSG00000266744,RP11-131K5.1,511
440,440,ENSG00000260725,AC005307.1,1570
441,441,ENSG00000233002,TBC1D26-AS1,1582
442,442,ENSG00000251537,RP11-385D13.1,5514
443,443,ENSG00000255104,AC005324.8,4387
444,444,ENSG00000266261,RP11-640I15.1,571
445,445,ENSG00000248015,AC005329.7,3571
446,446,ENSG00000267755,AC004623.2,446
447,447,ENSG00000280486,LLNLR-307A6.1,2711
448,448,ENSG00000267372,AC005330.2,1238
449,449,ENSG00000265100,RP11-147L13.2,1310
450,450,ENSG00000267731,RP11-147L13.8,2919
451,451,ENSG00000274561,RP11-147L13.12,446
452,452,ENSG00000274712,RP11-147L13.15,2005
453,453,ENSG00000277476,RP11-147L13.13,2735
454,454,ENSG00000278730,RP11-147L13.11,2921
455,455,ENSG00000278740,RP11-147L13.14,619
456,456,ENSG00000268565,AC005339.2,392
457,457,ENSG00000203593,RP5-1096D14.6,629
458,458,ENSG00000256706,RP5-1096D14.3,315
459,459,ENSG00000250994,AC005355.1,714
460,460,ENSG00000227274,MYOCD-AS1,1143
461,461,ENSG00000265489,ARHGAP44-AS1,3679
462,462,ENSG00000277602,AC005363.11,242
463,463,ENSG00000267243,AC005307.4,1270
464,464,ENSG00000275024,CTB-1144G6.6,534
465,465,ENSG00000268938,AC005387.3,352
466,466,ENSG00000269191,AC005387.2,440
467,467,ENSG00000231412,CTC-490G23.2,301
468,468,ENSG00000272396,CTC-490G23.4,459
469,469,ENSG00000276445,LLNLR-268E12.1,584
470,470,ENSG00000266893,AC005616.1,1269
471,471,ENSG00000266368,RP11-1096G20.5,463
472,472,ENSG00000259146,RP1-261D10.2,1158
473,473,ENSG00000259005,RP3-449M8.6,589
474,474,ENSG00000270000,RP3-449M8.9,431
475,475,ENSG00000258891,RP5-1021I20.5,3953
476,476,ENSG00000222012,AC005481.5,3456
477,477,ENSG00000243018,RP5-1070G24.2,216
478,478,ENSG00000225647,AC005487.2,2889
479,479,ENSG00000267224,AC005498.4,465
480,480,ENSG00000267421,ZFP28-DT,1105
481,481,ENSG00000269696,ZNF470-DT,2159
482,482,ENSG00000269460,AC093063.3,289
483,483,ENSG00000258653,RP5-1021I20.4,3695
484,484,ENSG00000259065,RP5-1021I20.1,2178
485,485,ENSG00000273711,RP5-1021I20.8,2137
486,486,ENSG00000250614,AC007078.4,453
487,487,ENSG00000268536,AC005523.3,418
488,488,ENSG00000269604,AC005523.2,3572
489,489,ENSG00000224903,RNF32-AS1,4232
490,490,ENSG00000232006,AC005537.2,5143
491,491,ENSG00000235852,AC005540.3,919
492,492,ENSG00000264491,RP11-349A8.3,460
493,493,ENSG00000266897,AC005546.2,391
494,494,ENSG00000237070,AC005550.3,3743
495,495,ENSG00000267320,AC005780.1,1155
496,496,ENSG00000240449,REPIN1-AS1,577
497,497,ENSG00000261757,AC005592.3,1640
498,498,ENSG00000267223,AC005597.1,420
499,499,ENSG00000260107,AC005606.15,504
500,500,ENSG00000261790,AC005606.14,2291
501,501,ENSG00000278901,AC005609.17,617
502,502,ENSG00000279726,AC005609.16,5043
503,503,ENSG00000269296,AC005614.3,3653
504,504,ENSG00000267423,AC005616.2,579
505,505,ENSG00000272070,AC005618.6,3148
506,506,ENSG00000273956,CTB-31N19.5,431
507,507,ENSG00000261886,GOSR2-DT,395
508,508,ENSG00000262633,RP11-156P1.2,1876
509,509,ENSG00000250413,SLC2A9-AS1,459
510,510,ENSG00000262966,RP11-85B7.2,5672
511,511,ENSG00000263708,RP11-85B7.4,259
512,512,ENSG00000273816,RP11-85B7.5,232
513,513,ENSG00000262050,RP11-74E22.3,443
514,514,ENSG00000272770,RP11-74E22.5,626
515,515,ENSG00000272911,RP11-74E22.6,303
516,516,ENSG00000277200,RP11-74E22.8,3147
517,517,ENSG00000266202,RP1-66C13.4,582
518,518,ENSG00000266527,RP11-138P22.1,2266
519,519,ENSG00000249631,RP11-281P23.2,4459
520,520,ENSG00000267318,RP11-178C3.1,481
521,521,ENSG00000237377,AC005703.2,343
522,522,ENSG00000265445,RP11-849N15.1,373
523,523,ENSG00000266667,RP11-849N15.4,538
524,524,ENSG00000264727,RP11-680C21.1,2607
525,525,ENSG00000258472,RP11-192H23.4,2625
526,526,ENSG00000264044,RP11-192H23.7,1515
527,527,ENSG00000265287,RP11-192H23.6,1083
528,528,ENSG00000263159,RP11-462G12.4,244
529,529,ENSG00000254099,AC005740.5,344
530,530,ENSG00000271871,AC005740.6,957
531,531,ENSG00000267131,RP11-332H18.5,470
532,532,ENSG00000278925,AC005753.1,618
533,533,ENSG00000267044,AC005757.6,472
534,534,ENSG00000268650,AC068499.10,1212
535,535,ENSG00000232058,AC005772.2,976
536,536,ENSG00000266933,MADCAM1-AS1,850
537,537,ENSG00000273218,LLNLR-246C6.1,1769
538,538,ENSG00000267231,AC005786.5,369
539,539,ENSG00000267436,AC005786.7,565
540,540,ENSG00000235415,AC005808.3,381
541,541,ENSG00000265702,RP11-156L14.1,4862
542,542,ENSG00000249982,RP11-1018N14.3,650
543,543,ENSG00000226797,AC015923.1,742
544,544,ENSG00000263644,RP11-269G24.3,591
545,545,ENSG00000265282,RP11-269G24.4,552
546,546,ENSG00000265971,RP11-269G24.6,355
547,547,ENSG00000272921,RP11-500M8.7,818
548,548,ENSG00000255474,GAU1,1249
549,549,ENSG00000255639,RP11-234B24.6,3961
550,550,ENSG00000261335,RP11-318A15.2,1717
551,551,ENSG00000267168,RP11-318A15.7,479
552,552,ENSG00000277382,RP11-318A15.8,286
553,553,ENSG00000266538,RP11-385D13.3,317
554,554,ENSG00000256433,RP1-102E24.8,1841
555,555,ENSG00000276718,RP1-102E24.10,599
556,556,ENSG00000256862,PARP11-AS1,1868
557,557,ENSG00000255775,RP3-454B23.1,653
558,558,ENSG00000205325,AC005863.1,3442
559,559,ENSG00000236908,LINC02827,3004
560,560,ENSG00000235198,CTA-109P11.1,475
561,561,ENSG00000258114,CTA-109P11.4,526
562,562,ENSG00000267207,RP11-264B14.1,429
563,563,ENSG00000267449,RP11-264B14.2,247
564,564,ENSG00000264083,RP11-227G15.9,563
565,565,ENSG00000265139,RP11-227G15.2,271
566,566,ENSG00000266385,RP11-227G15.8,552
567,567,ENSG00000274341,RP11-227G15.10,297
568,568,ENSG00000278668,RP11-227G15.11,588
569,569,ENSG00000279762,RP11-227G15.12,3449
570,570,ENSG00000267137,RP11-15K2.2,552
571,571,ENSG00000265425,RP11-128D14.1,755
572,572,ENSG00000247011,RP11-700H6.1,2054
573,573,ENSG00000249870,RP11-481C4.1,332
574,574,ENSG00000262967,RP11-294J22.6,670
575,575,ENSG00000267059,AC005943.2,1002
576,576,ENSG00000267469,AC005944.2,564
577,577,ENSG00000267205,AC005954.4,556
578,578,ENSG00000278627,RP11-506H21.5,652
579,579,ENSG00000283538,RP11-180P8.1,2992
580,580,ENSG00000266869,RP6-114E22.1,2321
581,581,ENSG00000241456,RP4-555L14.4,564
582,582,ENSG00000229403,RP4-718N17.2,588
