s_iri,relationship,t_iri,,,,,,
http://identifiers.org/hgnc/6562,characterize,http://purl.obolibrary.org/obo/CL_0002059,,,,,,
http://identifiers.org/hgnc/16916,characterize,http://purl.obolibrary.org/obo/CL_0002460,,,,,,
http://identifiers.org/hgnc/8951,characterize,http://purl.obolibrary.org/obo/CL_1001285,,,,,,
http://identifiers.org/hgnc/11517,characterize,http://purl.obolibrary.org/obo/CL_0000540,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ctc-340a15-2,characterize,https://purl.org/ccf/ASCTB-TEMP_misc178,,,,,,
http://identifiers.org/hgnc/8038,characterize,http://purl.obolibrary.org/obo/CL_0002138,,,,,,
http://identifiers.org/hgnc/6024,characterize,http://purl.obolibrary.org/obo/CL_0000623,,,,,,
http://identifiers.org/hgnc/11529,characterize,http://purl.obolibrary.org/obo/CL_0017000,,,,,,
http://identifiers.org/hgnc/6740,characterize,http://purl.obolibrary.org/obo/CL_0000882,,,,,,
http://identifiers.org/hgnc/9679,characterize,http://purl.obolibrary.org/obo/CL_0000653,,,,,,
http://identifiers.org/hgnc/10720,characterize,http://purl.obolibrary.org/obo/CL_0002437,,,,,,
http://identifiers.org/hgnc/9163,characterize,https://purl.org/ccf/ASCTB-TEMP_thex453,,,,,,
http://identifiers.org/hgnc/6482,characterize,https://purl.org/ccf/ASCTB-TEMP_activated-stellate-cell,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ctb-57h20-1,characterize,https://purl.org/ccf/ASCTB-TEMP_dlit140,,,,,,
http://identifiers.org/hgnc/10875,characterize,http://purl.obolibrary.org/obo/CL_0000840,,,,,,
http://identifiers.org/hgnc/11910,characterize,http://purl.obolibrary.org/obo/CL_0000815,,,,,,
http://identifiers.org/hgnc/3623,characterize,http://purl.obolibrary.org/obo/CL_0001054,,,,,,
http://identifiers.org/hgnc/6088,characterize,http://purl.obolibrary.org/obo/CL_0000165,,,,,,
http://identifiers.org/hgnc/14615,characterize,https://purl.org/ccf/ASCTB-TEMP_amex407,,,,,,
https://purl.org/ccf/ASCTB-TEMP_loc105374971,characterize,http://purl.obolibrary.org/obo/PCL_0015090,,,,,,
http://identifiers.org/hgnc/12252,characterize,http://purl.obolibrary.org/obo/CL_0000798,,,,,,
http://identifiers.org/hgnc/20675,characterize,https://purl.org/ccf/ASCTB-TEMP_oligo46,,,,,,
http://identifiers.org/hgnc/11553,characterize,http://purl.obolibrary.org/obo/CL_1001318,,,,,,
http://identifiers.org/hgnc/1662,characterize,https://purl.org/ccf/ASCTB-TEMP_perineural-cell,,,,,,
http://identifiers.org/hgnc/636,characterize,http://purl.obolibrary.org/obo/CL_0000895,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd3,characterize,https://purl.org/ccf/ASCTB-TEMP_cd8-t,,,,,,
http://identifiers.org/hgnc/11529,characterize,http://purl.obolibrary.org/obo/CL_0002329,,,,,,
http://identifiers.org/hgnc/7941,characterize,https://purl.org/ccf/ASCTB-TEMP_midi438,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-191l9-4,characterize,https://purl.org/ccf/ASCTB-TEMP_ulit130,,,,,,
http://identifiers.org/hgnc/1667,characterize,http://purl.obolibrary.org/obo/CL_0000557,,,,,,
http://identifiers.org/hgnc/1674,characterize,http://purl.obolibrary.org/obo/CL_0000913,,,,,,
http://identifiers.org/hgnc/6134,characterize,https://purl.org/ccf/ASCTB-TEMP_tbet-low-liver-nk-cell,,,,,,
http://identifiers.org/hgnc/20772,characterize,http://purl.obolibrary.org/obo/CL_0000526,,,,,,
http://identifiers.org/hgnc/35454,characterize,http://purl.obolibrary.org/obo/CL_0009086,,,,,,
http://identifiers.org/hgnc/11035,characterize,http://purl.obolibrary.org/obo/CL_1000715,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ac067959-1,characterize,https://purl.org/ccf/ASCTB-TEMP_ulit131,,,,,,
http://identifiers.org/hgnc/10260,characterize,http://purl.obolibrary.org/obo/CL_0000899,,,,,,
http://identifiers.org/hgnc/1693,characterize,http://purl.obolibrary.org/obo/CL_0000874,,,,,,
https://purl.org/ccf/ASCTB-TEMP_integrin-5,characterize,https://purl.org/ccf/ASCTB-TEMP_limbal-stem-cells,,,,,,
http://identifiers.org/hgnc/1681,characterize,http://purl.obolibrary.org/obo/CL_0009081,,,,,,
http://identifiers.org/hgnc/4709,characterize,http://purl.obolibrary.org/obo/CL_0000824,,,,,,
http://identifiers.org/hgnc/3611,characterize,http://purl.obolibrary.org/obo/CL_0000775,,,,,,
http://identifiers.org/hgnc/6934,characterize,http://purl.obolibrary.org/obo/CL_0008036,,,,,,
http://identifiers.org/hgnc/7809,characterize,https://purl.org/ccf/ASCTB-TEMP_splenic-stromal-sheath-cell,,,,,,
http://identifiers.org/hgnc/29399,characterize,https://purl.org/ccf/ASCTB-TEMP_amex160,,,,,,
http://identifiers.org/hgnc/7154,characterize,http://purl.obolibrary.org/obo/CL_0000559,,,,,,
http://identifiers.org/hgnc/2663,characterize,http://purl.obolibrary.org/obo/PCL_0015085,,,,,,
http://identifiers.org/hgnc/30301,characterize,http://purl.obolibrary.org/obo/PCL_0015102,,,,,,
http://identifiers.org/hgnc/6122,characterize,http://purl.obolibrary.org/obo/CL_0000942,,,,,,
http://identifiers.org/hgnc/11763,characterize,http://purl.obolibrary.org/obo/CL_0000764,,,,,,
http://identifiers.org/hgnc/1693,characterize,http://purl.obolibrary.org/obo/CL_0000235,,,,,,
http://identifiers.org/hgnc/20391,characterize,http://purl.obolibrary.org/obo/CL_0000540,,,,,,
http://identifiers.org/hgnc/6526,characterize,http://purl.obolibrary.org/obo/CL_0002193,,,,,,
http://identifiers.org/hgnc/6415,characterize,https://purl.org/ccf/ASCTB-TEMP_intermediate-cell-of-ureter-urothelium,,,,,,
http://identifiers.org/hgnc/533,characterize,http://purl.obolibrary.org/obo/CL_0009074,,,,,,
http://identifiers.org/hgnc/11922,characterize,http://purl.obolibrary.org/obo/CL_0000788,,,,,,
http://identifiers.org/hgnc/10498,characterize,http://purl.obolibrary.org/obo/CL_0000576,,,,,,
http://identifiers.org/hgnc/1748,characterize,http://purl.obolibrary.org/obo/LMHA_00142,,,,,,
http://identifiers.org/hgnc/26683,characterize,https://purl.org/ccf/ASCTB-TEMP_splat402,,,,,,
http://identifiers.org/hgnc/12449,characterize,http://purl.obolibrary.org/obo/CL_0000623,,,,,,
http://identifiers.org/hgnc/2047,characterize,http://purl.obolibrary.org/obo/CL_0002585,,,,,,
http://identifiers.org/hgnc/19087,characterize,https://purl.org/ccf/ASCTB-TEMP_splat380,,,,,,
http://identifiers.org/hgnc/7315,characterize,http://purl.obolibrary.org/obo/CL_0000844,,,,,,
https://purl.org/ccf/ASCTB-TEMP_fxyd4,characterize,http://purl.obolibrary.org/obo/CL_1000714,,,,,,
http://identifiers.org/hgnc/8033,characterize,http://purl.obolibrary.org/obo/CL_0019018,,,,,,
http://identifiers.org/hgnc/19090,characterize,https://purl.org/ccf/ASCTB-TEMP_splat387,,,,,,
http://identifiers.org/hgnc/3763,characterize,https://purl.org/ccf/ASCTB-TEMP_cge290,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd90,characterize,https://purl.org/ccf/ASCTB-TEMP_fibroblast-mesenchymal-cell,,,,,,
http://identifiers.org/hgnc/3559,characterize,http://purl.obolibrary.org/obo/CL_0000136,,,,,,
http://identifiers.org/hgnc/1514,characterize,http://purl.obolibrary.org/obo/CL_1001106,,,,,,
http://identifiers.org/hgnc/21290,characterize,http://purl.obolibrary.org/obo/CL_0009081,,,,,,
http://identifiers.org/hgnc/8804,characterize,http://purl.obolibrary.org/obo/CL_0000632,,,,,,
http://identifiers.org/hgnc/10736,characterize,https://purl.org/ccf/ASCTB-TEMP_dlct6b100,,,,,,
http://identifiers.org/hgnc/1673,characterize,http://purl.obolibrary.org/obo/CL_0000545,,,,,,
http://identifiers.org/hgnc/1633,characterize,http://purl.obolibrary.org/obo/CL_0000236,,,,,,
http://identifiers.org/hgnc/13432,characterize,http://purl.obolibrary.org/obo/CL_0000934,,,,,,
http://identifiers.org/hgnc/9666,characterize,https://purl.org/ccf/ASCTB-TEMP_alveolar-macrophage-ccl3,,,,,,
http://identifiers.org/hgnc/7317,characterize,http://purl.obolibrary.org/obo/CL_0000767,,,,,,
http://identifiers.org/hgnc/9360,characterize,http://purl.obolibrary.org/obo/CL_0000824,,,,,,
http://identifiers.org/hgnc/19090,characterize,https://purl.org/ccf/ASCTB-TEMP_splat381,,,,,,
http://identifiers.org/hgnc/1673,characterize,http://purl.obolibrary.org/obo/CL_0000895,,,,,,
http://identifiers.org/hgnc/1706,characterize,http://purl.obolibrary.org/obo/CL_0000909,,,,,,
http://identifiers.org/hgnc/8823,characterize,http://purl.obolibrary.org/obo/CL_1000413,,,,,,
http://identifiers.org/hgnc/19077,characterize,http://purl.obolibrary.org/obo/CL_0000623,,,,,,
http://identifiers.org/hgnc/21256,characterize,http://purl.obolibrary.org/obo/CL_0000764,,,,,,
http://identifiers.org/hgnc/11922,characterize,http://purl.obolibrary.org/obo/CL_0000798,,,,,,
http://identifiers.org/hgnc/19832,characterize,http://purl.obolibrary.org/obo/CL_4028003,,,,,,
http://identifiers.org/hgnc/4709,characterize,http://purl.obolibrary.org/obo/CL_0000910,,,,,,
http://identifiers.org/hgnc/7154,characterize,http://purl.obolibrary.org/obo/CL_0009112,,,,,,
http://identifiers.org/hgnc/9361,characterize,https://purl.org/ccf/ASCTB-TEMP_mgl4,,,,,,
http://identifiers.org/hgnc/1628,characterize,http://purl.obolibrary.org/obo/CL_0000559,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-320l2-1,characterize,https://purl.org/ccf/ASCTB-TEMP_dlit141,,,,,,
http://identifiers.org/hgnc/19364,characterize,http://purl.obolibrary.org/obo/CL_0000815,,,,,,
http://identifiers.org/hgnc/10970,characterize,http://purl.obolibrary.org/obo/CL_4030009,,,,,,
http://identifiers.org/hgnc/1663,characterize,http://purl.obolibrary.org/obo/CL_0002144,,,,,,
http://identifiers.org/hgnc/1603,characterize,http://purl.obolibrary.org/obo/CL_0000860,,,,,,
http://identifiers.org/hgnc/5951,characterize,http://purl.obolibrary.org/obo/CL_0002394,,,,,,
http://identifiers.org/hgnc/13258,characterize,http://purl.obolibrary.org/obo/CL_0001058,,,,,,
http://identifiers.org/hgnc/14866,characterize,https://purl.org/ccf/ASCTB-TEMP_midi433,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd31,characterize,http://purl.obolibrary.org/obo/CL_0000115,,,,,,
http://identifiers.org/hgnc/4947,characterize,http://purl.obolibrary.org/obo/CL_0000788,,,,,,
http://identifiers.org/hgnc/6817,characterize,http://purl.obolibrary.org/obo/CL_0001087,,,,,,
http://identifiers.org/hgnc/43906,characterize,https://purl.org/ccf/ASCTB-TEMP_midi437,,,,,,
http://identifiers.org/hgnc/12405,characterize,https://purl.org/ccf/ASCTB-TEMP_chrp82,,,,,,
http://identifiers.org/hgnc/10640,characterize,https://purl.org/ccf/ASCTB-TEMP_emsn226,,,,,,
http://identifiers.org/hgnc/4439,characterize,http://purl.obolibrary.org/obo/CL_0000553,,,,,,
http://identifiers.org/hgnc/10001,characterize,http://purl.obolibrary.org/obo/CL_0000669,,,,,,
http://identifiers.org/hgnc/3604,characterize,https://purl.org/ccf/ASCTB-TEMP_llc273,,,,,,
http://identifiers.org/hgnc/1318,characterize,http://purl.obolibrary.org/obo/CL_1000489,,,,,,
http://identifiers.org/hgnc/11073,characterize,http://purl.obolibrary.org/obo/CL_4030013,,,,,,
http://identifiers.org/hgnc/9666,characterize,http://purl.obolibrary.org/obo/CL_0000037,,,,,,
http://identifiers.org/hgnc/6436,characterize,http://purl.obolibrary.org/obo/CL_0000244,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ovgp1,characterize,https://purl.org/ccf/ASCTB-TEMP_secretory-epithelial-cell,,,,,,
http://identifiers.org/hgnc/2047,characterize,http://purl.obolibrary.org/obo/CL_0009086,,,,,,
http://identifiers.org/hgnc/1693,characterize,http://purl.obolibrary.org/obo/CL_0000876,,,,,,
http://identifiers.org/hgnc/9609,characterize,https://purl.org/ccf/ASCTB-TEMP_emsn229,,,,,,
http://identifiers.org/hgnc/11743,characterize,https://purl.org/ccf/ASCTB-TEMP_splat357,,,,,,
http://identifiers.org/hgnc/5525,characterize,http://purl.obolibrary.org/obo/CL_0000786,,,,,,
https://purl.org/ccf/ASCTB-TEMP_gamma-enolase-human-,characterize,http://purl.obolibrary.org/obo/CL_0000540,,,,,,
http://identifiers.org/hgnc/1674,characterize,http://purl.obolibrary.org/obo/CL_0000840,,,,,,
http://identifiers.org/hgnc/1748,characterize,http://purl.obolibrary.org/obo/CL_1000330,,,,,,
http://identifiers.org/hgnc/12780,characterize,http://purl.obolibrary.org/obo/CL_4028004,,,,,,
http://identifiers.org/hgnc/3613,characterize,http://purl.obolibrary.org/obo/CL_0002396,,,,,,
http://identifiers.org/hgnc/43906,characterize,https://purl.org/ccf/ASCTB-TEMP_midi436,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ccl5,characterize,https://purl.org/ccf/ASCTB-TEMP_b-cell,,,,,,
http://identifiers.org/hgnc/10259,characterize,http://purl.obolibrary.org/obo/PCL_0015081,,,,,,
http://identifiers.org/hgnc/1748,characterize,http://purl.obolibrary.org/obo/CL_4033022,,,,,,
http://identifiers.org/hgnc/1241,characterize,http://purl.obolibrary.org/obo/CL_0000235,,,,,,
http://identifiers.org/hgnc/130,characterize,http://purl.obolibrary.org/obo/CL_0002292,,,,,,
http://identifiers.org/hgnc/10910,characterize,http://purl.obolibrary.org/obo/CL_1000850,,,,,,
http://identifiers.org/hgnc/1628,characterize,http://purl.obolibrary.org/obo/CL_0000818,,,,,,
https://purl.org/ccf/ASCTB-TEMP_mct,characterize,http://purl.obolibrary.org/obo/CL_0000097,,,,,,
http://identifiers.org/hgnc/8823,characterize,http://purl.obolibrary.org/obo/CL_0010008,,,,,,
http://identifiers.org/hgnc/11595,characterize,https://purl.org/ccf/ASCTB-TEMP_fbl25,,,,,,
http://identifiers.org/hgnc/18374,characterize,https://purl.org/ccf/ASCTB-TEMP_mge239,,,,,,
http://identifiers.org/hgnc/2959,characterize,http://purl.obolibrary.org/obo/CL_1001033,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-729m20-1,characterize,https://purl.org/ccf/ASCTB-TEMP_chrp78,,,,,,
http://identifiers.org/hgnc/6152,characterize,https://purl.org/ccf/ASCTB-TEMP_uterine-macrophage,,,,,,
http://identifiers.org/hgnc/19719,characterize,http://purl.obolibrary.org/obo/CL_0019019,,,,,,
http://identifiers.org/hgnc/11913,characterize,http://purl.obolibrary.org/obo/CL_0000786,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-142i20-2,characterize,https://purl.org/ccf/ASCTB-TEMP_msn218,,,,,,
http://identifiers.org/hgnc/2192,characterize,http://purl.obolibrary.org/obo/PCL_0015072,,,,,,
http://identifiers.org/hgnc/7656,characterize,https://purl.org/ccf/ASCTB-TEMP_mature-cd8-t-cell,,,,,,
http://identifiers.org/hgnc/2561,characterize,http://purl.obolibrary.org/obo/CL_0001054,,,,,,
http://identifiers.org/hgnc/9521,characterize,http://purl.obolibrary.org/obo/CL_0000525,,,,,,
http://identifiers.org/hgnc/5480,characterize,http://purl.obolibrary.org/obo/CL_0000788,,,,,,
http://identifiers.org/hgnc/1673,characterize,http://purl.obolibrary.org/obo/CL_0009018,,,,,,
http://identifiers.org/hgnc/7656,characterize,http://purl.obolibrary.org/obo/CL_0002396,,,,,,
http://identifiers.org/hgnc/14240,characterize,http://purl.obolibrary.org/obo/CL_0000798,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-875g18-1,characterize,https://purl.org/ccf/ASCTB-TEMP_msn215,,,,,,
http://identifiers.org/hgnc/10912,characterize,http://purl.obolibrary.org/obo/CL_1000849,,,,,,
http://identifiers.org/hgnc/6173,characterize,https://purl.org/ccf/ASCTB-TEMP_thex452,,,,,,
http://identifiers.org/hgnc/6024,characterize,http://purl.obolibrary.org/obo/CL_0000900,,,,,,
http://identifiers.org/hgnc/7656,characterize,http://purl.obolibrary.org/obo/CL_0002399,,,,,,
http://identifiers.org/hgnc/1678,characterize,http://purl.obolibrary.org/obo/CL_0000914,,,,,,
http://identifiers.org/hgnc/1662,characterize,http://purl.obolibrary.org/obo/CL_0009082,,,,,,
http://identifiers.org/hgnc/21198,characterize,http://purl.obolibrary.org/obo/CL_0009070,,,,,,
http://identifiers.org/hgnc/1631,characterize,http://purl.obolibrary.org/obo/CL_0000235,,,,,,
http://identifiers.org/hgnc/12253,characterize,http://purl.obolibrary.org/obo/CL_0000798,,,,,,
http://identifiers.org/hgnc/12726,characterize,http://purl.obolibrary.org/obo/CL_1000413,,,,,,
http://identifiers.org/hgnc/1686,characterize,http://purl.obolibrary.org/obo/CL_0000786,,,,,,
http://identifiers.org/hgnc/8823,characterize,http://purl.obolibrary.org/obo/CL_0002138,,,,,,
http://identifiers.org/hgnc/2338,characterize,http://purl.obolibrary.org/obo/CL_0000636,,,,,,
http://identifiers.org/hgnc/20412,characterize,http://purl.obolibrary.org/obo/CL_0009011,,,,,,
http://identifiers.org/hgnc/6152,characterize,http://purl.obolibrary.org/obo/CL_0002059,,,,,,
http://identifiers.org/hgnc/18508,characterize,http://purl.obolibrary.org/obo/CL_0000786,,,,,,
http://identifiers.org/hgnc/7830,characterize,http://purl.obolibrary.org/obo/CL_0000814,,,,,,
http://identifiers.org/hgnc/1662,characterize,http://purl.obolibrary.org/obo/CL_0002337,,,,,,
http://identifiers.org/hgnc/30988,characterize,https://purl.org/ccf/ASCTB-TEMP_fbl31,,,,,,
http://identifiers.org/hgnc/9831,characterize,http://purl.obolibrary.org/obo/CL_0000826,,,,,,
http://identifiers.org/hgnc/3623,characterize,http://purl.obolibrary.org/obo/CL_0000860,,,,,,
http://identifiers.org/hgnc/3318,characterize,https://purl.org/ccf/ASCTB-TEMP_airway-deuterosomal-cell,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ac133680-1,characterize,https://purl.org/ccf/ASCTB-TEMP_mge263,,,,,,
http://identifiers.org/hgnc/2705,characterize,https://purl.org/ccf/ASCTB-TEMP_periepithelial-fibroblast,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cytokeratin-7,characterize,http://purl.obolibrary.org/obo/CL_0000682,,,,,,
http://identifiers.org/hgnc/6934,characterize,http://purl.obolibrary.org/obo/CL_1001318,,,,,,
http://identifiers.org/hgnc/5137,characterize,https://purl.org/ccf/ASCTB-TEMP_splat338,,,,,,
http://identifiers.org/hgnc/2466,characterize,http://purl.obolibrary.org/obo/CL_0000669,,,,,,
http://identifiers.org/hgnc/19718,characterize,https://purl.org/ccf/ASCTB-TEMP_emsn226,,,,,,
http://identifiers.org/hgnc/10645,characterize,http://purl.obolibrary.org/obo/CL_0000938,,,,,,
http://identifiers.org/hgnc/23091,characterize,http://purl.obolibrary.org/obo/CL_4030011,,,,,,
http://identifiers.org/hgnc/2252,characterize,http://purl.obolibrary.org/obo/CL_0000786,,,,,,
http://identifiers.org/hgnc/9666,characterize,http://purl.obolibrary.org/obo/CL_0000938,,,,,,
http://identifiers.org/hgnc/43558,characterize,https://purl.org/ccf/ASCTB-TEMP_ulit122,,,,,,
http://identifiers.org/hgnc/1706,characterize,http://purl.obolibrary.org/obo/CL_0000796,,,,,,
http://identifiers.org/hgnc/4027,characterize,https://purl.org/ccf/ASCTB-TEMP_airway-submucosal-gland-ciliated-duct-cell,,,,,,
http://identifiers.org/hgnc/1662,characterize,http://purl.obolibrary.org/obo/CL_1000398,,,,,,
http://identifiers.org/hgnc/4035,characterize,https://purl.org/ccf/ASCTB-TEMP_splenic-littoral-cell,,,,,,
http://identifiers.org/hgnc/4881,characterize,http://purl.obolibrary.org/obo/CL_0002591,,,,,,
http://identifiers.org/hgnc/9845,characterize,http://purl.obolibrary.org/obo/CL_1001033,,,,,,
http://identifiers.org/hgnc/1662,characterize,http://purl.obolibrary.org/obo/CL_0002543,,,,,,
https://purl.org/ccf/ASCTB-TEMP_loc101927281,characterize,http://purl.obolibrary.org/obo/PCL_0015084,,,,,,
https://purl.org/ccf/ASCTB-TEMP_sma,characterize,http://purl.obolibrary.org/obo/CL_0019018,,,,,,
http://identifiers.org/hgnc/16983,characterize,https://purl.org/ccf/ASCTB-TEMP_opc35,,,,,,
