organ,id,rdfs_label,name,b_type
blood,HGNC:10875,SIGLEC6,Siglec6,protein
blood,HGNC:2464,versican,VCAN,gene
blood,HGNC:2475,cystatin C,CST3,gene
blood,HGNC:1628,CD14 molecule,CD14,gene
blood,HGNC:3623,ficolin 1,FCN1,gene
blood,HGNC:3619,FCGR3A,CD16-/lo,protein
blood,HGNC:3613,FCGR1A,CD64,protein
blood,HGNC:10720,SELL,CD62L,protein
blood,HGNC:1603,CCR2,CCR2,protein
blood,HGNC:1663,CD36,CD36,protein
blood,HGNC:24149,hes family bHLH transcription factor 4,HES4,gene
blood,HGNC:13378,membrane spanning 4-domains A7,MS4A7,gene
blood,HGNC:5414,interferon induced transmembrane protein 3,IFITM3,gene
blood,HGNC:3619,Fc gamma receptor IIIa,FCGR3A,gene
blood,HGNC:16642,C-X-C motif chemokine ligand 16,CXCL16,gene
blood,HGNC:14189,leukocyte specific transcript 1,LST1,gene
blood,HGNC:2558,CX3CR1,CX3CR1,protein
blood,HGNC:2561,CXCR4,CXCR4,protein
blood,HGNC:6149,integrin subunit alpha M,ITGAM,gene
blood,HGNC:7176,matrix metallopeptidase 9,MMP9,gene
blood,HGNC:8904,peptidoglycan recognition protein 1,PGLYRP1,gene
blood,HGNC:8498,orosomucoid 1,ORM1,gene
blood,HGNC:10489,S100 calcium binding protein A12,S100A12,gene
blood,HGNC:500,ANPEP,CD13,protein
blood,HGNC:4015,FUT4,CD15,protein
blood,HGNC:11249,SPN,CD43,protein
blood,HGNC:1820,CEACAM8,CD66b,protein
blood,HGNC:6140,ITGA4,CD49d,protein
blood,HGNC:6149,ITGAM,CD11b,protein
blood,HGNC:4855,histidine decarboxylase,HDC,gene
blood,HGNC:2014,Charcot-Leyden crystal galectin,CLC,gene
blood,HGNC:2298,carboxypeptidase A3,CPA3,gene
blood,HGNC:6017,interleukin 5 receptor subunit alpha,IL5RA,gene
blood,HGNC:4171,GATA binding protein 2,GATA2,gene
blood,HGNC:7317,membrane spanning 4-domains A3,MS4A3,gene
blood,HGNC:17890,hematopoietic prostaglandin D synthase,HPGDS,gene
blood,HGNC:6017,IL5RA,CD125,protein
blood,HGNC:3609,FCER1A,FcER1A,protein
blood,HGNC:6012,interleukin 3 receptor subunit alpha,IL3RA,gene
blood,HGNC:1604,CCR3,CCR3,protein
blood,HGNC:1673,CD3d molecule,CD3D,gene
blood,HGNC:12029,T cell receptor alpha constant,TRAC,gene
blood,HGNC:12156,T cell receptor beta constant 1,TRBC1,gene
blood,HGNC:6024,interleukin 7 receptor,IL7R,gene
blood,HGNC:30698,T cell receptor associated transmembrane adaptor 1,TRAT1,gene
blood,HGNC:6711,lymphotoxin beta,LTB,gene
blood,HGNC:636,aquaporin 3 (Gill blood group),AQP3,gene
blood,HGNC:11935,CD40 ligand,CD40LG,gene
blood,HGNC:1678,CD4,CD4,protein
blood,HGNC:1706,CD8A,CD8,protein
blood,HGNC:9666,PTPRC,CD45RA,protein
blood,HGNC:1608,CCR7,CCR7,protein
blood,HGNC:4054,interferon alpha inducible protein 6,IFI6,gene
blood,HGNC:6563,galectin 3,LGALS3,gene
blood,HGNC:26974,PDZ domain containing 8,PDZD8,gene
blood,HGNC:537,annexin A2,ANXA2,gene
blood,HGNC:2360,cysteine rich protein 1,CRIP1,gene
blood,HGNC:6015,interleukin 4 receptor,IL4R,gene
blood,HGNC:11362,signal transducer and activator of transcription 1,STAT1,gene
blood,HGNC:6817,"mal, T cell differentiation protein",MAL,gene
blood,HGNC:19383,suppressor of cytokine signaling 1,SOCS1,gene
blood,HGNC:6001,interleukin 2,IL2,gene
blood,HGNC:8109,ornithine decarboxylase 1,ODC1,gene
blood,HGNC:19129,phosphoserine aminotransferase 1,PSAT1,gene
blood,HGNC:12729,tryptophanyl-tRNA synthetase 1,WARS,gene
blood,HGNC:9721,pyrroline-5-carboxylate reductase 1,PYCR1,gene
blood,HGNC:11892,tumor necrosis factor,TNF,gene
blood,HGNC:7849,NME/NM23 nucleoside diphosphate kinase 1,NME1,gene
blood,HGNC:16647,C-X-C motif chemokine receptor 6,CXCR6,gene
blood,HGNC:9360,perforin 1,PRF1,gene
blood,HGNC:6134,integrin subunit alpha 1,ITGA1,gene
blood,HGNC:10627,C-C motif chemokine ligand 3,CCL3,gene
blood,HGNC:10630,C-C motif chemokine ligand 4,CCL4,gene
blood,HGNC:24961,HOP homeobox,HOPX,gene
blood,HGNC:7830,natural killer cell granule protein 7,NKG7,gene
blood,HGNC:4414,granulysin,GNLY,gene
blood,HGNC:5411,interferon induced protein with tetratricopeptide repeats 3,IFIT3,gene
blood,HGNC:6378,killer cell lectin like receptor D1,KLRD1,gene
blood,HGNC:10632,C-C motif chemokine ligand 5,CCL5,gene
blood,HGNC:4710,granzyme H,GZMH,gene
blood,HGNC:16830,interleukin 32,IL32,gene
blood,HGNC:1706,CD8a molecule,CD8A,gene
blood,HGNC:3068,dual specificity phosphatase 2,DUSP2,gene
blood,HGNC:6380,killer cell lectin like receptor G1,KLRG1,gene
blood,HGNC:12276,T cell receptor gamma constant 2,TRGC2,gene
blood,HGNC:4711,granzyme K,GZMK,gene
blood,HGNC:12253,T cell receptor delta constant,TRDC,gene
blood,HGNC:6373,killer cell lectin like receptor B1,KLRB1,gene
blood,HGNC:2064,chloride intracellular channel 3,CLIC3,gene
blood,HGNC:2479,cystatin F,CST7,gene
blood,HGNC:10645,X-C motif chemokine ligand 1,XCL1,gene
blood,HGNC:7656,NCAM1,CD56hi,protein
blood,HGNC:4708,granzyme A,GZMA,gene
blood,HGNC:921,B3GAT1,CD57,protein
blood,HGNC:6106,forkhead box P3,FOXP3,gene
blood,HGNC:11910,TNF receptor superfamily member 25,TNFRSF25,gene
blood,HGNC:26838,T cell immunoreceptor with Ig and ITIM domains,TIGIT,gene
blood,HGNC:1607,C-C motif chemokine receptor 6,CCR6,gene
blood,HGNC:11918,TNF receptor superfamily member 4,TNFRSF4,gene
blood,HGNC:6008,IL2RA,CD25,protein
blood,HGNC:6106,FOXP3,FOXP3,protein
blood,HGNC:2505,CTLA4,CTLA4,protein
blood_vasculature,HGNC:8823,PECAM1,PECAM1 (CD31),gene
blood_vasculature,HGNC:1764,CDH5,CDH5 (CD144),gene
blood_vasculature,HGNC:11724,TEK,TEK (TIE2),gene
blood_vasculature,HGNC:11809,TIE1,TIE1,gene
blood_vasculature,HGNC:21411,AIFM2,AIFM2 (FSP1),gene
blood_vasculature,HGNC:2731,DDR2,DDR2,gene
blood_vasculature,HGNC:130,ACTA2,ACTA2,gene
blood_vasculature,HGNC:2155,CNN1,CNN1,gene
blood_vasculature,HGNC:16067,MYOCD,MYOCD,gene
blood_vasculature,HGNC:11553,TAGLN,TAGLN (SM22),gene
bone_marrow,HGNC:1633,,CD19,gene
bone_marrow,HGNC:8619,,PAX5,gene
bone_marrow,HGNC:5541,,IGHM,gene
bone_marrow,HGNC:5480,,IGHD,gene
bone_marrow,HGNC:1662,CD34,CD34,protein
bone_marrow,HGNC:6024,IL7R,CD127,protein
bone_marrow,HGNC:1633,CD19,CD19,protein
bone_marrow,HGNC:7154,MME,CD10,protein
bone_marrow,HGNC:7315,,MS4A1,gene
bone_marrow,HGNC:7315,MS4A1,CD20,protein
bone_marrow,HGNC:2336,CR2,CD21,protein
bone_marrow,HGNC:1643,CD22,CD22,protein
bone_marrow,HGNC:11922,CD27,CD27,protein
bone_marrow,HGNC:5541,IGHM,IgM,protein
bone_marrow,HGNC:5480,IGHD,IgD,protein
bone_marrow,HGNC:5478,,IGHA1,gene
bone_marrow,HGNC:5525,,IGHG1,gene
bone_marrow,HGNC:6210,,CD82,gene
bone_marrow,HGNC:10720,,SELL,gene
bone_marrow,HGNC:11922,,CD27,gene
bone_marrow,HGNC:1667,CD38,CD38+/lo,protein
bone_marrow,HGNC:1645,CD24,CD24+/lo,protein
bone_marrow,HGNC:11919,,CD40,gene
bone_marrow,HGNC:3612,,FCER2,gene
bone_marrow,HGNC:1645,CD24,CD24,protein
bone_marrow,HGNC:11922,CD27,CD27hi,protein
bone_marrow,HGNC:1667,CD38,CD38hi,protein
bone_marrow,HGNC:10658,SDC1,CD138,protein
bone_marrow,HGNC:10658,,SDC1,gene
bone_marrow,HGNC:14236,,DERL3,gene
bone_marrow,HGNC:30125,,MZB1,gene
bone_marrow,HGNC:5716,,IGKC,gene
bone_marrow,HGNC:23400,,SEC11C,gene
bone_marrow,HGNC:11913,,TNFRSF17,gene
bone_marrow,HGNC:2983,,DNTT,gene
bone_marrow,HGNC:7154,,MME,gene
bone_marrow,HGNC:12709,,VPREB1,gene
bone_marrow,HGNC:9831,,RAG1,gene
bone_marrow,HGNC:38476,,IGLL5,gene
bone_marrow,HGNC:11200,,SOX4,gene
bone_marrow,HGNC:1004,,BCL7A,gene
bone_marrow,HGNC:11648,,TCL1A,gene
bone_marrow,HGNC:18504,,FCRLA,gene
bone_marrow,HGNC:1645,,CD24,gene
bone_marrow,HGNC:1674,CD3E,CD3,protein
bone_marrow,HGNC:1628,CD14,CD14,protein
bone_marrow,HGNC:3619,FCGR3A,CD16,protein
bone_marrow,HGNC:7656,NCAM1,CD56,protein
bone_marrow,,,HLA-DR,protein
bone_marrow,HGNC:6152,ITGAX,CD11c+/lo,protein
bone_marrow,HGNC:6012,IL3RA,CD123,protein
bone_marrow,HGNC:11784,THBD,CD141hi,protein
bone_marrow,HGNC:26705,CLEC9A,CLEC9A,protein
bone_marrow,HGNC:1636,CD1C,CD1c-/lo,protein
bone_marrow,HGNC:26705,,CLEC9A,gene
bone_marrow,HGNC:5951,,CADM1,gene
bone_marrow,HGNC:1625,,XCR1,gene
bone_marrow,HGNC:11784,THBD,CD141,protein
bone_marrow,HGNC:1636,CD1C,CD1c,protein
bone_marrow,HGNC:1636,,CD1C,gene
bone_marrow,HGNC:3609,,FCER1A,gene
bone_marrow,HGNC:16916,,CLEC10A,gene
bone_marrow,HGNC:4943,,HLA-DQA2,gene
bone_marrow,HGNC:4940,,HLA-DPB1,gene
bone_marrow,HGNC:3618,,FCGR2B,gene
bone_marrow,HGNC:1628,CD14,CD14-/lo,protein
bone_marrow,HGNC:10498,,S100A8,gene
bone_marrow,HGNC:10499,,S100A9,gene
bone_marrow,HGNC:1663,,CD36,gene
bone_marrow,HGNC:1631,,CD163,gene
bone_marrow,HGNC:6152,ITGAX,CD11c,protein
bone_marrow,HGNC:13258,CLEC4C,CD303,protein
bone_marrow,HGNC:4709,,GZMB,gene
bone_marrow,HGNC:5713,,JCHAIN,gene
bone_marrow,HGNC:8824,,SERPINF1,gene
bone_marrow,HGNC:6152,ITGAX,CD11c-/,protein
bone_marrow,HGNC:905,AXL,AXL,protein
bone_marrow,HGNC:10875,SIGLEC6,Siglec6,protein
bone_marrow,HGNC:905,,AXL,gene
bone_marrow,HGNC:10875,,SIGLEC6,gene
bone_marrow,HGNC:1643,,CD22,gene
bone_marrow,HGNC:9666,PTPRC,CD45lo,protein
bone_marrow,HGNC:11763,TFRC,CD71,protein
bone_marrow,HGNC:1663,CD36,CD36,protein
bone_marrow,HGNC:6342,KIT,CD117,protein
bone_marrow,HGNC:3349,ENG,CD105,protein
bone_marrow,HGNC:4702,GYPA,CD235alo,protein
bone_marrow,HGNC:7553,,MYC,gene
bone_marrow,HGNC:607,,APOC1,gene
bone_marrow,HGNC:31397,,PRSS57,gene
bone_marrow,HGNC:6251,,KCNH2,gene
bone_marrow,HGNC:11529,,EPCAM,gene
bone_marrow,HGNC:6345,,KLF1,gene
bone_marrow,HGNC:4170,,GATA1,gene
bone_marrow,HGNC:21256,,TSPO2,gene
bone_marrow,HGNC:10006,,RHAG,gene
bone_marrow,HGNC:10008,,RHCE,gene
bone_marrow,HGNC:11272,,SPTA1,gene
bone_marrow,HGNC:9666,PTPRC,CD45,protein
bone_marrow,HGNC:4702,GYPA,CD235a,protein
bone_marrow,HGNC:4827,,HBB,gene
bone_marrow,HGNC:397,,ALAS2,gene
bone_marrow,HGNC:1093,,BPGM,gene
bone_marrow,HGNC:4824,,HBA2,gene
bone_marrow,HGNC:4831,,HBG1,gene
bone_marrow,HGNC:19911,,DCAF12,gene
bone_marrow,HGNC:24040,,ADIPOR1,gene
bone_marrow,HGNC:1663,CD36,CD36lo,protein
bone_marrow,HGNC:4702,GYPA,CD235ahi,protein
bone_marrow,HGNC:4444,,GP9,gene
bone_marrow,HGNC:10690,,CAVIN2,gene
bone_marrow,HGNC:9240,,PPBP,gene
bone_marrow,HGNC:18874,,LAT,gene
bone_marrow,HGNC:8861,,PF4,gene
bone_marrow,HGNC:24356,,CLEC1B,gene
bone_marrow,HGNC:6138,,ITGA2B,gene
bone_marrow,HGNC:8861,PF4,CXCL4,protein
bone_marrow,HGNC:3618,FCGR2B,CD32,protein
bone_marrow,HGNC:4439,GP1BA,CD42b,protein
bone_marrow,HGNC:6138,ITGA2B,CD41,protein
bone_marrow,HGNC:6156,ITGB3,CD61,protein
bone_marrow,HGNC:4171,,GATA2,gene
bone_marrow,HGNC:9070,,PLEK,gene
bone_marrow,HGNC:2067,,PDLIM1,gene
bone_marrow,HGNC:3618,FCGR2B,CD32lo,protein
bone_marrow,HGNC:6138,ITGA2B,CD41lo,protein
bone_marrow,HGNC:1662,,CD34,gene
bone_marrow,HGNC:11245,,SPINK2,gene
bone_marrow,HGNC:29109,,TESPA1,gene
bone_marrow,HGNC:5992,,IL1B,gene
bone_marrow,HGNC:15879,,CTNNBL1,gene
bone_marrow,HGNC:1667,CD38,CD38,protein
bone_marrow,HGNC:9666,PTPRC,CD45RA,protein
bone_marrow,HGNC:3765,FLT3,CD135,protein
bone_marrow,HGNC:16505,,CYGB,gene
bone_marrow,HGNC:186,,ADA,gene
bone_marrow,HGNC:9352,,PRDX1,gene
bone_marrow,HGNC:12749,,LAT2,gene
bone_marrow,HGNC:12560,,UMODL1,gene
bone_marrow,HGNC:7203,,CD200,gene
bone_marrow,HGNC:5154,,HPGDS,gene
bone_marrow,HGNC:24435,,CYTL1,gene
bone_marrow,HGNC:3311,,SERPINB1,gene
bone_marrow,HGNC:7028,,MEST,gene
bone_marrow,HGNC:6012,IL3RA,CD123lo,protein
bone_marrow,HGNC:1455,,CALR,gene
bone_marrow,HGNC:10576,,CLEC11A,gene
bone_marrow,HGNC:7218,,MPO,gene
bone_marrow,HGNC:913,,AZU1,gene
bone_marrow,HGNC:894,,AVP,gene
bone_marrow,HGNC:2356,,CRHBP,gene
bone_marrow,HGNC:7945,,NPR3,gene
bone_marrow,HGNC:1036,,BEX1,gene
bone_marrow,HGNC:9454,,PROM1,gene
bone_marrow,HGNC:4977,,CD34,gene
bone_marrow,HGNC:4977,,HLF,gene
bone_marrow,HGNC:7136,,MLLT3,gene
bone_marrow,HGNC:1639,CD2,CD2,protein
bone_marrow,HGNC:11801,THY1,CD90,protein
bone_marrow,HGNC:13221,,BCL11A,gene
bone_marrow,HGNC:6010,,IL2RG,gene
bone_marrow,HGNC:11491,,SYK,gene
bone_marrow,HGNC:3765,,FLT3,gene
bone_marrow,HGNC:1662,CD34,CD34hi,protein
bone_marrow,HGNC:2464,,VCAN,gene
bone_marrow,HGNC:2475,,CST3,gene
bone_marrow,HGNC:1628,,CD14,gene
bone_marrow,HGNC:3623,,FCN1,gene
bone_marrow,HGNC:2558,CX3CR1,CX3CR1,protein
bone_marrow,HGNC:2561,CXCR4,CXCR4,protein
bone_marrow,HGNC:24149,,HES4,gene
bone_marrow,HGNC:13378,,MS4A7,gene
bone_marrow,HGNC:5414,,IFITM3,gene
bone_marrow,HGNC:3619,,FCGR3A,gene
bone_marrow,HGNC:16642,,CXCL16,gene
bone_marrow,HGNC:14189,,LST1,gene
bone_marrow,HGNC:31713,CLEC12A,CLEC12Ahi,protein
bone_marrow,HGNC:3613,FCGR1A,CD64hi,protein
bone_marrow,HGNC:28874,CD300E,CD300E,protein
bone_marrow,HGNC:2558,,CX3CR1,gene
bone_marrow,HGNC:1603,,CCR2,gene
bone_marrow,HGNC:1603,,HLA-DRA,gene
bone_marrow,HGNC:10494,,S100A4,gene
bone_marrow,HGNC:10496,,S100A6,gene
bone_marrow,HGNC:11241,,SPI1,gene
bone_marrow,HGNC:5358,,IRF8,gene
bone_marrow,HGNC:1834,,CEBPB,gene
bone_marrow,HGNC:6348,,KLF4,gene
bone_marrow,HGNC:6526,,LCN2,gene
bone_marrow,HGNC:1472,,CAMP,gene
bone_marrow,HGNC:6720,,LTF,gene
bone_marrow,HGNC:3383,,STOM,gene
bone_marrow,HGNC:1820,,CEACAM8,gene
bone_marrow,HGNC:500,ANPEP,CD13,protein
bone_marrow,HGNC:4015,FUT4,CD15,protein
bone_marrow,HGNC:11249,SPN,CD43,protein
bone_marrow,HGNC:1820,CEACAM8,CD66b,protein
bone_marrow,HGNC:6140,ITGA4,CD49d,protein
bone_marrow,HGNC:6149,ITGAM,CD11b,protein
bone_marrow,HGNC:6149,,ITGAM,gene
bone_marrow,HGNC:7176,,MMP9,gene
bone_marrow,HGNC:8904,,PGLYRP1,gene
bone_marrow,HGNC:8498,,ORM1,gene
bone_marrow,HGNC:10489,,S100A12,gene
bone_marrow,HGNC:2334,CR1,CD35,protein
bone_marrow,HGNC:9053,PLAUR,CD87,protein
bone_marrow,HGNC:3619,FCGR3A,CD16hi,protein
bone_marrow,HGNC:3613,FCGR1A,CD64,protein
bone_marrow,HGNC:3309,,ELANE,gene
bone_marrow,HGNC:2532,,CTSG,gene
bone_marrow,HGNC:9495,,PRTN3,gene
bone_marrow,HGNC:4855,,HDC,gene
bone_marrow,HGNC:2014,,CLC,gene
bone_marrow,HGNC:2298,,CPA3,gene
bone_marrow,HGNC:6017,,IL5RA,gene
bone_marrow,HGNC:7317,,MS4A3,gene
bone_marrow,HGNC:17890,,HPGDS,gene
bone_marrow,HGNC:6017,IL5RA,CD125,protein
bone_marrow,HGNC:1604,CCR3,CCR3,protein
bone_marrow,HGNC:3609,FCER1A,FcER1A,protein
bone_marrow,HGNC:6012,,IL3RA,gene
bone_marrow,HGNC:6024,IL7R,CD127hi,protein
bone_marrow,HGNC:12019,,TPSAB1,gene
bone_marrow,HGNC:6342,,KIT,gene
bone_marrow,HGNC:1673,,CD3D,gene
bone_marrow,HGNC:12029,,TRAC,gene
bone_marrow,HGNC:12156,,TRBC1,gene
bone_marrow,HGNC:6024,,IL7R,gene
bone_marrow,HGNC:30698,,TRAT1,gene
bone_marrow,HGNC:6711,,LTB,gene
bone_marrow,HGNC:636,,AQP3,gene
bone_marrow,HGNC:11935,,CD40LG,gene
bone_marrow,HGNC:1678,CD4,CD4,protein
bone_marrow,HGNC:1706,CD8A,CD8,protein
bone_marrow,HGNC:1608,CCR7,CCR7,protein
bone_marrow,HGNC:4054,,IFI6,gene
bone_marrow,HGNC:6563,,LGALS3,gene
bone_marrow,HGNC:26974,,PDZD8,gene
bone_marrow,HGNC:537,,ANXA2,gene
bone_marrow,HGNC:2360,,CRIP1,gene
bone_marrow,HGNC:6015,,IL4R,gene
bone_marrow,HGNC:11362,,STAT1,gene
bone_marrow,HGNC:6817,,MAL,gene
bone_marrow,HGNC:19383,,SOCS1,gene
bone_marrow,HGNC:6001,,IL2,gene
bone_marrow,HGNC:8109,,ODC1,gene
bone_marrow,HGNC:19129,,PSAT1,gene
bone_marrow,HGNC:12729,,WARS,gene
bone_marrow,HGNC:9721,,PYCR1,gene
bone_marrow,HGNC:11892,,TNF,gene
bone_marrow,HGNC:7849,,NME1,gene
bone_marrow,HGNC:16647,,CXCR6,gene
bone_marrow,HGNC:9360,,PRF1,gene
bone_marrow,HGNC:6134,,ITGA1,gene
bone_marrow,HGNC:10627,,CCL3,gene
bone_marrow,HGNC:10630,,CCL4,gene
bone_marrow,HGNC:24961,,HOPX,gene
bone_marrow,HGNC:7830,,NKG7,gene
bone_marrow,HGNC:4414,,GNLY,gene
bone_marrow,HGNC:5411,,IFIT3,gene
bone_marrow,HGNC:6378,,KLRD1,gene
bone_marrow,HGNC:10632,,CCL5,gene
bone_marrow,HGNC:10720,SELL,CD62L,protein
bone_marrow,HGNC:4710,,GZMH,gene
bone_marrow,HGNC:16830,,IL32,gene
bone_marrow,HGNC:1706,,CD8A,gene
bone_marrow,HGNC:3068,,DUSP2,gene
bone_marrow,HGNC:6380,,KLRG1,gene
bone_marrow,HGNC:12276,,TRGC2,gene
bone_marrow,HGNC:4711,,GZMK,gene
bone_marrow,HGNC:7656,NCAM1,CD56hi,protein
bone_marrow,HGNC:12253,,TRDC,gene
bone_marrow,HGNC:6373,,KLRB1,gene
bone_marrow,HGNC:2064,,CLIC3,gene
bone_marrow,HGNC:2479,,CST7,gene
bone_marrow,HGNC:10645,,XCL1,gene
bone_marrow,HGNC:921,B3GAT1,CD57,protein
bone_marrow,HGNC:4708,,GZMA,gene
bone_marrow,HGNC:6008,IL2RA,CD25,protein
bone_marrow,HGNC:6106,FOXP3,FOXP3,protein
bone_marrow,HGNC:2505,CTLA4,CTLA4,protein
bone_marrow,HGNC:6106,,FOXP3,gene
bone_marrow,HGNC:11910,,TNFRSF25,gene
bone_marrow,HGNC:26838,,TIGIT,gene
bone_marrow,HGNC:1607,,CCR6,gene
bone_marrow,HGNC:11918,,TNFRSF4,gene
brain,HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene
brain,HGNC:1639,CD2 molecule,CD2,gene
brain,HGNC:21569,thymocyte selection associated,THEMIS,gene
brain,HGNC:4414,granulysin,GNLY,gene
brain,HGNC:7830,natural killer cell granule protein 7,NKG7,gene
brain,HGNC:3623,ficolin 1,FCN1,gene
brain,HGNC:54284,HIF1A antisense RNA 3,HIF1A-AS3,gene
brain,HGNC:9361,serglycin,SRGN,gene
brain,HGNC:17379,amyloid beta precursor protein binding family B member 1 interacting protein,APBB1IP,gene
brain,HGNC:12405,transthyretin,TTR,gene
brain,HGNC:6152,integrin subunit alpha X,ITGAX,gene
brain,HGNC:21695,scinderin,SCIN,gene
brain,HGNC:38712,long intergenic non-protein coding RNA 278,LINC00278,gene
brain,HGNC:8133,oxidized low density lipoprotein receptor 1,OLR1,gene
brain,HGNC:2558,C-X3-C motif chemokine receptor 1,CX3CR1,gene
brain,HGNC:54229,long intergenic non-protein coding RNA 2712,LINC02712,gene
brain,HGNC:28416,CCDC26 long non-coding RNA,CCDC26,gene
brain,HGNC:50913,lncRNA activating regulator of DKK1,LNCAROD,gene
brain,HGNC:352,allograft inflammatory factor 1,AIF1,gene
brain,HGNC:18124,purinergic receptor P2Y12,P2RY12,gene
brain,HGNC:19191,dedicator of cytokinesis 8,DOCK8,gene
brain,HGNC:54124,long intergenic non-protein coding RNA 2642,LINC02642,gene
brain,HGNC:7228,mannose receptor C-type 1,MRC1,gene
brain,HGNC:3531,coagulation factor XIII A chain,F13A1,gene
brain,HGNC:13635,plasmalemma vesicle associated protein,PLVAP,gene
brain,HGNC:30400,semaphorin 3G,SEMA3G,gene
brain,HGNC:4871,HERC2 pseudogene 3,HERC2P3,gene
brain,HGNC:19194,hemicentin 1,HMCN1,gene
brain,HGNC:74,ATP binding cassette subfamily G member 2 (Junior blood group),ABCG2,gene
brain,HGNC:3498,MDS1 and EVI1 complex locus,MECOM,gene
brain,HGNC:17995,transient receptor potential cation channel subfamily M member 6,TRPM6,gene
brain,HGNC:5993,interleukin 1 receptor type 1,IL1R1,gene
brain,HGNC:7060,matrix Gla protein,MGP,gene
brain,HGNC:130,"actin alpha 2, smooth muscle",ACTA2,gene
brain,HGNC:11553,transgelin,TAGLN,gene
brain,HGNC:29836,NDUFA4 mitochondrial complex associated like 2,NDUFA4L2,gene
brain,HGNC:26213,RERG like,RERGL,gene
brain,HGNC:42872,cardiac mesoderm enhancer-associated non-coding RNA,CARMN,gene
brain,HGNC:10937,solute carrier family 19 member 1,SLC19A1,gene
brain,HGNC:14872,asporin,ASPN,gene
brain,HGNC:11045,solute carrier family 6 member 12,SLC6A12,gene
brain,HGNC:11046,solute carrier family 6 member 13,SLC6A13,gene
brain,HGNC:1346,complement C7,C7,gene
