source_id,source_rdfs_label,source_name,source_type,relationship,target_id,target_rdfs_label,target_name,target_type
HGNC:1667,CD38,CD38,B,characterizes,CL:0000837,hematopoietic multipotent progenitor cell,multipotent progenitor cell (MPP),CT
FMA:0323777,Superficial femoral artery,superficial femoral artery,AS,part_of,FMA:0323778,Common femoral artery,common femoral artery,AS
CL:0002071,enterocyte of epithelium of large intestine,absorptive,CT,located_in,UBERON:0000397,colonic epithelium,epithelium,AS
,Splat_403 Splatter Neuron of brain,Splat_403,CT,is_a,CL:0000540,neuron,neuron,CT
FMA:49555,Ascending palatine artery,ascending palatine artery,AS,part_of,UBERON:0001612,facial artery,facial artery,AS
UBERON:0000039,follicular antrum,follicular antrum,AS,part_of,UBERON:2001571,postovulatory follicle,postovulatory follicle,AS
HGNC:17318,relaxin family peptide receptor 2,RXFP2,B,characterizes,,Amex_406 Amygdala excitatory Neuron of gray matter of forebrain,Amex_406,CT
FMA:44788,dorsal digital nerve of second toe,dorsal digital nerve of second toe,AS,part_of,FMA:44793,dorsal digital nerve of foot,dorsal digital nerve of foot,AS
FMA:70195,artery of round ligament of uterus,artery of round ligament of uterus,AS,part_of,UBERON:0000995,uterus,Uterus,AS
UBERON:0001907,zona incerta,zona Incerta,AS,part_of,UBERON:0001900,ventral thalamus,ventral thalamus,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0015480,proper hepatic artery,proper hepatic artery,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:44647,First dorsal metatarsal artery,first dorsal metatarsal artery,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:49746,Posterior deep temporal artery,posterior deep temporal artery,AS
HGNC:2705,HGNC:4620,,B,characterizes,CL:0000057,fibroblast,fibroblast,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,foramen magnum of basilar part of occipital bone,AS
CL:0002144,capillary endothelial cell,capillary endothelial cell,CT,located_in,FMA:14121,Pulmonary capillary,pulmonary capillary,AS
HGNC:7035,microfibril associated protein 4,MFAP4,B,characterizes,CL:0019002,lung perichondrial fibroblast,lung perichondrial fibroblast,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:50437,Prefrontal artery,prefrontal artery,AS
P20702,Integrin alpha-X,CD11c,B,characterizes,CL:0000990,conventional dendritic cell,Dendritic Cell (classical),CT
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0012324,transverse cervical artery,transverse cervical artery,AS
CL:0019019,tracheobronchial smooth muscle cell,tracheobronchial smooth muscle,CT,located_in,UBERON:0004884,lobar bronchus mesenchyme,bronchial mesenchyme,AS
,,sacral spine of sacrum,AS,part_of,UBERON:0003690,fused sacrum,sacrum,AS
,,levator veli palatini muscle,AS,part_of,UBERON:0003682,palatal muscle,palatal muscle,AS
CL:0001055,"CD14-positive, CD16-low monocyte",Monocytes,CT,located_in,UBERON:0001266,splenic cord,Splenic Cord,AS
HGNC:18075,AHSP,AHSP,B,characterizes,CL:0000764,erythroid lineage cell,erythroid,CT
FMA:4521,Left eighth posterior intercostal artery,left posterior intercostal artery 8,AS,part_of,UBERON:0002345,descending thoracic aorta,descending thoracic aorta,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:70442,Anterior superior segmental hepatic artery,anterior superior segmental branch of right hepatic artery,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,body of second rib,AS
HGNC:7107,MKI67,Ki67,B,characterizes,CL:0009111,centrocyte,Centrocyte,CT
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:69588,Medial part of dorsal digital artery of fourth toe,medial dorsal digital artery of fourth digit of foot,AS
FMA:81247,branch of lateral pectoral nerve to clavicular part of pectoralis major,branch of lateral pectoral nerve to clavicular part of pectoralis major,AS,part_of,FMA:65296,lateral pectoral nerve,lateral pectoral nerve,AS
UBERON:0003725,cervical nerve plexus,cervical plexus,AS,part_of,FMA:8736,anterior ramus of third cervical nerve,ventral ramus of third cervical spinal nerve,AS
HGNC:1072,bone morphogenetic protein 5,BMP5,B,characterizes,,Fbl_24 Fibroblast Non-neuron of brain,Fbl_24,CT
UBERON:0004328,proximal phalanx of manual digit 2,proximal phalanx of digit of hand 2,AS,part_of,UBERON:0005897,manus bone,hand bone,AS
,Amex_406 Amygdala excitatory Neuron of gray matter of forebrain,Amex_406,CT,located_in,UBERON:0019264,gray matter of forebrain,gray matter of forebrain,AS
HGNC:15478,ADAM metallopeptidase domain 33,ADAM33,B,characterizes,,CGE_282 CGE interneuron Neuron of cerebral cortex,CGE_282,CT
FMA:53339,upper deep buccal branch of facial nerve,upper deep buccal branch of facial nerve,AS,part_of,FMA:53325,deep buccal branch of facial nerve,deep buccal branch of facial nerve,AS
UBERON:0000397,surface epithelium,epithelium,AS,part_of,UBERON:0004989,mucosa of appendix,mucosa,AS
CL:4030028,glycinergic amacrine cell,Glycinergic Amacrine Cell,CT,is_a,CL:0000540,Neuron,Neuron,CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,UBERON:0018255,jejunal artery,jejunal branches,AS
,Splat_417 Splatter Neuron of hypothalamus,Splat_417,CT,located_in,UBERON:0001898,hypothalamus,hypothalamus,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:71544,Set of oesophageal branches of left gastric artery,esophageal branches of left gastric artery,AS
HGNC:1662,,CD34,B,characterizes,CL:0002543,vein endothelial cell,venous endothelium,CT
UBERON:0011820,atrioventricular region,atrioventricular junction,AS,part_of,UBERON:0000948,heart,heart,AS
HGNC:8861,PF4,CXCL4,B,characterizes,CL:0000556,megakaryocyte,Megakaryocyte (MK),CT
FMA:4268,Right sixth posterior intercostal artery,right posterior intercostal artery 6,AS,part_of,UBERON:0002345,descending thoracic aorta,descending thoracic aorta,AS
HGNC:52626,long intergenic non-protein coding RNA 1821,LINC01821,B,characterizes,,Amex_159 Amygdala excitatory Neuron of gray matter of forebrain,Amex_159,CT
UBERON:0001108,omohyoid muscle,omohyoid muscle,AS,part_of,UBERON:0008523,infrahyoid muscle,infrahyoid muscle,AS
,,mammillary nucleus,AS,part_of,,,mammillary region,AS
,Amex_405 Amygdala excitatory Neuron of gray matter of forebrain,Amex_405,CT,located_in,UBERON:0019264,gray matter of forebrain,gray matter of forebrain,AS
HGNC:9623,PTMA,Thymosin alpha-1,B,characterizes,CL:0009077,subcapsular thymic epithelial cell,subcapsular cortical epithelial cell,CT
CL:0009083,rearranging double negative thymocyte,double negative thymocyte 4,CT,located_in,UBERON:0006936,thymus subcapsular epithelium,thymus subcapsular epithelium,AS
HGNC:4711,,GZMK,B,characterizes,CL:0000938,"CD16-negative, CD56-bright natural killer cell",CD56 bright Natural Killer,CT
CL:0002573,Schwann cell,nerve,CT,located_in,UBERON:0007178,muscularis mucosae of colon,muscularis mucosa,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:22763,Arteria radialis indicis,radialis indicis artery,AS
,DLNP_87 Deep-layer near-projecting Neuron of gray matter of forebrain,DLNP_87,CT,located_in,UBERON:0019264,gray matter of forebrain,gray matter of forebrain,AS
,,pedicle of eighth thoracic vertebra,AS,part_of,UBERON:0011050,thoracic vertebra 8,thoracic vertebra 8,AS
HGNC:4540,CXCR3,CXCR3,B,characterizes,CL:0001203,CD8 positiver alpha beta memory T cell CD45RO +,CD8+ Liver-Resident Memory T cell,CT
CD200,HGNC:7203,CD200 molecule,B,characterizes,CL:0002337,keratinocyte stem cell,keratinocyte stem cell,CT
CL:1000279,smooth muscle cell of large intestine,muscle,CT,located_in,UBERON:0012398,large intestine smooth muscle circular layer,circular muscle layer,AS
UBERON:0002476,lateral globus pallidus,"globus pallidus, external",AS,part_of,UBERON:0010011,collection of basal ganglia,basal nuclei (basal ganglia),AS
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,,,long head of biceps femoris muscle,AS
CL:0000158,club cell,club cell,CT,located_in,UBERON:0002341,epithelium of segmental bronchus,segmental bronchial epithelium,AS
HGNC:1628,CD14,CD14-/lo,B,characterizes,CL:0002396,"CD14-low, CD16-positive monocyte",CD16 monocyte,CT
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0018255,jejunal artery,jejunal branches,AS
UBERON:0006960,Ovarian stroma,ovarian interstitia,AS,part_of,,,central inferior antimesenteric ovary,AS
CL:0004252,medium field retinal amacrine cell,medium-field cell,CT,located_in,UBERON:0001791,inner nuclear layer of retina,inner nuclear layer,AS
CL:0000788,naive B cell,Naive B Cell,CT,located_in,UBERON:0004041,spleen primary B follicle,Primary Follicle,AS
HGNC:130,"actin alpha 2, smooth muscle",ACTA2,B,characterizes,,,vascular smooth muscle cell of ureter,CT
HGNC:30506,"pleckstrin homology, MyTH4 and FERM domain containing H2",PLEKHH2,B,characterizes,,Midi_444 Midbrain-derived inhibitory Neuron of brain,Midi_444,CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,dorsal branch of lateral proper palmar digital artery of fourth digit of hand,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:81330,branch of lateral pectoral nerve to sternocostal part of pectoralis major,branch of lateral pectoral nerve to sternocostal part of pectoralis major,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:81232,nerve to articularis cubiti,medial muscular branch of radial nerve to articularis cubiti,AS
CL:0002144,capillary endothelial cell,capillary endothelial cell,CT,located_in,,,secondary capillary plexus of anterior pituitary gland #2,AS
,,semilunar cell,CT,located_in,UBERON:0001791,inner nuclear layer of retina,inner nuclear layer,AS
UBERON:0001789,outer nuclear layer of retina,outer nuclear layer,AS,part_of,UBERON:0000966,retina,retina,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,periductal arteriole of main pancreatic duct,AS
CL:0000192,smooth muscle cell,Splenic Smooth Muscle Cell,CT,located_in,UBERON:0013132,Penicillar Arteriole,Penicillar Arteriole,AS
HGNC:11529,EPCAM,EPCAM,B,characterizes,CL:0002207,brush cell of trachea,tuft cell,CT
O00592,Podocalyxin,PODXL,B,characterizes,CL:0000653,glomerular visceral epithelial cell,Podocyte,CT
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,FMA:0323595,Second dorsal metacarpal artery,second dorsal metacarpal artery,AS
CL:0000129,microglial cell,Microglia,CT,located_in,UBERON:0014638,lumbar spinal cord dorsal horn,lumbar spinal cord dorsal horn,AS
UBERON:0001154,vermiform appendix,appendix,AS,part_of,UBERON:0000059,large intestine,large intestine,AS
HGNC:124,"TRAP: ACP5: acid phosphatase 5, tartrate resistant","TRAP: ACP5: acid phosphatase 5, tartrate resistant",B,characterizes,CL:0000779,multinuclear osteoclast,multinuclear osteoclast,CT
FMA:82584,branch of spinal accessory nerve to sternocleidomastoid,sternocleidomastoid branch of spinal accessory nerve,AS,part_of,FMA:6720,spinal accessory nerve,spinal accessory nerve,AS
HGNC:12560,,UMODL1,B,characterizes,CL:0000051,common lymphoid progenitor,common lymphoid progenitor (CLP),CT
HGNC:14638,ATP binding cassette subfamily A member 13,ABCA13,B,characterizes,,URL_309 Upper rhombic lip Neuron of gray matter of hindbrain,URL_309,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,facet of first rib,AS
UBERON:0001381,semimembranosus muscle,semimembranosus muscle,AS,part_of,,,posterior compartment of thigh muscle,AS
UBERON:0001101,external jugular vein,external jugular vein,AS,part_of,UBERON:0001587,subclavian vein,subclavian vein,AS
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,UBERON:0008595,levator anguli oris,levator anguli oris muscle,AS
,,villous mesenchyme,AS,part_of,UBERON:0007106,chorionic villus,chorionic villous,AS
CL:0000084,T cell,T cell,CT,located_in,UBERON:0000955,brain,brain,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,UBERON:0035249,posterior external jugular vein,posterior external jugular vein,AS
P28906,Hematopoietic progenitor cell antigen CD34,CD34,B,characterizes,CL:0002363,keratocyte,keratocyte,CT
UBERON:0001375,semitendinosus,semitendinosus muscle,AS,part_of,,,posterior compartment of thigh muscle,AS
UBERON:0001619,ophthalmic artery,ophthalmic artery,AS,part_of,UBERON:0001532,internal carotid artery,internal carotid artery,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:10649,Seventh anterior intercostal artery,anterior intercostal artery 7,AS
HGNC:9666,PTPRC,CD45RA,B,characterizes,,,Myeloid progenitor (MOP),CT
HGNC:6594,LIM homeobox 2,LHX2,B,characterizes,,Splat_373 Splatter Neuron of brain,Splat_373,CT
,,submucosal plexus of Meissner,AS,part_of,UBERON:0004946,submucosa of ileum,submucosa,AS
HGNC:1675,CD3 gamma subunit of T-cell receptor complex,CD3G,B,characterizes,CL:0000084,T cell,T Cell,CT
HGNC:10658,SDC1,CD138,B,characterizes,CL:0000788,naive B cell,naive B cell,CT
UBERON:0036074,vein of vestibular aqueduct,vein of vestibular aqueduct,AS,part_of,UBERON:0001641,transverse sinus,transverse sinus,AS
,,pedicle of seventh thoracic vertebra,AS,part_of,UBERON:0004632,thoracic vertebra 7,thoracic vertebra 7,AS
,VendVC_16 Vascular Non-neuron of brain,VendVC_16,CT,is_a,CL:4023072,brain vascular cell,brain vascular cell,CT
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,,,lobular vein of pancreas,AS
HGNC:11922,CD27,CD27,B,characterizes,CL:0000972,class switched memory B cell,memory B cell,CT
CL:0000793,"CD4-positive, alpha-beta intraepithelial T cell",surface intraepithelial CD4+ lymphocyte,CT,located_in,UBERON:0000397,colonic epithelium,lymphcyte,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:71479,Set of lenticulostriate arteries,lenticulostriate artery,AS
,,lateral proper plantar digital artery of third digit of foot,AS,part_of,,,third common plantar digital artery,AS
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,,,pronator teres muscle,AS
,Fbl_25 Fibroblast Non-neuron of brain,Fbl_25,CT,located_in,UBERON:0000955,brain,brain,AS
UBERON:0001284,renal column,renal column (column of Bertin),AS,part_of,UBERON:0001225,cortex of kidney,renal cortex,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:44993,lateral dorsal digital branch of radial nerve to middle finger,lateral dorsal digital branch of radial nerve to middle finger,AS
UBERON:0004671,gyrus rectus,gyrus rectus (straight gyrus),AS,part_of,UBERON:0016525,frontal lobe,frontal lobe,AS
,,occipitotemporal transition region,AS,part_of,UBERON:0002021,occipital lobe,occipital lobe,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0001184,renal artery,renal artery,AS
CL:0000136,fat cell,fat cell,CT,is_a,,,Marrow Adipocytes,CT
CL:0000745,retina horizontal cell,Horizontal Cell,CT,located_in,UBERON:0001791,inner nuclear layer of retina,inner nuclear layer,AS
UBERON:0002319,mesangium,Proximal Tubule,AS,part_of,UBERON:0005215,kidney interstitium,Interstitium,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,,,third posterior perforating branch of plantar arch,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,base of second distal phalanx of foot,AS
HGNC:1678,,CD4,B,characterizes,CL:0000793,"CD4-positive, alpha-beta intraepithelial T cell",surface intraepithelial CD4+ lymphocyte,CT
FMA:6239,superior laryngeal nerve,superior laryngeal branch of vagus,AS,part_of,UBERON:0001759,vagus nerve,vagus nerve,AS
,Splat_365 Splatter Neuron of brain,Splat_365,CT,is_a,CL:0000540,neuron,neuron,CT
CL:0000540,neuron,neuron,CT,located_in,FMA:8773,anterior ramus of fifth lumbar nerve,ventral ramus of fifth lumbar spinal nerve,AS
HGNC:1604,CCR3,CCR3,B,characterizes,CL:0000767,basophil,basophil,CT
UBERON:0007714,cervical subsegment of spinal cord,cervical subsegment of spinal cord,AS,part_of,UBERON:0002726,cervical spinal cord,cervical spinal cord,AS
UBERON:0004944,submucosa of trigone of urinary bladder,submucosa of trigone of urinary bladder,AS,part_of,UBERON:0001257,trigone of urinary bladder,trigone of urinary bladder,AS
HGNC:7891,NADPH oxidase 4,NOX4,B,characterizes,PCL:0015028,Inh L3-5 VIP IGDCC3 primary motor cortex GABAergic interneuron (Hsap),Inh L3-5 VIP IGDCC3,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0003471,artery of lower lip,inferior labial artery,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:4746,Deep cervical vein,deep cervical vein,AS
UBERON:0001495,pectoral muscle,pectoral muscle,AS,part_of,UBERON:0002426,chest muscle,chest muscle,AS
HGNC:10046,ribonuclease A family member 3,EAR11,B,characterizes,CL:0019015,lung parenchyma resident eosinophil,lung parenchyma resident eosinophil,CT
HGNC:1608,C-C motif chemokine receptor 7,CCR7,B,characterizes,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell",CT
,,RP11-33A14.1,B,characterizes,,Amex_154 Amygdala excitatory Neuron of gray matter of forebrain,Amex_154,CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:50802,Occipital vein,occipital vein,AS
,,first posterior perforating branch of plantar arch,AS,part_of,FMA:43942,Plantar arch,plantar arch,AS
HGNC:16438,solute carrier family 4 member 11,SLC4A11,B,characterizes,CL:4033009,goblet cell of epithelium of lobar bronchus,goblet cell of epithelium of lobar bronchus,CT
CL:0002144,capillary endothelial cell,capillary endothelial cell,CT,located_in,,,periductal capillary of main pancreatic duct,AS
,,clavicular notch of sternum,AS,part_of,UBERON:0000975,sternum,sternum,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0001191,common iliac artery,common iliac artery,AS
,,glandular epithelial cell,CT,located_in,UBERON:0012276,,endometrium glandular epithelium,AS
HGNC:20391,sulfatase 1,SULF1,B,characterizes,,DLCT6b_110 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_110,CT
HGNC:921,B3GAT1,CD57,B,characterizes,CL:0000824,mature natural killer cell,mature Natural killer,CT
,,SLC26A2,B,characterizes,CL:1000324,duodenal goblet cell,goblet cell,CT
,,nasal surface of maxilla,AS,part_of,UBERON:0002397,maxilla,maxilla,AS
,Misc_116 Miscellaneous Neuron of cerebral cortex,Misc_116,CT,is_a,CL:0010012,cerebral cortex neuron,cerebral cortex neuron,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0001187,testicular artery,testicular artery,AS
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,,,labial part of orbicularis oris muscle,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,,,jejunal arcade,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:69797,Anterior division of internal iliac artery,anterior division of internal iliac artery,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:322902,Second diagonal branch of anterior descending branch of left coronary artery,diagonal branch of left anterior descending artery 2,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,second posterior perforating branch of plantar arch,AS
,,mucosa of Fallopian tube isthmus,AS,part_of,,,plica of Fallopian tube isthmus,AS
,,articularis cubiti muscle,AS,part_of,,,anterior compartment of arm muscle,AS
HGNC:636,aquaporin 3 (Gill blood group),AQP3,B,characterizes,CL:4030018,kidney connecting tubule principal cell,Connecting Tubule Principal Cell,CT
HGNC:52515,long intergenic non-protein coding RNA 1727,LINC01727,B,characterizes,,Astro_52 Astrocyte Non-neuron of cerebral cortex,Astro_52,CT
CL:0000057,fibroblast,fibroblast,CT,located_in,,,inferior pharyngeal artery,AS
UBERON:0011390,pudendal nerve,pudendal nerve,AS,part_of,UBERON:0034986,sacral nerve plexus,sacral plexus,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,vertebral arch of fourth thoracic vertebra,AS
FMA:53225,communicating branch of lingual nerve with hypoglossal nerve,communicating branch of lingual nerve with hypoglossal nerve,AS,part_of,FMA:53218,lingual nerve,lingual nerve,AS
UBERON:0001188,right testicular artery,right testicular artery,AS,part_of,UBERON:0001516,abdominal aorta,abdominal aorta,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:31933,Right bronchial artery,right bronchial artery,AS
,,anterior arch of first cervical vertebra,AS,part_of,UBERON:0001092,vertebral bone 1,cervical vertebra 1,AS
FMA:44793,dorsal digital nerve of foot,dorsal digital nerve of foot,AS,part_of,FMA:19039,common fibular nerve,common fibular nerve,AS
