organ,id,rdfs_label,name
brain,,Nkcell_2 Miscellaneous Non-neuron of brain,Nkcell_2
brain,CL:0000576,monocyte,monocyte
brain,,Mono_3 Miscellaneous Non-neuron of brain,Mono_3
brain,CL:0000129,microglial cell,microglia
brain,,Mgl_4 Microglia Non-neuron of brain,Mgl_4
brain,,Mgl_5 Microglia Non-neuron of brain,Mgl_5
brain,,Mgl_6 Microglia Non-neuron of brain,Mgl_6
brain,,Mgl_7 Microglia Non-neuron of brain,Mgl_7
brain,,Mgl_8 Microglia Non-neuron of brain,Mgl_8
brain,,Mgl_9 Microglia Non-neuron of brain,Mgl_9
brain,,Mgl_10 Microglia Non-neuron of brain,Mgl_10
brain,,Mgl_11 Microglia Non-neuron of brain,Mgl_11
brain,,Mgl_12 Microglia Non-neuron of brain,Mgl_12
brain,CL:4023072,brain vascular cell,brain vascular cell
brain,,VendPLVAP_13 Vascular Non-neuron of brain,VendPLVAP_13
brain,,VendAC_14 Vascular Non-neuron of brain,VendAC_14
brain,,VendC_15 Vascular Non-neuron of brain,VendC_15
brain,,VendVC_16 Vascular Non-neuron of brain,VendVC_16
brain,,VendV_17 Vascular Non-neuron of brain,VendV_17
brain,,VendA_18 Vascular Non-neuron of brain,VendA_18
brain,,Vsmc_19 Vascular Non-neuron of brain,Vsmc_19
brain,,Vsmc_20 Vascular Non-neuron of brain,Vsmc_20
brain,,Per_21 Vascular Non-neuron of brain,Per_21
brain,,Per_22 Vascular Non-neuron of brain,Per_22
brain,,Per_23 Vascular Non-neuron of brain,Per_23
brain,CL:0000057,fibroblast,fibroblast
brain,,Fbl_24 Fibroblast Non-neuron of brain,Fbl_24
brain,,Fbl_25 Fibroblast Non-neuron of brain,Fbl_25
brain,,Fbl_26 Fibroblast Non-neuron of brain,Fbl_26
brain,,Fbl_27 Fibroblast Non-neuron of brain,Fbl_27
brain,,Fbl_28 Fibroblast Non-neuron of brain,Fbl_28
brain,,Fbl_29 Fibroblast Non-neuron of brain,Fbl_29
brain,,Fbl_30 Fibroblast Non-neuron of brain,Fbl_30
brain,,Fbl_31 Fibroblast Non-neuron of brain,Fbl_31
brain,CL:0002453,oligodendrocyte precursor cell,oligodendrocyte precursor cell
brain,,OPC_32 Oligodendrocyte precursor Non-neuron of brain,OPC_32
brain,,OPC_33 Oligodendrocyte precursor Non-neuron of brain,OPC_33
brain,,OPC_34 Oligodendrocyte precursor Non-neuron of brain,OPC_34
brain,,OPC_35 Oligodendrocyte precursor Non-neuron of gray matter of forebrain,OPC_35
brain,,OPC_36 Oligodendrocyte precursor Non-neuron of brain,OPC_36
brain,CL:4023059,differentiation-committed oligodendrocyte precursor,committed oligodendrocyte precursor cell
brain,,COP_37 Committed oligodendrocyte precursor Non-neuron of brain,COP_37
brain,,COP_38 Committed oligodendrocyte precursor Non-neuron of brain,COP_38
brain,,COP_39 Committed oligodendrocyte precursor Non-neuron of brain,COP_39
brain,CL:0000128,oligodendrocyte,oligodendrocyte
brain,,Oligo_40 Oligodendrocyte Non-neuron of brain,Oligo_40
brain,,COP_41 Committed oligodendrocyte precursor Non-neuron of brain,COP_41
brain,,COP_42 Committed oligodendrocyte precursor Non-neuron of thalamus,COP_42
brain,,COP_43 Committed oligodendrocyte precursor Non-neuron of brain,COP_43
brain,,Oligo_44 Oligodendrocyte Non-neuron of brain,Oligo_44
brain,,Oligo_45 Oligodendrocyte Non-neuron of brain,Oligo_45
brain,,Oligo_46 Oligodendrocyte Non-neuron of brain,Oligo_46
brain,,Oligo_47 Oligodendrocyte Non-neuron of brain,Oligo_47
brain,,Oligo_48 Oligodendrocyte Non-neuron of gray matter of forebrain,Oligo_48
brain,,Oligo_49 Oligodendrocyte Non-neuron of brain,Oligo_49
brain,,Oligo_50 Oligodendrocyte Non-neuron of hypothalamus,Oligo_50
brain,CL:0000644,Bergmann glial cell,Bergmann glial cell
brain,,Bgl_51 Bergmann glia Non-neuron of cerebellum,Bgl_51
brain,CL:0002605,astrocyte of the cerebral cortex,astrocyte of the cerebral cortex
brain,,Astro_52 Astrocyte Non-neuron of cerebral cortex,Astro_52
brain,CL:0002604,hippocampal astrocyte,hippocampal astrocyte
brain,,Astro_53 Astrocyte Non-neuron of hippocampal gyrus (formation),Astro_53
brain,CL:0012000,astrocyte of the forebrain,astrocyte of the forebrain
brain,,Astro_54 Astrocyte Non-neuron of gray matter of forebrain,Astro_54
brain,,Astro_55 Astrocyte Non-neuron of gray matter of forebrain,Astro_55
brain,CL:0000127,astrocyte,astrocyte
brain,,Astro_56 Astrocyte Non-neuron of brain,Astro_56
brain,,Astro_57 Astrocyte Non-neuron of gray matter of forebrain,Astro_57
brain,,Astro_58 Astrocyte Non-neuron of cerebral cortex,Astro_58
brain,,Astro_59 Astrocyte Non-neuron of brain,Astro_59
brain,,Astro_60 Astrocyte Non-neuron of brain,Astro_60
brain,,Astro_61 Astrocyte Non-neuron of brain,Astro_61
brain,,Astro_62 Astrocyte Non-neuron of brain,Astro_62
brain,,Astro_63 Astrocyte Non-neuron of brain,Astro_63
brain,,Astro_64 Astrocyte Non-neuron of hypothalamus,Astro_64
brain,CL:0000065,ependymal cell,ependymal cell
brain,,Epen_65 Ependymal Non-neuron of brain,Epen_65
brain,,Epen_66 Ependymal Non-neuron of gray matter of hindbrain,Epen_66
brain,,Epen_67 Ependymal Non-neuron of gray matter of hindbrain,Epen_67
brain,,Epen_68 Ependymal Non-neuron of brain,Epen_68
brain,,Epen_69 Ependymal Non-neuron of brain,Epen_69
brain,,Epen_70 Ependymal Non-neuron of brain,Epen_70
brain,,Epen_71 Ependymal Non-neuron of brain,Epen_71
brain,,Epen_72 Ependymal Non-neuron of brain,Epen_72
brain,,Epen_73 Ependymal Non-neuron of gray matter of forebrain,Epen_73
brain,,Epen_74 Ependymal Non-neuron of brain,Epen_74
brain,,COP_75 Committed oligodendrocyte precursor Non-neuron of brain,COP_75
brain,CL:4023073,choroid plexus cell,choroid plexus cell
brain,,Chrp_76 Choroid plexus Non-neuron of brain,Chrp_76
brain,,Chrp_77 Choroid plexus Non-neuron of brain,Chrp_77
brain,,Chrp_78 Choroid plexus Non-neuron of basal forebrain,Chrp_78
brain,,Chrp_79 Choroid plexus Non-neuron of basal forebrain,Chrp_79
brain,,Chrp_80 Choroid plexus Non-neuron of basal forebrain,Chrp_80
brain,,Chrp_81 Choroid plexus Non-neuron of brain,Chrp_81
brain,,Chrp_82 Choroid plexus Non-neuron of brain,Chrp_82
brain,CL:4023012,near-projecting glutamatergic cortical neuron,near-projecting glutamatergic cortical neuron
brain,,DLNP_83 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_83
brain,CL:0000679,glutamatergic neuron,glutamatergic neuron
brain,,DLCT6b_84 Deep-layer corticothalamic and 6b Neuron of hippocampal gyrus (formation),DLCT6b_84
brain,,DLNP_85 Deep-layer near-projecting Neuron of gray matter of forebrain,DLNP_85
brain,,DLNP_86 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_86
brain,,DLNP_87 Deep-layer near-projecting Neuron of gray matter of forebrain,DLNP_87
brain,,DLNP_88 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_88
brain,,DLNP_89 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_89
brain,,DLNP_90 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_90
brain,,DLNP_91 Deep-layer near-projecting Neuron of gray matter of forebrain,DLNP_91
brain,,DLNP_92 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_92
brain,,DLNP_93 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_93
brain,,DLNP_94 Deep-layer near-projecting Neuron of cerebral cortex,DLNP_94
brain,,DLNP_95 Deep-layer near-projecting Neuron of gray matter of forebrain,DLNP_95
brain,,DLNP_96 Deep-layer near-projecting Neuron of gray matter of forebrain,DLNP_96
brain,,DLCT6b_97 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_97
brain,,DLCT6b_98 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_98
brain,,DLCT6b_99 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_99
brain,,DLCT6b_100 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_100
brain,,DLCT6b_101 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_101
brain,,DLCT6b_102 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_102
brain,,DLCT6b_103 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_103
brain,,DLCT6b_104 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_104
brain,,DLCT6b_105 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_105
brain,,DLCT6b_106 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_106
brain,,DLCT6b_107 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_107
brain,,DLCT6b_108 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_108
brain,,DLCT6b_109 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_109
brain,,DLCT6b_110 Deep-layer corticothalamic and 6b Neuron of gray matter of forebrain,DLCT6b_110
brain,,DLCT6b_111 Deep-layer corticothalamic and 6b Neuron of hippocampal gyrus (formation),DLCT6b_111
brain,,DLCT6b_112 Deep-layer corticothalamic and 6b Neuron of cerebral cortex,DLCT6b_112
brain,CL:4023009,extratelencephalic-projecting glutamatergic cortical neuron,extratelencephalic-projecting glutamatergic cortical neuron
brain,,L5ET_113 Miscellaneous Neuron of cerebral cortex,L5ET_113
brain,,L5ET_114 Miscellaneous Neuron of cerebral cortex,L5ET_114
brain,CL:4023060,hippocampal CA1-3 neuron,hippocampal CA1-3 neuron
brain,,L5ET_115 Hippocampal CA1-3 Neuron of cerebral cortex,L5ET_115
brain,CL:0010012,cerebral cortex neuron,cerebral cortex neuron
brain,,Misc_116 Miscellaneous Neuron of cerebral cortex,Misc_116
brain,CL:0012001,neuron of the forebrain,neuron of the forebrain
brain,,L5ET_117 Miscellaneous Neuron of gray matter of forebrain,L5ET_117
brain,,L5ET_118 Miscellaneous Neuron of brain,L5ET_118
brain,,CA13_119 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_119
brain,CL:4023008,intratelencephalic-projecting glutamatergic cortical neuron,intratelencephalic-projecting glutamatergic cortical neuron
brain,,ULIT_120 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_120
brain,,ULIT_121 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_121
brain,,ULIT_122 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_122
brain,,ULIT_123 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_123
brain,,ULIT_124 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_124
brain,,ULIT_125 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_125
brain,,ULIT_126 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_126
brain,,ULIT_127 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_127
brain,,ULIT_128 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_128
brain,,ULIT_129 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_129
brain,,ULIT_130 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_130
brain,,ULIT_131 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_131
brain,,Misc_132 Miscellaneous Neuron of cerebral cortex,Misc_132
brain,,ULIT_133 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_133
brain,,ULIT_134 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_134
brain,,ULIT_135 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_135
brain,,DLIT_136 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_136
brain,,DLIT_137 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_137
brain,,ULIT_138 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_138
brain,,DLIT_139 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_139
brain,,DLIT_140 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_140
brain,,DLIT_141 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_141
brain,,DLIT_142 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_142
brain,,DLIT_143 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_143
brain,,DLIT_144 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_144
brain,,DLIT_145 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_145
brain,,DLIT_146 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_146
brain,,DLIT_147 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_147
brain,,DLIT_148 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_148
brain,,DLIT_149 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_149
brain,,DLIT_150 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_150
brain,,DLIT_151 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_151
brain,,DLIT_152 Deep-layer intratelencephalic Neuron of gray matter of forebrain,DLIT_152
brain,CL:4023039,amygdala excitatory neuron,amygdala excitatory neuron
brain,,Amex_153 Amygdala excitatory Neuron of amygdaloid complex,Amex_153
brain,,Amex_154 Amygdala excitatory Neuron of gray matter of forebrain,Amex_154
brain,,Amex_155 Amygdala excitatory Neuron of amygdaloid complex,Amex_155
brain,,Amex_156 Amygdala excitatory Neuron of gray matter of forebrain,Amex_156
brain,,Amex_157 Amygdala excitatory Neuron of gray matter of forebrain,Amex_157
brain,,Amex_158 Amygdala excitatory Neuron of gray matter of forebrain,Amex_158
brain,,Amex_159 Amygdala excitatory Neuron of gray matter of forebrain,Amex_159
brain,,Amex_160 Amygdala excitatory Neuron of amygdaloid complex,Amex_160
brain,,Amex_161 Amygdala excitatory Neuron of gray matter of forebrain,Amex_161
brain,,Amex_162 Amygdala excitatory Neuron of gray matter of forebrain,Amex_162
brain,,CA13_163 Hippocampal CA1-3 Neuron of amygdaloid complex,CA13_163
brain,,Misc_164 Miscellaneous Neuron of gray matter of forebrain,Misc_164
brain,,Misc_165 Miscellaneous Neuron of cerebral cortex,Misc_165
brain,,Misc_166 Miscellaneous Neuron of cerebral cortex,Misc_166
brain,,Misc_167 Miscellaneous Neuron of cerebral cortex,Misc_167
brain,,Misc_168 Miscellaneous Neuron of cerebral cortex,Misc_168
brain,,CA13_169 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_169
brain,,Misc_170 Miscellaneous Neuron of gray matter of forebrain,Misc_170
brain,,Amex_171 Amygdala excitatory Neuron of hippocampal gyrus (formation),Amex_171
brain,,Amex_172 Amygdala excitatory Neuron of cerebral cortex,Amex_172
brain,,Amex_173 Amygdala excitatory Neuron of gray matter of forebrain,Amex_173
brain,,Amex_174 Amygdala excitatory Neuron of gray matter of forebrain,Amex_174
brain,,Amex_175 Amygdala excitatory Neuron of cerebral cortex,Amex_175
brain,CL:0000540,neuron,neuron
brain,,Misc_176 Miscellaneous Neuron of hippocampal gyrus (formation),Misc_176
brain,,Misc_177 Miscellaneous Neuron of brain,Misc_177
brain,,Misc_178 Miscellaneous Neuron of brain,Misc_178
brain,,CA13_179 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_179
brain,,CA13_180 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_180
brain,,CA13_181 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_181
brain,,CA13_182 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_182
brain,,CA13_183 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_183
brain,,CA13_184 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_184
brain,,CA13_185 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_185
brain,,CA13_186 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_186
brain,,CA13_187 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_187
brain,,CA13_188 Hippocampal CA1-3 Neuron of hippocampal gyrus (formation),CA13_188
brain,,CA13_189 Hippocampal CA1-3 Neuron of gray matter of forebrain,CA13_189
brain,CL:4023061,hippocampal CA4 neuron,hippocampal CA4 neuron
brain,,CA4_190 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_190
brain,,CA4_191 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_191
brain,,CA4_192 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_192
brain,,CA4_193 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_193
brain,,CA4_194 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_194
brain,,CA4_195 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_195
brain,,CA4_196 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_196
brain,,CA4_197 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_197
brain,,CA4_198 Hippocampal CA4 Neuron of brain,CA4_198
brain,CL:4023062,dentate gyrus neuron,hippocampal dentate gyrus neuron
brain,,DG_199 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_199
brain,,DG_200 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_200
brain,,DG_201 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_201
brain,,DG_202 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_202
brain,,DG_203 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_203
brain,,DG_204 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_204
brain,,DG_205 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_205
brain,CL:1001474,medium spiny neuron,medium spiny neuron
brain,,MSN_206 Medium spiny neuron Neuron of hippocampal gyrus (formation),MSN_206
brain,,MSN_207 Medium spiny neuron Neuron of basal forebrain,MSN_207
brain,,MSN_208 Medium spiny neuron Neuron of gray matter of forebrain,MSN_208
brain,,MSN_209 Medium spiny neuron Neuron of basal forebrain,MSN_209
brain,,MSN_210 Medium spiny neuron Neuron of basal forebrain,MSN_210
brain,,MSN_211 Medium spiny neuron Neuron of gray matter of forebrain,MSN_211
brain,,MSN_212 Medium spiny neuron Neuron of basal forebrain,MSN_212
brain,,MSN_213 Medium spiny neuron Neuron of gray matter of forebrain,MSN_213
brain,,MSN_214 Medium spiny neuron Neuron of gray matter of forebrain,MSN_214
brain,,MSN_215 Medium spiny neuron Neuron of gray matter of forebrain,MSN_215
brain,,MSN_216 Medium spiny neuron Neuron of brain,MSN_216
brain,,MSN_217 Medium spiny neuron Neuron of gray matter of forebrain,MSN_217
brain,,MSN_218 Medium spiny neuron Neuron of gray matter of forebrain,MSN_218
brain,,MSN_219 Medium spiny neuron Neuron of brain,MSN_219
brain,,MSN_220 Medium spiny neuron Neuron of amygdaloid complex,MSN_220
brain,,MSN_221 Medium spiny neuron Neuron of gray matter of forebrain,MSN_221
brain,CL:1001474,medium spiny neuron,eccentric medium spiny neuron
brain,,EMSN_222 Eccentric medium spiny neuron Neuron of basal forebrain,EMSN_222
brain,,EMSN_223 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_223
brain,,EMSN_224 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_224
brain,,EMSN_225 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_225
brain,,EMSN_226 Eccentric medium spiny neuron Neuron of brain,EMSN_226
brain,,EMSN_227 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_227
brain,,EMSN_228 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_228
brain,,EMSN_229 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_229
brain,,EMSN_230 Eccentric medium spiny neuron Neuron of brain,EMSN_230
brain,,EMSN_231 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_231
brain,,EMSN_232 Eccentric medium spiny neuron Neuron of brain,EMSN_232
brain,,EMSN_233 Eccentric medium spiny neuron Neuron of brain,EMSN_233
brain,,EMSN_234 Eccentric medium spiny neuron Neuron of gray matter of forebrain,EMSN_234
brain,,Splat_235 Splatter Neuron of brain,Splat_235
brain,CL:4023063,medial ganglionic eminence derived interneuron,MGE derived interneuron
brain,,MGE_236 MGE interneuron Neuron of gray matter of forebrain,MGE_236
brain,,Splat_237 Splatter Neuron of brain,Splat_237
brain,,Splat_238 Splatter Neuron of gray matter of forebrain,Splat_238
