keyword,processed
vasculature of Fallopian tube ampulla,0
SLC2A1,0
ovarian ligament,0
T-bet,0
ADCY3,0
CTD-2215L10.1,0
Astro_54,0
NTS,0
hypertrophic chondrocyte,0
head of third middle phalanx of han,0
STOM,0
medial sural cutaneous nerve,0
anterior segmental medullary artery,0
nerve to cuneonavicular joint,0
DLCT6b_100,0
external carotid artery,0
CDH5,0
Collecting Duct (Medulla),0
transverse foramen of third cervical vertebra,0
SALL3,0
DCs,0
splenius capitus muscle,0
auriculotemporal nerve,0
IL1RAPL2,0
internal oblique branch of hypogastric branch of iliohypogastric nerve,0
head of fourth rib,0
left posterior intercostal vein 7,0
keratin 10,0
superior costal facet of fifth thoracic vertebra,0
vertebral arch of seventh cervical vertebra,0
inferior medial genicular nerve,0
posterior compartment of forearm muscle,0
Podoplanin,0
dorsal ramus of fifth cervical spinal nerve,0
mesothelium of mesosalpinx,0
Inh L1 LAMP5 NMBR,0
shaft of radius of radius,0
medial head of gastrocnemius muscle,0
DLIT_136,0
Splat_367,0
CST3,0
gyrus rectus (straight gyrus),0
ventral ramus of sixth thoracic spinal nerve,0
IGHD,0
cervical spinal cord gray matter,0
blood vasculature,0
dorsal ramus of first thoracic spinal nerve,0
iliohypogastric nerve,0
lamina of third thoracic vertebra,0
MSN_215,0
PAX6,0
auricular branch of posterior auricular nerve,0
Smooth Actin Muscle,0
fibula,0
LOC100128497,0
superior articular facet of seventh thoracic vertebra,0
TSPAN1,0
CD205,0
nerve bundle,0
fibular trochlea of calcaneus,0
FREM2,0
distal carpal bone 4,0
superior articular process of fifth thoracic vertebra,0
Splenic Red Pulp Stromal Cell,0
ala of vomer,0
PRSS12,0
superior lingular segmental artery of left lung,0
shaft of third middle phalanx of foot,0
AZU1,0
common iliac lymph node,0
LCN2,0
ABI3BP,0
CD4 molecule,0
Thex_452,0
T8 segment of thoracic spinal cord,0
soleal vein,0
tracheobronchial tree,0
buccinator nerve,0
corpus luteum,0
LOC105378486,0
BNC2,0
CD161,0
TCF4,0
inferior cervical cardiac branch of vagus nerve,0
CD4+ T-cell,0
CD8 T cell effector memory,0
extravillous trophoblast (interstitial),0
PCDH7,0
SLC18A2,0
anatomical neck of humerus,0
superior epigastric vein,0
superficial buccal branch of facial nerve,0
vesical plexus,0
vascular branch of tibial nerve,0
acetabular fossa of os coxa,0
central posterior lower uterine segment,0
lamina propria of Fallopian tube intramural segment,0
submucosal plexus of Meissner,0
anterolateral diaphragmatic branch of phrenic nerve,0
coccyx,0
TPSB2,0
posterior spinal artery,0
linea aspera of femur,0
SPTSSB,0
vertebral body of second lumbar vertebra,0
CLMP,0
superior articular facet of twelfth thoracic vertebra,0
KLHL41,0
ventral ramus of first thoracic spinal nerve,0
SCARA5,0
lipofibroblast cell of bladder,0
mucosa of Fallopian tube ampulla,0
white matter of midbrain,0
muscle layer of oviduct intramural segment,0
venule endothelium,0
gamma delta TCR,0
branch of greater palatine nerve to mucosa of hard palate,0
Thex_446,0
sacral spine of sacrum,0
deep temporal vein,0
LOC101926942,0
Inh L1-3 VIP FNDC1,0
superior segmental artery of left lung,0
inferior articular facet of sixth rib,0
Inner muscle layer of Fallopian tube infundibulum,0
lobular capillary of pancreas,0
ciliated epithelial cell,0
labium minus branch of posterior labial nerve,0
Tcell_1,0
base of fourth distal phalanx of foot,0
tuberosity of third distal phalanx of hand,0
wall of left ureter,0
cavernous sinus,0
Inh L1-2 VIP PTGER3,0
lumbar vertebra 4,0
omohyoid muscle,0
Col6A2,0
segmental spinal artery #4,0
C-C motif chemokine receptor 3,0
dorsal ramus of third cervical spinal nerve,0
ENPP2,0
superior petrosal vein,0
Extrapancreatic duct,0
SDPR,0
MYC,0
PENK,0
CRT,0
inferior articular facet of second lumbar vertebra,0
Immune cell,0
CD34,0
Ki67+,0
mediodorsal nucleus of thalamus,0
Amex_407,0
"globus pallidus, external",0
superior costal facet of third thoracic vertebra,0
NCR1+,0
photoreceptor,0
Follicular Dendritic Cell,0
Astro_60,0
WIF1,0
TPPP3,0
CPA3+,0
shoulder muscle,0
vertebral foramen of third cervical vertebra,0
segmental branch of lobar artery of spleen,0
corpus luteum macrophage,0
axillary artery,0
crypt,0
HEY1,0
Exc L5 THEMIS FGF10,0
nerve to zygomaticus major,0
SLC9A3,0
cystic artery,0
lateral compartmet of leg muscle,0
C2 segment of cervical spinal cord,0
Oligo_50,0
vertebral foramen of tenth thoracic vertebra,0
nerve to depressor supercilii,0
endometrium,0
CD123lo,0
sebocyte,0
olecranon of ulna,0
NMUR2,0
head of seventh rib,0
Midi_441,0
proper plantar digital nerve of second toe,0
Exc L5-6 FEZF2 IFNG-AS1,0
CDH12,0
SYT2,0
long posterior ciliary artery,0
ileum,0
STAC,0
posterior vestibular artery,0
central retinal vein,0
shaft of femur,0
femoral branch of genitofemoral nerve,0
PRELID2,0
Thex_459,0
Collecting Duct Cell,0
EPB41L4A,0
central inferior ovary,0
branch of mandibular nerve to tensor tympani,0
radial vein,0
C9orf16,0
anococcygeal nerve,0
superior articular process of second thoracic vertebra,0
RP11-191L9.4,0
facet of tenth rib,0
LYVE1,0
branch of phrenic nerve to diaphragmatic pleura,0
BEST3,0
great saphenous vein,0
FIGN,0
AHSP,0
Astro_58,0
bulbospongiosus branch of perineal nerve,0
branch of recurrent laryngeal nerve to ceratocricoid,0
gluteus medius muscle,0
posterior meningeal artery,0
CAPS,0
PDYN,0
Hypertrophic Chondrocytes,0
middle suprarenal artery,0
mesocolic lymph node,0
subclavian groove of clavicle,0
G protein subunit alpha o1,0
Splat_382,0
left hepatic portal vein #3,0
CALML3,0
serous cell of epithelium of bronchus,0
Interlobular duct,0
internal pudendal vein,0
microvascular endothelial cell,0
Diffuse bipolar 6 cell,0
pericardiacophrenic vein,0
superficial part of masseter muscle,0
os coxa,0
KLRC1,0
CD16b,0
CGB3,0
Mmb_326,0
mastoid branch of occipital artery,0
Ventral Inhibitory Neuron 3,0
utricular nerve,0
LLC_272,0
right posterior intercostal artery 4,0
YBX3+,0
subclavian artery,0
LOC101927874,0
obturator internus muscle,0
MGE_241,0
left subclavian artery,0
cricopharyngeal part of inferior pharyngeal constrictor muscle,0
right posterior body of uterus,0
TUBB3,0
FBXL7,0
columnar cell of endocervix,0
mastoid process of mastoid part of temporal bone,0
CFAP299,0
supraclavicular lymph node,0
superior occipital gyrus,0
pterygoid canal of sphenoid bone,0
Splat_341,0
cervical vertebra 1,0
RP11-467L24.1,0
branch of marginal mandibular branch of facial nerve to risorius,0
spinous process of third cervical vertebra,0
RP11-719N9.1,0
BLVRB,0
respiratory system arterial endothelium,0
preaortic lymph node,0
shaft of fifth proximal phalanx of hand,0
thoracic spinal cord dorsal column,0
inferior vertebral notch of first thoracic vertebra,0
OPN1MW,0
RP11-799O21.2,0
CD80,0
dorsal venous arch of foot #3,0
middle thyroid vein,0
Collagen XVII,0
interosseous border of ulna,0
endothelial cell of vein,0
Endocrine pancreas,0
RP11-197K6.1,0
lateral tarsal artery,0
LRMP,0
fifth sacral spinal nerve,0
MSR1,0
distal carpal bone 2,0
Advillin,0
Exc L2-3 RORB PTPN3,0
lumbar vertebra 2,0
Oligo_45,0
Splat_358,0
sigmoid colon,0
hepatic Lobule,0
fibularis tertius muscle,0
MGE_250,0
penicillar arteriole,0
CHI3L2,0
lamina of eleventh thoracic vertebra,0
CD79a,0
Mmb_325,0
sclera,0
proximal straight tubule segment 3,0
atrioventricular junction,0
lamina of fourth thoracic vertebra,0
inferior articular facet of fourth cervical vertebra,0
Epen_69,0
NTN1,0
trochlea of humerus,0
Mmb_330,0
myoepithelial cell,0
HGNC:6024,0
KRT14,0
superior articular process of third lumbar vertebra,0
T7 segment of thoracic spinal cord,0
CLCA4,0
PGR,0
C1QTNF7,0
right coronary artery,0
telocyte (interstitial like cell of cajal),0
FLT3LG,0
little finger lateral lymphatic channel,0
KLF1,0
pedicle of third lumbar vertebra,0
CCL3,0
Inh L5-6 SST DNAJC14,0
NK cells,0
ADD3,0
lesser cornu of hyoid bone,0
first palmar metacarpal artery,0
Inh L3-5 VIP HS3ST3A1,0
superior articular facet of third cervical vertebra,0
CD54,0
Inh L2-5 VIP BSPRY,0
CTD-2533K21.4,0
Transferrin-R CD71,0
costal groove of fourth rib,0
anterior ethmoidal foramen of ethmoid bone,0
ovarian cortex,0
cortex of kidney,0
serosa of Fallopian tube ampulla,0
Splat_346,0
DPP4,0
SHISA8,0
tensor veli palatini muscle,0
KLK11,0
brachioradialis muscle,0
lobar artery of spleen,0
pericyte,0
dorsal branch of medial proper palmar digital artery of second digit of hand,0
branch of medial pectoral nerve to pectoralis minor,0
lateral muscular branch of radial nerve to brachioradialis,0
splenic artery,0
Exc L5-6 FEZF2 FILIP1L,0
inferior articular facet of fourth rib,0
uperficial buccal branch of facial nerve to procerus,0
groove for sigmoid sinus of mastoid part of temporal bone,0
dendritic cell (DC),0
glenoid fossa of scapula,0
CHST9,0
INSM1,0
Mgl_5,0
dorsal metatarsal vein,0
medial dorsal digital artery of first digit of foot,0
Papilla of Santorini,0
RERGL,0
LINC02147,0
LINC02296,0
XCL1,0
pectoral branch of thoracoacromial artery,0
vena recta of large intestine #4,0
CA4_198,0
trachea elastic tissue,0
HTR2C,0
NPNT,0
superior vesical vein,0
articular branch of tibial nerve,0
MAd-CAM-1,0
pedicle of tenth thoracic vertebra,0
posterior brachial cutaneous nerve,0
FcER1A,0
N-cadherin,0
hemopoietic stem cell/multipotent progenitor (HSC/MPP),0
pancreatic vein,0
S100A2,0
RPL26,0
posterior belly of digastric muscle,0
NNAT,0
superior articular facet of fifth cervical vertebra,0
atrioventicular nodal artery,0
Integrin a4,0
posterior division of internal iliac artery,0
PTHLH+,0
greater palatine foramen of palatine bone,0
DDIT4,0
posterolateral artery,0
Misc_401,0
transverse costal facet of tenth thoracic vertebra,0
NLGN4Y,0
Oligo_44,0
tracheobronchial smooth muscle,0
CLEC12Ahi,0
lesser palatine nerve,0
preoptic region,0
Articular cartilage of a joint,0
CBLN2,0
RP11-517I3.1,0
natural killer (NK) cell,0
Inh L5 PVALB LRIG3,0
COL6A2,0
secretagogin,0
plasma cell,0
lumbar spinal cord white matter,0
Interdigitating Dendritic Cells,0
vertebral arch of fifth lumbar vertebra,0
cavernosal artery,0
iris pigment epithelial cell,0
subsegmental pulmonary artery,0
transverse ridges of sternum,0
ADD3-AS1,0
ICOS,0
OR51E2,0
tubercle of third rib,0
alveolar macrophage MT-positive,0
SEMA3B,0
prepyloric vein,0
mons pubis branch of genital branch of genitofemoral nerve,0
CGE_277,0
lateral inferior segmental branch of left hepatic vein,0
phosducin,0
VEGF,0
superior articular process of seventh thoracic vertebra,0
Medial Inhibitory Neuron 1,0
LINC01331,0
hepatic lymphatic endothelial cell,0
inferior oblique extraocular muscle,0
surface intraepithelial CD4-CD8- lymphocyte alpha/beta,0
superficial external pudendal vein,0
"cingulate gyrus, rostral (anterior) part",0
vertebral arch of eighth thoracic vertebra,0
deep branch of radial nerve,0
B cell,0
TRIM22,0
anterior horn of lateral ventricle,0
superior ophthalmic vein,0
esophageal branch of recurrent laryngeal nerve,0
accessory hemiazygos vein,0
Splat_421,0
Splat_375,0
ACTA2,0
mastoid notch of mastoid part of temporal bone,0
STK17A,0
EREG,0
CD1c-/lo,0
glycogen phosphorylase,0
posterior clinoid process of sphenoid bone,0
KCNJ8,0
RP11-167H9.4,0
endoglin,0
superior vertebral notch of fourth cervical vertebra,0
lumbar vertebra 5,0
wall of Fallopian tube ampulla,0
ASCL1,0
Osteoclasts,0
keratin 15,0
sphenopalatine sinus,0
PI16+ fibroblast cell of ureter,0
mesometrium,0
medial branch of palmar branch of median nerve,0
FXYD3,0
longitudinal muscle layer,0
HOBIT,0
IL6+,0
S4 sacral spinal cord segment,0
TAC1,0
Inh L3-5 SST CDH3,0
PERP,0
Dendritic cell (DC2),0
PRF1,0
cervical vertebra 6,0
medial geniculate nuclei,0
habenular nuclei,0
external urethral sphincter branch of perineal nerve,0
inferior vertebral notch of second cervical vertebra,0
base of second distal phalanx of foot,0
TRABD2A,0
head of fifth metatarsal bone,0
superior articular facet of seventh rib,0
dopamine receptor D2,0
superior vertebral notch of second thoracic vertebra,0
CHRM5,0
tissue resident mucosal type mast cell,0
Astro L1 FGFR3 SERPINI2,0
anterior ciliary artery,0
TLDC2,0
communicating branch of phrenic nerve to internal thoracic plexus,0
Splat_237,0
recurrent muscular branch of submucosal artery of colon,0
Splat_335,0
HLA-DRA,0
LINC00278,0
NDUFV2,0
uterine macrophage,0
HEPACAM2,0
DG_203,0
branch of deep branch of ulnar nerve to second palmar interosseous of hand,0
zona pellucida,0
left posterior lower uterine segment,0
TAFA1,0
TNFSF10,0
cremaster muscle branch of genital branch of genitofemoral nerve,0
inferior articular facet of second rib,0
sublingual artery,0
muscular system,0
shaft of fibula,0
AC092684.1,0
CD304,0
masseteric nerve,0
incisive foramen of maxilla,0
lumbar spinal cord lateral column,0
NPPC,0
MFGE8,0
medullary thymic epithelial cell type 4,0
extensor hallucis longus muscle,0
extrinsic tongue muscle,0
dorsal ramus of first lumbar spinal nerve,0
left hepatic portal vein #2,0
RORgt,0
Inh L3-6 VIP ZIM2-AS1,0
metacarpal bone of digit 1,0
obtuse marginal artery 2,0
ADGRL4,0
"inferior frontal gyrus, opercular part",0
wall of urinary bladder,0
LRP2,0
ACTG2,0
FRMPD2,0
E-cadherin,0
nerve to obturator externus,0
GABRQ,0
Glomerular Capillary Endothelial Cell,0
lipofibroblast cell of ureter,0
inferior laryngeal vein,0
DLCT6b_101,0
deep transverse muscle branch of perineal nerve,0
right lumbar artery 3,0
FOSB,0
incisor artery,0
RAG1,0
petrotympanic fissure of squamous part of temporal bone,0
head of twelfth rib,0
CXCR3,0
inferior articular process of fourth lumbar vertebra,0
iliac branch of iliohypogastric nerve,0
LINC01411,0
Muller glia,0
RP11-81F8.1,0
ATPase Na+/K+ transporting subunit alpha 1,0
Loop of Henle (Thick Limb/ Cortex),0
Astro_53,0
Inh L1-5 VIP CD27-AS1,0
endothelial cell of sinusoid,0
IGHM,0
dorsal ramus of second cervical spinal nerve,0
carina of trachea,0
SLC30A8,0
celiac lymph node,0
medial calcaneal branch of tibial nerve,0
Elastin microfibril interface located protein-1,0
muscular branch of medial plantar nerve to abductor hallucis,0
recurrent meningeal branch of sixth thoracic spinal nerve,0
shaft of tibia,0
ULIT_130,0
lymphatic vessel endothelial hyaluronan receptor 1,0
Pancreatic goblet cell,0
Inh L1-2 VIP HTR3A,0
radial nerve,0
subsegmental pulmonary vein,0
inferior rectal nerve,0
vertebral arch of seventh thoracic vertebra,0
meningeal branch of hypoglossal nerve to wall of occipital sinus,0
respiratory system venous endothelium,0
recurrent artery of Heubner,0
glycosyltransferase 1 domain containing 1,0
superior articular facet of sacrum,0
head of second middle phalanx of hand,0
bronchomediastinal lymph trunk,0
JAG1,0
periductal capillary of intralobular duct of panceas,0
mammillothalamic tract,0
inferior costal facet of eleventh thoracic vertebra,0
Mgl_9,0
C1QL2,0
Bone Sialoprotein,0
CLC,0
epitrochlear lymph node,0
vertebral body of fifth lumbar vertebra,0
ONECUT2,0
IL2,0
ULIT_133,0
digastric branch of facial nerve,0
biceps femoris branch of tibial nerve,0
tubercle of tenth rib,0
articular branch of medial plantar nerve,0
INSRR,0
MGE_251,0
ulnar tuberosity of ulna,0
corpus albicans,0
CLDN16,0
dilator pupillae muscle,0
sacral promontory of sacrum,0
pubic crest of pubis of os coxa,0
SLC47A1,0
Exc L3-5 RORB LNX2,0
COP_39,0
cingulo-parahippocampal isthmus,0
SST,0
Diffuse bipolar 4 cell,0
right posterior intercostal vein 11,0
LOC105376372,0
inner nuclear layer,0
right marginal artery,0
pancreatic artery,0
FOXJ1+,0
superficial circumflex iliac artery,0
Splat_392,0
thoracic spinal cord lateral horn,0
lateral posterior cervical intertransversarii muscle,0
Body of pancreas,0
GPIHBP1,0
ACKR1,0
LYZ,0
CTSW,0
Amex_159,0
vasa recta of jejunum,0
thyroepiglottic part of thyroarytenoid muscle,0
PCBP3,0
lateral proper plantar digital artery of first digit of foot,0
quadratus plantae muscle,0
paramedian artery,0
anterior amygdalar area,0
ischial tuberosity of ischium of os coxa,0
GPR17,0
CD163 molecule,0
RP11-286O1.1,0
Lymphatic Endothelial Cell-Subcapsular Sinus Floor,0
T Cytotoxic Cell,0
caldesmon,0
small saphenous vein,0
RP11-335E8.3,0
skin,0
Chrp_81,0
Distal Convoluted Tubule Cell Type 2,0
CTNNBL1,0
CD8+ T memory,0
Epiphyseal Bone,0
neural cell adhesion molecule 1/CD56,0
first common plantar digital artery,0
base of third middle phalanx of hand,0
Glycinergic Amacrine Cell,0
lateral dorsal digital branch of radial nerve to thumb,0
Thex_456,0
subserosa,0
humero-ulnar head of flexor digitorum superficialis muscle,0
RP11-484N11.1,0
CIB2,0
right crus of lumbar part of respiratory diaphragm muscle,0
lamina propria of Fallopian tube fimbria,0
Epen_66,0
CD27,0
neuron,0
epithelial cell,0
AC004862.6,0
Blood,0
auricularis posterior branch of facial nerve,0
masseter muscle,0
posterior scrotal nerve,0
Splat_365,0
Embryonic nucleus,0
Choriocapillaris,0
Astro_55,0
early erythroid,0
inferior articular process of third lumbar vertebra,0
Arrestin-C,0
shaft of second proximal phalanx of hand,0
tibial-peroneal trunk,0
multifidus cervicis muscle,0
CGE_294,0
unmyelinated nerve fiber,0
shaft of fourth metacarpal bone,0
club cell,0
RP4-736H5.3,0
VSX2,0
medial circumflex femoral artery,0
keratin 7,0
Hassall's corpuscle,0
facial vein,0
Epsilon cell,0
ROBO2,0
brain,0
splenic venous sinusoid,0
planum temporale,0
Subchondral Bone,0
Descending Thin Limb Cell Type 3,0
lateral ampullary nerve,0
SYT6,0
Splat_414,0
branch of axillary nerve to glenohumeral joint,0
amnion,0
hyoglossus muscle,0
perirhinal gyrus ( rostral part of FuGt),0
acromial end of clavicle,0
CDON,0
superior nasal concha of ethmoid bone,0
Stratum corneum (SC),0
AC010091.1,0
PLCE1,0
respiratory system,0
Splat_399,0
epithelium of main bronchus,0
NR2E3,0
internal jugular vein,0
CD218,0
medial inferior segmental branch of left hepatic artery,0
superior cerebellar artery,0
lesser trochanter of femur,0
right testicular artery,0
ZFPM2-AS1,0
C1QA,0
tegmentum of the medulla,0
vertebral artery,0
VIPR2,0
SPINK5,0
E-Selectin,0
glossopharyngeal nerve,0
communicating branch of vagus nerve with glossopharyngeal nerve,0
Exc L5-6 FEZF2 C9orf135-AS1,0
medial dorsal digital artery of third digit of foot,0
NKp46,0
RP11-142C4.6,0
Dorsal pancreas,0
BST1+,0
transitional Dendritic Cell (tDC),0
Natural killer cell / Innate lymphoid cell 1,0
parotid branch of facial nerve,0
CD33(hi),0
Splat_413,0
CLCNKB,0
superior articular facet of fourth cervical vertebra,0
superior costal facet of tenth thoracic vertebra,0
depressor labii inferioris muscle,0
deep transverse perineal muscle,0
absorptive,0
CD19+,0
nerve to gluteus maximus (1),0
pedicle of first lumbar vertebra,0
branch of median nerve to flexor carpi radialis,0
obturator nerve,0
submucosa,0
lumbar artery,0
tachykinin receptor 1,0
nerve to levator palpebrae superioris,0
head of third distal phalanx of foot,0
KRT5,0
Ganglion cell,0
superficial temporal branch of auriculotemporal nerve,0
subscapular fossa of scapula,0
FAM222A,0
PGLYRP1,0
PIEZO2,0
Thex_455,0
adductor magnus branch of tibial nerve,0
CMC1,0
urothelium,0
circumflex fibular artery,0
basal epithelia,0
right superior intercostal vein,0
vertebral body of fifth thoracic vertebra,0
EYS,0
CRABP1,0
obturator vein,0
anterior meningeal artery,0
integrin subunit alpha M/CD11b,0
sialyl lewis a antigen,0
SLC22A7,0
stylopharyngeus muscle,0
gluteal tuberosity of femur,0
neuroendocrine cell of epithelium of lobar bronchus,0
SSR4,0
COP_43,0
lingual nerve,0
GAD2,0
Astro_63,0
Canals of Hering,0
tonsillar branch of glossopharyngeal nerve,0
transverse foramen of sixth cervical vertebra,0
DRD1,0
LMO3,0
ascending colon,0
double negative thymocyte 3,0
greater superficial petrosal branch of facial nerve,0
CGE_284,0
acromial facet of clavicle,0
plantar venous arch,0
body of mandible,0
"TRAP: ACP5: acid phosphatase 5, tartrate resistant",0
HSPD1P8,0
SOX9+ epithelial cell,0
intertubercular sulcus of humerus,0
TPSB1,0
Arteriole,0
Afferent Arteriole Endothelial Cell,0
celiac artery,0
pre-selection antral follicle,0
vertebral foramen of fifth lumbar vertebra,0
nerve to first dorsal interosseous of foot,0
middle phalanx of digit of hand 5,0
inferior articular facet of eighth rib,0
branch of ulnar nerve to flexor carpi ulnaris,0
sacral spinal cord lateral horn,0
keratinocyte stem cell,0
TAGLN,0
Megakaryocyte (MK),0
RGC5,0
cDC1 CD141-positive myeloid dendritic cell,0
posterior muscular branch of radial nerve to anconeus,0
Adventitial Stromal Cell,0
urinary bladder,0
flexor hallucis brevis muscle,0
perivascular smooth muscle cell,0
LINC02822,0
RNF19A,0
White Pulp Lymphatic Vessels,0
CD59,0
knee joint,0
cytokeratin 12,0
UMODL1,0
xiphoid process of sternum,0
Epen_72,0
angular gyrus,0
LINC00299,0
OPN1LW,0
Splat_389,0
ITGAL,0
myofibroblast,0
medial collateral artery,0
PRF1+,0
Misc_132,0
conventional dendritic cell 2,0
levatores costarum longi of levator costarum muscle,0
Central arteries,0
Epen_73,0
NPFFR2,0
RP11-358P11.1,0
RORC2,0
CSPG4,0
inferior palpebral branch of infra-orbital nerve,0
anterior intercostal artery 7,0
middle frontal gyrus,0
LINC01482,0
GATA3,0
esophageal branches of left gastric artery,0
iliac fossa of ilium of os coxa,0
smooth muscle tissue of terminal bronchiole,0
SLC40A1,0
mature fiber cell,0
CGE_291,0
Horizontal Cell,0
left renal artery,0
IgD,0
IL5RA,0
white matter of forebrain,0
lamina of seventh thoracic vertebra,0
EYA4,0
MAP1B,0
perivascular cells,0
axillary vein,0
spinous process of first lumbar vertebra,0
fluid of Fallopian tube isthmus,0
mucosa of left ureter,0
pulmonary artery,0
SLC1A3,0
lateral rectus extra-ocular muscle,0
transverse pancreatic artery,0
tibalis posterior muscle,0
base of second middle phalanx of foot,0
monocyte,0
ULIT_125,0
regulatory CD4+ T,0
twelfth thoracic spinal nerve,0
ventral ramus of first cervical spinal nerve,0
Afferent Arteriole,0
segmental spinal artery,0
coccygeal spinal nerve,0
Splat_368,0
airway submucosal gland collecting duct epithelial cell,0
SNHG14,0
APLN,0
nerve to extensor hallucis brevis,0
inferior vertebral notch of first cervical vertebra,0
upper rhombic lip neuron,0
CD14+,0
MAF,0
posterior tibial artery,0
Merkel cell,0
Claudin11,0
dorsalis pedis artery,0
neck of sixth rib,0
basal segmental arterial trunk of right lung,0
posterior external vertebral venous plexus #2,0
hook of hamate,0
right lumbar artery 2,0
left ovarian artery,0
superficial branch of ulnar nerve,0
Inh L5-6 SST BEAN1,0
Beta cell,0
LOC105373642,0
branch of deep branch of ulnar nerve to fourth palmar interosseous of hand,0
vena recta of large intestine,0
eomes,0
AC018717.1,0
CA4_196,0
rectus capitis posterior major muscle,0
serratus posterior superior muscle,0
CA13_182,0
lateral proper palmar digital artery of fifth digit of hand,0
PALMD,0
fourth thoracic spinal nerve,0
branch of posterior ethmoidal nerve to sphenoidal sinus,0
sodium voltage-gated channel alpha subunit 1,0
medial muscular branch of radial nerve to long head of triceps brachii,0
medial cutaneous nerve of arm,0
LOC101927389,0
CARHSP1,0
Primary Follicle,0
base of fifth distal phalanx of foot,0
branch of external laryngeal nerve to superior cervical sympathetic ganglion,0
superior suprarenal artery,0
shaft of fifth distal phalanx of hand,0
transverse process of first cervical vertebra,0
ZNF736P9Y,0
CPVL,0
right gastroepiploic artery,0
ROBO3,0
cavernous branch of internal carotid artery,0
superior vertebral notch of first cervical vertebra,0
innermost intercostal muscle,0
Outer cortex,0
thoracic thymus,0
interosseous branch of lateral terminal branch of deep fibular nerve,0
SYT1,0
branch of recurrent laryngeal nerve to inferior pharyngeal constrictor,0
AC004538.3,0
Midi_437,0
semispinalis cervicis muscle,0
mammillary process of fourth lumbar vertebra,0
inferior cerebellar vein,0
branch of lateral branch of superficial fibular nerve,0
neuron of the forebrain,0
CYGB,0
communicating branch of femoral branch of genitofemoral nerve with intermediate femoral cutaneous nerve,0
regulatory T cells,0
posterior muscular branch of radial nerve to lateral head of triceps brachii,0
Metallothionein,0
branch of deep branch of ulnar nerve to deep head of flexor pollicis brevis,0
alveolus of lung,0
PDZD8,0
CD8a+,0
anterior intercostal vein 6,0
FAM9B,0
pterygoid hamulus of sphenoid bone,0
external jugular vein,0
lens Fibers,0
palmaris longus muscle,0
scalenus medius muscle,0
Ring Fiber,0
head of third middle phalanx of foot,0
right lumbar artery 4,0
middle rectal artery #2,0
LINC02248,0
hypogastric branch of iliohypogastric nerve,0
branch of deep branch of ulnar nerve to second dorsal interosseous of hand,0
facial nerve,0
CD11c,0
ULIT_129,0
superior articular facet of fourth rib,0
Juxtaglomerular Apparatus,0
shaft of fourth metatarsal bone,0
Activated stellate cell,0
mucosa of trigone of urinary bladder,0
Pancreatic stellate cell,0
transverse process of first lumbar vertebra,0
inferior articular process of tenth thoracic vertebra,0
inferior articular process of first thoracic vertebra,0
epitrochlear lymph node #2,0
head of second middle phalanx of foot,0
IL3RA+,0
MCUB,0
sternal end of ninth rib,0
Exc L6 FEZF2 PDYN,0
non-articular facet of tubercle of tenth rib,0
vertebral arch of second lumbar vertebra,0
BCAM,0
p63,0
SCNN1G,0
Inh L3-5 VIP IGDCC3,0
CRNDE,0
