organ,id,doi,notes,type
kidney,,10.1038/s41467-019-10861-2,,general_publication
blood_vasculature,https://en.wikipedia.org/wiki/Posterior_ethmoidal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Sublingual_vein,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Marginal_mandibular_branch_of_the_facial_nerve,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Small_cardiac_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Jejunal_arteries,,For AS,reference
large_intestine,PMID: 2621148 PMCID: PMC1256735,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Facial_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Internal_thoracic_artery,,For AS,reference
ureter,none,,,reference
blood_vasculature,https://www.kenhub.com/en/library/anatomy/the-cavernous-sinus,,For AS,reference
thymus,"Miller CN, Proekt I, von Moltke J, Wells KL, Rajpurkar AR, Wang H, Rattay K, Khan IS, Metzger TC, Pollack JL, Fries AC, Lwin WW, Wigton EJ, Parent AV, Kyewski B, Erle DJ, Hogquist KA, Steinmetz LM, Locksley RM, Anderson MS. Thymic tuft cells promote an IL-4-enriched medulla and shape thymocyte development. Nature. 2018 Jul;559(7715):627-631.",10.1038/s41586-018-0345-2,"AS-CT, CT-B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Pericardiacophrenic_veins,,For AS,reference
blood_vasculature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6880211/,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Straight_sinus,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Left_gastroepiploic_vein,,For AS,reference
lymph_nodes,Normal Anatomy and Function of Lymph Nodes and Spleen,,,reference
lymph_nodes,"Granot T, Senda T, Carpenter DJ, Matsuoka N, Weiner J, Gordon CL, Miron M, Kumar BV, Griesemer A, Ho SH, Lerner H, Thome JJC, Connors T, Reizis B, Farber DL. Dendritic Cells Display Subset and Tissue-Specific Maturation Dynamics over Human Life. Immunity. 2017 Mar 21;463:504-515. doi: 10.1016/j.immuni.2017.02.019. PMID: 28329707; PMCID: PMC5415308",10.1016/j.immuni.2017.02.019,AS-CT,reference
blood_vasculature,https://en.wikipedia.org/wiki/Anterior_ciliary_arteries,,For AS,reference
blood_vasculature,https://www.kenhub.com/en/library/anatomy/prostatic-venous-plexus,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_pudendal_veins,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,For AS,reference
placenta full term,doi: 10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2,10.1290/1071-2690(2001)037<0408:ioecfh>2.0.co;2,,reference
lymph_nodes,"Horny HP, Sotlar K, Valent P. Mastocytosis: immunophenotypical features of the transformed mast cells are unique among hematopoietic cells. Immunol Allergy Clin North Am. 2014 May;342:315-21. doi: 10.1016/j.iac.2014.01.005. PMID: 24745676; PMCID: PMC5798580.",10.1016/j.iac.2014.01.005,"CT,B",reference
placenta full term,PMID: 8014121,,,reference
skin,PMID: 16613326,10.1016/j.humpath.2005.11.006,"Cates JM, Coffing BN, Harris BT, Black CC. Calretinin expression in tumors of adipose tissue. Hum Pathol. 2006 Mar;37(3):312-21.",reference
blood_vasculature,https://en.wikipedia.org/wiki/Dorsalis_pedis_artery,,For AS,reference
placenta full term,DOI: 10.1242/dev.148932,10.1242/dev.148932,,reference
bone_marrow,,10.1126/science.aay3224,,general_publication
eye,"Yi-Rong Peng, Karthik Shekhar, Wenjun Yan, Dustin Herrmann, Anna Sappington, Gregory S. Bryman, TavâˆšÂ© van Zyl, Michael Tri. H. Do, Aviv Regev, Joshua R. Sanes,
 Molecular Classification and Comparative Taxonomics of Foveal and Peripheral cell in Primate retina",10.1016/j.cell.2019.01.004,,reference
lung,ISBN:978-0-7020-7705-0,,,general_publication
spleen,"Steiniger B, Barth P, Herbst B, Hartnell A, Crocker PR. The species-specific structure of microanatomical compartments in the human spleen: strongly sialoadhesin-positive macrophages occur in the perifollicular zone, but not in the marginal zone. Immunology. 1997 Oct;92(2):307-16.",10.1046/j.1365-2567.1997.00328.x,AS-CT,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Olfactory_nerve,,,reference
blood_vasculature,,,,general_publication
pancreas,PMID: 35228745,,,general_publication
blood_vasculature,https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_ulnar_artery,,For AS,reference
eye,"Haverkamp, S., Ghosh, K.K., Hirano, A.A. and WâˆšÂ§ssle, H. (2003), Immunocytochemical description of five bipolar cell types of the mouse retina. J. Comp. Neurol., 455: 463-476",10.1002/cne.10491,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ovarian_artery,,For AS,reference
ovary,,10.1016/bs.vh.2018.01.017,,general_publication
placenta full term,doi: 10.1155/2021/6662201,10.1155/2021/6662201,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Anterior_jugular_vein,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Thoracic_spinal_nerve_3,,,reference
spleen,"Guisado Vasco P, Villar Rodrâˆšâ‰ guez JL, IbaâˆšÂ±ez Martâˆšâ‰ nez J, GonzâˆšÂ°lez CâˆšÂ°mpora R, Galera Davidson H. Immunohistochemical organization patterns of the follicular dendritic cells, myofibroblasts and macrophages in the human spleen--new considerations on the pathological diagnosis of splenectomy pieces. Int J Clin Exp Pathol. 2009;3(2):189-202. Published 2009 Dec 10.",,"AS-CT, CT-B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Palmar_carpal_branch_of_radial_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_mesenteric_artery,,For AS,reference
blood_vasculature,http://purl.obolibrary.org/obo/UBERON_0006656,,For AS,reference
spleen,"Steiniger B, Barth P, Herbst B, Hartnell A, Crocker PR. The species-specific structure of microanatomical compartments in the human spleen: strongly sialoadhesin-positive macrophages occur in the perifollicular zone, but not in the marginal zone. Immunology. 1997 Oct;92(2):307-16.",10.1046/j.1365-2567.1997.00328.x,"AS-CT, CT-B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Uterine_veins,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Cervical_spinal_nerve_4,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Posterior_cerebral_artery,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Lingual_branches_of_glossopharyngeal_nerve,,,reference
blood_vasculature,http://purl.obolibrary.org/obo/UBERON_0009654,,For AS,reference
spleen,"Mende N, Bastos HP, Santoro A, Sham K, Mahbubani KT, Curd A, Takizama H, Wilson NK, Gottgens B, Saeb-Parsy K, Laurenti E. Quantitative and molecular differences distinguish adult human medullary and extramedullary haematopoietic stem and progenitor cell landscapes. bioRxiv 2020.01.26.919753.",10.1101/2020.01.26.919753,"CT-B, Single cell transcriptomics ",reference
ovary,PMID: 14287465,,,reference
kidney,,10.1172/jci.insight.133267,,general_publication
peripheral_nervous_system,https://en.wikipedia.org/wiki/Zygomatic_branches_of_the_facial_nerve,,,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Spinal_nerve,,,reference
liver,none,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Jugular_venous_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Plantar_digital_veins,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Abdominal_aorta,,For AS,reference
blood_vasculature,https://medical-dictionary.thefreedictionary.com/Burow+vein,,For AS,reference
spleen,"Steiniger BS, Ulrich C, Berthold M, Guthe M, Lobachev O (2018) Capillary networks and follicular marginal zones in human spleens. Three-dimensional models based on immunostained serial sections. PLoS ONE 13(2): e0191019.",10.1371/journal.pone.0191019,"AS-CT, CT-B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Posterior_interventricular_artery,,For AS,reference
skin,PMID: 25999512,10.1126/science.aaa6566,"Eberl G, Colonna M, Di Santo JP, McKenzie AN. Innate lymphoid cells. Innate lymphoid cells: a new paradigm in immunology. Science. 2015 May 22;348(6237):aaa6566.",reference
eye,,10.1002/cne.10985,,general_publication
blood_vasculature,https://radiopaedia.org/articles/superior-petrosal-vein-2,,For AS,reference
spleen,"Ferlazzo G, Thomas D, Lin SL, Goodman K, Morandi B, Muller WA, Moretta A, MâˆšÂºnz C. The abundant NK cells in human secondary lymphoid tissues require activation to express killer cell Ig-like receptors and become cytolytic. J Immunol. 2004 Feb 1;172(3):1455-62.",10.4049/jimmunol.172.3.1455,CT-B,reference
spleen,"VAN KRIEKEN, J. and TE VELDE, J. (1986), Immunohistology of the human spleen: an inventory of the localization of lymphocyte subpopulations. Histopathology, 10: 285-294.",10.1111/j.1365-2559.1986.tb02482.x,AS-CT,reference
fallopian_tube,PMID: 12171494,,,reference
trachea,,10.1038/s41586-020-2922-4,,general_publication
kidney,,10.1681/asn.2020010071,,general_publication
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_rectal_veins,,For AS,reference
skin,PMID: 8752847,10.1111/1523-1747.ep12298323,"Robinson NA, LaCelle PT, Eckert RL. Involucrin is a covalently crosslinked constituent of highly purified epidermal corneocytes: evidence for a common pattern of involucrin crosslinking in vivo and in vitro. J Invest Dermatol. 1996 Jul;107(1):101-7.",reference
blood_vasculature,https://en.wikipedia.org/wiki/Lateral_sacral_veins,,For AS,reference
blood_vasculature,"Lalitha B, Rao EV. Morphology and Morphometry of Mental Foramen in Dry Adult South Indian Mandibles: A Cross-Sectional Study. Int J Sci Stud 2016;4(3):140-142.",10.17354/ijss/2016/337,For AS,reference
skin,PMID: 15194571,10.1136/ard.2003.013029,"Kunisch E, Fuhrmann R, Roth A, Winter R, Lungershausen W, Kinne RW. Macrophage specificity of three anti-CD68 monoclonal antibodies (KP1, EBM11, and PGM1) widely used for immunohistochemistry and flow cytometry. Ann Rheum Dis. 2004 Jul;63(7):774-84.",reference
skin,PMID: 31152755,10.1016/j.jid.2019.05.009,"Wilson RP, McGettigan SE, Dang VD, Kumar A, Cancro MP, Nikbakht N, Stohl W, Debes GF. IgM Plasma Cells Reside in Healthy Skin and Accumulate with Chronic Inflammation. J Invest Dermatol. 2019 Dec;139(12):2477-2487.",reference
liver,,10.3748/wjg.v12.i22.3523,,general_publication
peripheral_nervous_system,https://en.wikipedia.org/wiki/Glossopharyngeal_nerve,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Sigmoid_arteries,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Anterior_spinal_veins,,For AS,reference
lymph_nodes,"Angel CE, Chen CJ, Horlacher OC, Winkler S, John T, Browning J, MacGregor D, Cebon J, Dunbar PR. Distinctive localization of antigen-presenting cells in human lymph nodes. Blood. 2009 Feb 5;1136:1257-67. doi: 10.1182/blood-2008-06-165266. Epub 2008 Nov 5. PMID: 18987360; PMCID: PMC2687552.",10.1182/blood-2008-06-165266,"AS-CT,CT-B",reference
blood_vasculature,https://www.imaios.com/en/e-Anatomy/Anatomical-Parts/Accessory-vertebral-vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Suprascapular_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_thyroid_vein,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Trigeminal_nerve,,,reference
liver,,10.1053/j.gastro.2009.02.063,,general_publication
kidney,,10.1101/2021.07.28.454201,Supp Table 5,reference
blood_vasculature,https://en.wikipedia.org/wiki/Posterior_auricular_vein,,For AS,reference
kidney,PMID: 31249312. PMCID: PMC6597610,10.1038/s41467-019-10861-2,There is overlap of markers among the PT segments,reference
blood_vasculature,https://en.wikipedia.org/wiki/Right_gastroepiploic_vein,,For AS,reference
thymus,"Cosmi L, De Palma R, Santarlasci V, Maggi L, Capone M, Frosali F, Rodolico G, Querci V, Abbate G, Angeli R, Berrino L, Fambrini M, Caproni M, Tonelli F, Lazzeri E, Parronchi P, Liotta F, Maggi E, Romagnani S, Annunziato F. Human interleukin 17-producing cells originate from a CD161+CD4+ T cell precursor. J Exp Med. 2008 Aug 4;205(8):1903-16.",10.1084/jem.20080397,CT-B,reference
fallopian_tube,PMID: 25994820,,,reference
placenta full term,doi: 10.1172/JCI119387,10.1172/jci119387,,reference
placenta full term,doi: 10.1016/s1472-6483(10)61745-2,10.1016/s1472-6483(10)61745-2,,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Facial_nerve,,,reference
lymph_nodes,"Komohara Y, Ohnishi K, Takeya M. Possible functions of CD169-positive sinus macrophages in lymph nodes in anti-tumor immune responses. Cancer Sci. 2017 Mar;1083:290-295. doi: 10.1111/cas.13137. Epub 2017 Mar 7. PMID: 28002629; PMCID: PMC5378284.",10.1111/cas.13137,"AS,CT,B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_epigastric_artery,,For AS,reference
skin,PMID: 18714037,10.4049/jimmunol.181.5.3628,"Matsumoto M, Shigeta A, Miyasaka M, Hirata T. CD43 plays both antiadhesive and proadhesive roles in neutrophil rolling in a context-dependent manner. J Immunol. 2008 Sep 1;181(5):3628-35.",reference
kidney,,10.1038/s41467-019-10861-2,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Transverse_sinuses,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Cervical_spinal_nerve_8,,,reference
pancreas,PMID: 35440614,10.1038/s41467-022-29588-8,,general_publication
kidney,PMID: 31249312. PMCID: PMC6597610,10.1038/s41467-019-10861-2,"GATA3 may be in subpopulation of DCT, CNT and vSMC/P. SLC8A1, CALB1, TRPV5 (low to none); Low to No CALCA and KIT in C-CD-IC-A. It may not be possible to assign IC or PC to CNT or CD structures without regional information of their source.",reference
lymph_nodes,"Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;1784:1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.",10.1016/j.ajpath.2010.12.039,"AS,-CT, CT,B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Esophageal_branches_of_left_gastric_artery,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Meningeal_branches_of_spinal_nerve,,,reference
placenta full term,DOI: 10.1053/plac.2000.0559,10.1053/plac.2000.0559,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Plantar_venous_arch,,For AS,reference
kidney,PMID: 31249312. PMCID: PMC6597610,10.1038/s41467-019-10861-2,"no CD14, CD3, CD19, CD56, CD66B",reference
lymph_nodes,"Nguyen TT, Schwartz EJ, West RB, Warnke RA, Arber DA, Natkunam Y. Expression of CD163 hemoglobin scavenger receptor in normal tissues, lymphomas, carcinomas, and sarcomas is largely restricted to the monocyte/macrophage lineage. Am J Surg Pathol. 2005 May;295:617-24. doi: 10.1097/01.pas.0000157940.80538.ec. PMID: 15832085.",10.1097/01.pas.0000157940.80538.ec,AS-CT,reference
placenta full term,DOI: 10.1016/j.jim.2003.03.001,10.1016/j.jim.2003.03.001,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Palmar_metacarpal_arteries,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Perineal_artery,,For AS,reference
blood_vasculature,https://radiopaedia.org/articles/perforating-branches-of-internal-thoracic-artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_vena_cava,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Middle_cerebral_veins,,For AS,reference
lymph_nodes,"Girard JP, Moussion C, Fâˆšâˆ‚rster R. HEVs, lymphatics and homeostatic immune cell trafficking in lymph nodes. Nat Rev Immunol. 2012 Nov;1211:762-73. doi: 10.1038/nri3298. Epub 2012 Sep 28. PMID: 23018291.",10.1038/nri3298 2012,"AS-CT,CT,B",reference
blood_vasculature,"Nsaful, K., Gentil, S. 2020. The lateral supramalleolar flap as solution for lower leg, ankle and foot defects: a surgical case series. Bali Medical Journal 9(2): 572-576.",10.15562/bmj.v9i2.1812,For AS,reference
blood_vasculature,https://www.ncbi.nlm.nih.gov/books/NBK560912/,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Choroid,,For AS,reference
spleen,"Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395.",10.1369/jhc.4a6514.2005,,reference
large_intestine,PMID: 9916113 PMCID: PMC96409,10.1128/iai.67.2.946-953.1999,,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Greater_palatine_nerve,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Median_sacral_vein,,For AS,reference
blood_vasculature,https://www.imaios.com/en/e-Anatomy/Anatomical-Parts/Anterior-ciliary-veins,,For AS,reference
kidney,PMID: 31249312. PMCID: PMC6597610,10.1038/s41467-019-10861-2,There is overlap of markers among the PT segments; also from HuBMAP data,reference
blood_vasculature,"Y. Yamamoto, Chapter 78 - Small Artery Occlusive Diseases, Editor(s): Louis R. Caplan, JosÃ© Biller, Megan C. Leary, Eng H. Lo, Ajith J. Thomas, Midori Yenari, John H. Zhang, Primer on Cerebrovascular Diseases (Second Edition), Academic Press, 2017, Pages 377-383, ISBN 9780128030585.",10.1016/b978-0-12-803058-5.00078-3,For AS,reference
kidney,,10.1101/2021.07.28.454201,CLDN10 low; from papilla; in inner medulla may see heterogeneity with AQP1 pos and SLC14A2 neg. AQP1 may be absent in deep papilla near the bend of loop of Henle,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_sagittal_sinus,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Sural_arteries,,For AS,reference
skin,PMID: 6373634,10.1111/j.1365-4362.1984.tb05661.x,"Kahn HJ, Baumal R, Marks A. The value of immunohistochemical studies using antibody to S100 protein in dermatopathology. Int J Dermatol. 1984 Jan-Feb;23(1):38-44.",reference
blood_vasculature,https://en.wikipedia.org/wiki/Anterior_inferior_cerebellar_artery,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Posterior_branches_of_cervical_nerves,,,reference
bone_marrow,,10.1016/j.immuni.2017.04.019,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Right_gastroepiploic_artery,,For AS,reference
kidney,PMID: 31249312. PMCID: PMC6597610,10.1038/s41467-019-10861-2,SLC12A3 low to none,reference
blood_vasculature,https://www.imaios.com/en/e-Anatomy/Anatomical-Parts/Lacrimal-vein,,For AS,reference
lymph_nodes,"Ohtani O, Ohtani Y. Recent developments in morphology of lymphatic vessels and lymph nodes. Ann Vasc Dis. 2012;52:145-50. doi: 10.3400/avd.ra.11.00099. PMID: 23555502; PMCID: PMC3595868.",10.1038/s41577-020-0281-x,AS-CT,reference
blood_vasculature,https://en.wikipedia.org/wiki/Efferent_arteriole,,For AS,reference
pancreas,PMID: 35902743,,,general_publication
blood_vasculature,https://www.kenhub.com/en/library/anatomy/lumbar-veins,,For AS,reference
blood_vasculature,https://radiopaedia.org/articles/internal-pudendal-vein,,For AS,reference
uterus,,10.1101/2021.01.02.425073,,general_publication
thymus,"Tomaru U, Ishizu A, Murata S, Miyatake Y, Suzuki S, Takahashi S, Kazamaki T, Ohara J, Baba T, Iwasaki S, Fugo K, Otsuka N, Tanaka K, Kasahara M. Exclusive expression of proteasome subunit {beta}5t in the human thymic cortex. Blood. 2009 May 21;113(21):5186-91.",10.1182/blood-2008-11-187633,"AS-CT, CT-B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Heart,,For AS,reference
skin,PMID: 2248957,10.1021/bi00492a018,"Gan SQ, McBride OW, Idler WW, Markova N, Steinert PM. Organization, structure, and polymorphisms of the human profilaggrin gene. Biochemistry. 1990 Oct 9;29(40):9432-40. DOI: 10.1021/bi00492a018. Erratum in: Biochemistry. 1991 Jun 11;30(23):5814",reference
blood_vasculature,https://en.wikipedia.org/wiki/Glomerulus_(kidney),,For AS,reference
large_intestine,ISBN-13: 978-1496398949,,pages 652-653,reference
prostate,,10.1002/path.5751,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Deep_cervical_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Axillary_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superficial_palmar_branch_of_radial_artery,,For AS,reference
blood_vasculature,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,For AS,reference
skin,PMID: 23554249,10.1002/biot.201200199,"Wanjare M, Kusuma S, Gerecht S. Perivascular cells in blood vessel regeneration. Biotechnol J. 2013 Apr;8(4):434-47.",reference
blood_vasculature,https://www.dizziness-and-balance.com/anatomy/ear/vascular.html,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Left_colic_artery,,For AS,reference
skin,PMID: 2414369,10.1111/1523-1747.ep12277180,"Hori K, Hashimoto K, Eto H, Dekio S. Keratin type intermediate filaments in sweat gland myoepithelial cells. J Invest Dermatol. 1985 Nov;85(5):453-9.",reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Lumbar_nerves#Third_lumbar_nerve,,,reference
main-bronchus,,10.1152/physrev.00001.2018,,general_publication
spleen,"Steiniger, B.S., Pfeffer, H., Guthe, M. et al. Exploring human splenic red pulp vasculature in virtual reality: details of sheathed capillaries and the open capillary network. Histochem Cell Biol (2020).",10.1007/s00418-020-01924-3,"AS-CT, CT-B",reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Zygomatic_branches_of_the_facial_nervee,,,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Suboccipital_nerve,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_cerebellar_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_rectal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Deep_auricular_artery,,For AS,reference
eye,,10.1016/j.cell.2019.01.004,,general_publication
skin,PMID: 2158236,,"SchâˆšÂºrch W, Skalli O, LagacâˆšÂ© R, Seemayer TA, Gabbiani G. Intermediate filament proteins and actin isoforms as markers for soft-tissue tumor differentiation and origin. III. Hemangiopericytomas and glomus tumors. Am J Pathol. 1990 Apr;136(4):771-86.",reference
kidney,PMID: 31249312. PMCID: PMC6597610,10.1038/s41467-019-10861-2,"AQP1 low to none, also HUBMAP unpublished",reference
blood,,10.1126/science.aah4573,,general_publication
blood_vasculature,https://en.wikipedia.org/wiki/Meningeal_branch_of_occipital_artery,,For AS,reference
lymph_nodes,Atlas of Head and Neck Pathology- Lymph Nodes and Lymphatics,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Hepatic_artery_proper,,For AS,reference
spleen,"Erich M. Gaertner, MD, Maria Tsokos, MD, Gregory A. Derringer, MD, Thomas S. Neuhauser, MD, Cletus Arciero, MD, Jo-Ann W. Andriko, MD, Interdigitating Dendritic Cell Sarcoma: A Report of Four Cases and Review of the Literature, American Journal of Clinical Pathology, Volume 115, Issue 4, April 2001, Pages 589â€šÃ„Ã¬597.",10.1309/m95g-7dq2-tlql-7q11,,reference
blood_vasculature,https://basicmedicalkey.com/endocrine-system-3/,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Sacral_spinal_nerve_1,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Hyaloid_artery,,For AS,reference
lymph_nodes,"â‰ˆâ€ ajdâˆšâ‰ kovâˆšÂ°, M., & Fontana, J. 2014. Lymphatic System and Immunity / Lymphatic vessels and lymph. In Functions of Cells and Human Body. Prague: 3rd Faculty of Medicine, Charles Universit.",,"AS-CT, B",reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_epigastric_vein,,For AS,reference
skeleton,,,,general_publication
