,soma_joinid,organism,category,ontology_term_id,unique_cell_count,total_cell_count,label
36,36,Homo sapiens,cell_type,CL:0000062,374,3842,osteoblast
37,37,Homo sapiens,cell_type,CL:0000064,42395,43973,ciliated cell
38,38,Homo sapiens,cell_type,CL:0000065,5823,17734,ependymal cell
39,39,Homo sapiens,cell_type,CL:0000066,290185,476990,epithelial cell
40,40,Homo sapiens,cell_type,CL:0000067,9498,17179,ciliated epithelial cell
41,41,Homo sapiens,cell_type,CL:0000068,3127,6513,duct epithelial cell
42,42,Homo sapiens,cell_type,CL:0000071,153016,293916,blood vessel endothelial cell
43,43,Homo sapiens,cell_type,CL:0000075,129,129,columnar/cuboidal epithelial cell
44,44,Homo sapiens,cell_type,CL:0000076,9456,10044,squamous epithelial cell
45,45,Homo sapiens,cell_type,CL:0000077,26456,45698,mesothelial cell
46,46,Homo sapiens,cell_type,CL:0000079,56967,56967,stratified epithelial cell
47,47,Homo sapiens,cell_type,CL:0000081,53817,53817,blood cell
48,48,Homo sapiens,cell_type,CL:0000082,36715,76407,epithelial cell of lung
49,49,Homo sapiens,cell_type,CL:0000084,346203,526942,T cell
50,50,Homo sapiens,cell_type,CL:0000091,7083,28412,Kupffer cell
51,51,Homo sapiens,cell_type,CL:0000092,1336,4933,osteoclast
52,52,Homo sapiens,cell_type,CL:0000094,6604,16827,granulocyte
53,53,Homo sapiens,cell_type,CL:0000095,1728,1728,neuron associated cell
54,54,Homo sapiens,cell_type,CL:0000097,74809,142295,mast cell
55,55,Homo sapiens,cell_type,CL:0000099,314,560,interneuron
56,56,Homo sapiens,cell_type,CL:0000100,456,2756,motor neuron
57,57,Homo sapiens,cell_type,CL:0000103,1207,1499,bipolar neuron
58,58,Homo sapiens,cell_type,CL:0000113,1635,2872,mononuclear phagocyte
59,59,Homo sapiens,cell_type,CL:0000114,54,162,surface ectodermal cell
60,60,Homo sapiens,cell_type,CL:0000115,347008,609646,endothelial cell
61,61,Homo sapiens,cell_type,CL:0000120,91117,113617,granule cell
62,62,Homo sapiens,cell_type,CL:0000121,297519,370751,Purkinje cell
63,63,Homo sapiens,cell_type,CL:0000122,60284,75294,stellate neuron
64,64,Homo sapiens,cell_type,CL:0000123,63657,79325,neuron associated cell (sensu Vertebrata)
65,65,Homo sapiens,cell_type,CL:0000125,84279,110233,glial cell
66,66,Homo sapiens,cell_type,CL:0000126,28354,34090,macroglial cell
67,67,Homo sapiens,cell_type,CL:0000127,500467,900041,astrocyte
68,68,Homo sapiens,cell_type,CL:0000128,710242,1881077,oligodendrocyte
69,69,Homo sapiens,cell_type,CL:0000129,268114,370771,microglial cell
70,70,Homo sapiens,cell_type,CL:0000131,4546,8898,gut endothelial cell
71,71,Homo sapiens,cell_type,CL:0000132,1926,8394,corneal endothelial cell
72,72,Homo sapiens,cell_type,CL:0000134,45796,82465,mesenchymal stem cell
73,73,Homo sapiens,cell_type,CL:0000135,0,335,fibrocyte
74,74,Homo sapiens,cell_type,CL:0000136,21401,25672,fat cell
75,75,Homo sapiens,cell_type,CL:0000138,9245,9682,chondrocyte
76,76,Homo sapiens,cell_type,CL:0000145,10046,10159,professional antigen presenting cell
77,77,Homo sapiens,cell_type,CL:0000148,11112,34975,melanocyte
78,78,Homo sapiens,cell_type,CL:0000150,14001,17256,glandular epithelial cell
79,79,Homo sapiens,cell_type,CL:0000151,57815,180451,secretory cell
80,80,Homo sapiens,cell_type,CL:0000155,6557,9718,peptic cell
81,81,Homo sapiens,cell_type,CL:0000158,71015,116486,club cell
82,82,Homo sapiens,cell_type,CL:0000160,48132,56243,goblet cell
83,83,Homo sapiens,cell_type,CL:0000162,428,1283,parietal cell
84,84,Homo sapiens,cell_type,CL:0000163,8385,9522,endocrine cell
85,85,Homo sapiens,cell_type,CL:0000164,5382,13564,enteroendocrine cell
86,86,Homo sapiens,cell_type,CL:0000165,1991,4114,neuroendocrine cell
87,87,Homo sapiens,cell_type,CL:0000166,21055,26199,chromaffin cell
88,88,Homo sapiens,cell_type,CL:0000169,23320,35472,type B pancreatic cell
89,89,Homo sapiens,cell_type,CL:0000171,23201,34884,pancreatic A cell
90,90,Homo sapiens,cell_type,CL:0000173,4308,4326,pancreatic D cell
91,91,Homo sapiens,cell_type,CL:0000178,2793,5666,Leydig cell
92,92,Homo sapiens,cell_type,CL:0000182,29568,68911,hepatocyte
93,93,Homo sapiens,cell_type,CL:0000183,5078,5078,contractile cell
94,94,Homo sapiens,cell_type,CL:0000185,196,588,myoepithelial cell
95,95,Homo sapiens,cell_type,CL:0000186,61334,127150,myofibroblast cell
96,96,Homo sapiens,cell_type,CL:0000187,1407,2281,muscle cell
97,97,Homo sapiens,cell_type,CL:0000188,17464,20968,cell of skeletal muscle
98,98,Homo sapiens,cell_type,CL:0000189,809,1135,slow muscle cell
99,99,Homo sapiens,cell_type,CL:0000190,1933,2637,fast muscle cell
100,100,Homo sapiens,cell_type,CL:0000192,77186,122703,smooth muscle cell
101,101,Homo sapiens,cell_type,CL:0000209,9138,11520,taste receptor cell
102,102,Homo sapiens,cell_type,CL:0000210,12398,15407,photoreceptor cell
103,103,Homo sapiens,cell_type,CL:0000216,36473,73268,Sertoli cell
104,104,Homo sapiens,cell_type,CL:0000222,32740,83941,mesodermal cell
105,105,Homo sapiens,cell_type,CL:0000232,93610,396972,erythrocyte
106,106,Homo sapiens,cell_type,CL:0000233,47773,67631,platelet
107,107,Homo sapiens,cell_type,CL:0000234,334,334,phagocyte
108,108,Homo sapiens,cell_type,CL:0000235,721687,1419507,macrophage
109,109,Homo sapiens,cell_type,CL:0000236,908651,1049717,B cell
110,110,Homo sapiens,cell_type,CL:0000242,1140,1140,Merkel cell
111,111,Homo sapiens,cell_type,CL:0000253,298,2602,eurydendroid cell
112,112,Homo sapiens,cell_type,CL:0000255,1739,1739,eukaryotic cell
113,113,Homo sapiens,cell_type,CL:0000287,891,2673,eye photoreceptor cell
114,114,Homo sapiens,cell_type,CL:0000312,22282,41639,keratinocyte
115,115,Homo sapiens,cell_type,CL:0000313,2473,3976,serous secreting cell
116,116,Homo sapiens,cell_type,CL:0000319,2926,4007,mucus secreting cell
117,117,Homo sapiens,cell_type,CL:0000322,5440,5440,pneumocyte
118,118,Homo sapiens,cell_type,CL:0000359,59030,154978,vascular associated smooth muscle cell
119,119,Homo sapiens,cell_type,CL:0000362,446,446,epidermal cell
120,120,Homo sapiens,cell_type,CL:0000388,234,702,tendon cell
121,121,Homo sapiens,cell_type,CL:0000397,1398,1715,ganglion interneuron
122,122,Homo sapiens,cell_type,CL:0000432,1893,2307,reticular cell
123,123,Homo sapiens,cell_type,CL:0000442,177,398,follicular dendritic cell
124,124,Homo sapiens,cell_type,CL:0000451,85934,162323,dendritic cell
125,125,Homo sapiens,cell_type,CL:0000453,601,820,Langerhans cell
126,126,Homo sapiens,cell_type,CL:0000492,83757,179010,CD4-positive helper T cell
127,127,Homo sapiens,cell_type,CL:0000498,153087,184813,inhibitory interneuron
128,128,Homo sapiens,cell_type,CL:0000499,354240,429935,stromal cell
129,129,Homo sapiens,cell_type,CL:0000501,58762,112918,granulosa cell
130,130,Homo sapiens,cell_type,CL:0000502,56,143,type D enteroendocrine cell
131,131,Homo sapiens,cell_type,CL:0000503,4079,4079,theca cell
132,132,Homo sapiens,cell_type,CL:0000508,1413,4239,type G enteroendocrine cell
133,133,Homo sapiens,cell_type,CL:0000510,5079,5082,paneth cell
134,134,Homo sapiens,cell_type,CL:0000513,66335,66335,cardiac muscle myoblast
135,135,Homo sapiens,cell_type,CL:0000514,2938,2938,smooth muscle myoblast
136,136,Homo sapiens,cell_type,CL:0000525,38488,83244,syncytiotrophoblast cell
137,137,Homo sapiens,cell_type,CL:0000529,2000,27000,pigmented epithelial cell
138,138,Homo sapiens,cell_type,CL:0000531,59,1030,primary sensory neuron
139,139,Homo sapiens,cell_type,CL:0000540,2673669,7665340,neuron
140,140,Homo sapiens,cell_type,CL:0000542,40593,74175,lymphocyte
141,141,Homo sapiens,cell_type,CL:0000545,3318,3538,T-helper 1 cell
142,142,Homo sapiens,cell_type,CL:0000546,55,55,T-helper 2 cell
143,143,Homo sapiens,cell_type,CL:0000547,1627,1627,proerythroblast
144,144,Homo sapiens,cell_type,CL:0000548,7264,12094,animal cell
145,145,Homo sapiens,cell_type,CL:0000553,966,966,megakaryocyte progenitor cell
146,146,Homo sapiens,cell_type,CL:0000555,52646,65674,neuronal brush cell
147,147,Homo sapiens,cell_type,CL:0000556,32283,77373,megakaryocyte
148,148,Homo sapiens,cell_type,CL:0000557,3254,19119,granulocyte monocyte progenitor cell
149,149,Homo sapiens,cell_type,CL:0000558,305,605,reticulocyte
150,150,Homo sapiens,cell_type,CL:0000559,9561,40676,promonocyte
151,151,Homo sapiens,cell_type,CL:0000561,80353,144952,amacrine cell
152,152,Homo sapiens,cell_type,CL:0000569,315,317,cardiac mesenchymal cell
153,153,Homo sapiens,cell_type,CL:0000573,18774,31633,retinal cone cell
154,154,Homo sapiens,cell_type,CL:0000575,5512,33028,corneal epithelial cell
155,155,Homo sapiens,cell_type,CL:0000576,238454,429307,monocyte
156,156,Homo sapiens,cell_type,CL:0000577,2292,3945,type EC enteroendocrine cell
157,157,Homo sapiens,cell_type,CL:0000583,294840,692246,alveolar macrophage
158,158,Homo sapiens,cell_type,CL:0000584,194015,268815,enterocyte
159,159,Homo sapiens,cell_type,CL:0000586,14516,15525,germ cell
160,160,Homo sapiens,cell_type,CL:0000594,11178,19117,skeletal muscle satellite cell
161,161,Homo sapiens,cell_type,CL:0000595,202,202,enucleate erythrocyte
162,162,Homo sapiens,cell_type,CL:0000604,203842,276144,retinal rod cell
163,163,Homo sapiens,cell_type,CL:0000617,420594,533985,GABAergic neuron
164,164,Homo sapiens,cell_type,CL:0000622,16291,20569,acinar cell
165,165,Homo sapiens,cell_type,CL:0000623,768755,1150327,natural killer cell
166,166,Homo sapiens,cell_type,CL:0000624,1258976,1508920,"CD4-positive, alpha-beta T cell"
167,167,Homo sapiens,cell_type,CL:0000625,1235987,1477453,"CD8-positive, alpha-beta T cell"
168,168,Homo sapiens,cell_type,CL:0000630,18941,30009,supporting cell
169,169,Homo sapiens,cell_type,CL:0000632,6021,8477,hepatic stellate cell
170,170,Homo sapiens,cell_type,CL:0000636,52940,79710,Mueller cell
171,171,Homo sapiens,cell_type,CL:0000644,9145,25227,Bergmann glial cell
172,172,Homo sapiens,cell_type,CL:0000646,167374,398028,basal cell
173,173,Homo sapiens,cell_type,CL:0000649,26321,26321,prickle cell
174,174,Homo sapiens,cell_type,CL:0000650,44607,55774,mesangial cell
175,175,Homo sapiens,cell_type,CL:0000651,8983,26945,mucous neck cell
176,176,Homo sapiens,cell_type,CL:0000653,4637,7886,podocyte
177,177,Homo sapiens,cell_type,CL:0000667,1421,1421,collagen secreting cell
178,178,Homo sapiens,cell_type,CL:0000669,182375,324576,pericyte
179,179,Homo sapiens,cell_type,CL:0000670,3948,7712,primordial germ cell
180,180,Homo sapiens,cell_type,CL:0000677,477,2844,gut absorptive cell
181,181,Homo sapiens,cell_type,CL:0000679,1541605,1894047,glutamatergic neuron
182,182,Homo sapiens,cell_type,CL:0000680,254,254,muscle precursor cell
183,183,Homo sapiens,cell_type,CL:0000681,4206,7407,radial glial cell
184,184,Homo sapiens,cell_type,CL:0000682,772,1142,M cell of gut
185,185,Homo sapiens,cell_type,CL:0000695,411,411,Cajal-Retzius cell
186,186,Homo sapiens,cell_type,CL:0000696,761,761,PP cell
187,187,Homo sapiens,cell_type,CL:0000704,373,373,endothelial tip cell
188,188,Homo sapiens,cell_type,CL:0000706,7624,23002,choroid plexus epithelial cell
189,189,Homo sapiens,cell_type,CL:0000708,0,40,leptomeningeal cell
190,190,Homo sapiens,cell_type,CL:0000731,45,135,urothelial cell
191,191,Homo sapiens,cell_type,CL:0000738,41407,81393,leukocyte
192,192,Homo sapiens,cell_type,CL:0000740,41902,45833,retinal ganglion cell
193,193,Homo sapiens,cell_type,CL:0000745,16462,26219,retina horizontal cell
194,194,Homo sapiens,cell_type,CL:0000746,284321,746616,cardiac muscle cell
195,195,Homo sapiens,cell_type,CL:0000748,72924,72992,retinal bipolar neuron
196,196,Homo sapiens,cell_type,CL:0000749,18437,56680,ON-bipolar cell
197,197,Homo sapiens,cell_type,CL:0000750,15597,46934,OFF-bipolar cell
198,198,Homo sapiens,cell_type,CL:0000751,5207,5207,rod bipolar cell
199,199,Homo sapiens,cell_type,CL:0000763,110105,206810,myeloid cell
200,200,Homo sapiens,cell_type,CL:0000764,14334,14503,erythroid lineage cell
201,201,Homo sapiens,cell_type,CL:0000765,52846,64475,erythroblast
202,202,Homo sapiens,cell_type,CL:0000766,9989,12253,myeloid leukocyte
203,203,Homo sapiens,cell_type,CL:0000767,1265,2702,basophil
204,204,Homo sapiens,cell_type,CL:0000771,419,432,eosinophil
205,205,Homo sapiens,cell_type,CL:0000775,79571,134296,neutrophil
206,206,Homo sapiens,cell_type,CL:0000776,40,1745,immature neutrophil
207,207,Homo sapiens,cell_type,CL:0000782,3827,4288,myeloid dendritic cell
208,208,Homo sapiens,cell_type,CL:0000784,50622,71032,plasmacytoid dendritic cell
209,209,Homo sapiens,cell_type,CL:0000785,5919,12415,mature B cell
210,210,Homo sapiens,cell_type,CL:0000786,228552,312774,plasma cell
211,211,Homo sapiens,cell_type,CL:0000787,178285,261313,memory B cell
212,212,Homo sapiens,cell_type,CL:0000788,269675,345725,naive B cell
213,213,Homo sapiens,cell_type,CL:0000789,34587,48664,alpha-beta T cell
214,214,Homo sapiens,cell_type,CL:0000790,341,341,immature alpha-beta T cell
215,215,Homo sapiens,cell_type,CL:0000791,260726,260726,mature alpha-beta T cell
216,216,Homo sapiens,cell_type,CL:0000792,5855,5855,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
217,217,Homo sapiens,cell_type,CL:0000794,99080,126533,"CD8-positive, alpha-beta cytotoxic T cell"
218,218,Homo sapiens,cell_type,CL:0000796,1063,1063,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
219,219,Homo sapiens,cell_type,CL:0000798,124197,161802,gamma-delta T cell
220,220,Homo sapiens,cell_type,CL:0000800,16149,16149,mature gamma-delta T cell
221,221,Homo sapiens,cell_type,CL:0000802,1620,1620,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
222,222,Homo sapiens,cell_type,CL:0000807,1788,5364,DN3 thymocyte
223,223,Homo sapiens,cell_type,CL:0000808,32,96,DN4 thymocyte
224,224,Homo sapiens,cell_type,CL:0000809,104300,296392,"double-positive, alpha-beta thymocyte"
225,225,Homo sapiens,cell_type,CL:0000810,19965,22022,"CD4-positive, alpha-beta thymocyte"
226,226,Homo sapiens,cell_type,CL:0000811,7404,7624,"CD8-positive, alpha-beta thymocyte"
227,227,Homo sapiens,cell_type,CL:0000813,6473,33169,memory T cell
228,228,Homo sapiens,cell_type,CL:0000814,73718,107577,mature NK T cell
229,229,Homo sapiens,cell_type,CL:0000815,157798,243455,regulatory T cell
230,230,Homo sapiens,cell_type,CL:0000816,12263,19304,immature B cell
231,231,Homo sapiens,cell_type,CL:0000817,22513,23499,precursor B cell
232,232,Homo sapiens,cell_type,CL:0000818,30597,43153,transitional stage B cell
233,233,Homo sapiens,cell_type,CL:0000819,4619,16956,B-1 B cell
234,234,Homo sapiens,cell_type,CL:0000820,279,558,B-1a B cell
235,235,Homo sapiens,cell_type,CL:0000821,555,1110,B-1b B cell
236,236,Homo sapiens,cell_type,CL:0000822,15265,52467,B-2 B cell
237,237,Homo sapiens,cell_type,CL:0000823,70,158,immature natural killer cell
238,238,Homo sapiens,cell_type,CL:0000826,10862,35194,pro-B cell
239,239,Homo sapiens,cell_type,CL:0000827,12182,12182,pro-T cell
240,240,Homo sapiens,cell_type,CL:0000834,162,189,neutrophil progenitor cell
241,241,Homo sapiens,cell_type,CL:0000836,2900,12682,promyelocyte
242,242,Homo sapiens,cell_type,CL:0000837,12030,27408,hematopoietic multipotent progenitor cell
243,243,Homo sapiens,cell_type,CL:0000838,11685,11685,lymphoid lineage restricted progenitor cell
244,244,Homo sapiens,cell_type,CL:0000839,1878,1878,myeloid lineage restricted progenitor cell
245,245,Homo sapiens,cell_type,CL:0000841,17,51,mature conventional dendritic cell
246,246,Homo sapiens,cell_type,CL:0000842,242,242,mononuclear cell
247,247,Homo sapiens,cell_type,CL:0000843,19039,19039,follicular B cell
248,248,Homo sapiens,cell_type,CL:0000844,572,3929,germinal center B cell
249,249,Homo sapiens,cell_type,CL:0000860,1030996,1369142,classical monocyte
250,250,Homo sapiens,cell_type,CL:0000861,27795,116551,elicited macrophage
251,251,Homo sapiens,cell_type,CL:0000863,11213,22595,inflammatory macrophage
252,252,Homo sapiens,cell_type,CL:0000875,161963,224159,non-classical monocyte
253,253,Homo sapiens,cell_type,CL:0000878,89713,273633,central nervous system macrophage
254,254,Homo sapiens,cell_type,CL:0000890,16060,25119,alternatively activated macrophage
255,255,Homo sapiens,cell_type,CL:0000893,65406,73449,thymocyte
256,256,Homo sapiens,cell_type,CL:0000894,985,2955,DN1 thymic pro-T cell
257,257,Homo sapiens,cell_type,CL:0000895,698900,859599,"naive thymus-derived CD4-positive, alpha-beta T cell"
258,258,Homo sapiens,cell_type,CL:0000896,21691,26109,"activated CD4-positive, alpha-beta T cell"
259,259,Homo sapiens,cell_type,CL:0000897,129142,138766,"CD4-positive, alpha-beta memory T cell"
260,260,Homo sapiens,cell_type,CL:0000898,23182,26748,naive T cell
261,261,Homo sapiens,cell_type,CL:0000899,15134,16465,T-helper 17 cell
262,262,Homo sapiens,cell_type,CL:0000900,266552,320706,"naive thymus-derived CD8-positive, alpha-beta T cell"
263,263,Homo sapiens,cell_type,CL:0000903,3247,9762,natural T-regulatory cell
264,264,Homo sapiens,cell_type,CL:0000904,470618,523973,"central memory CD4-positive, alpha-beta T cell"
265,265,Homo sapiens,cell_type,CL:0000905,98177,122929,"effector memory CD4-positive, alpha-beta T cell"
266,266,Homo sapiens,cell_type,CL:0000906,22272,39428,"activated CD8-positive, alpha-beta T cell"
267,267,Homo sapiens,cell_type,CL:0000907,33761,36925,"central memory CD8-positive, alpha-beta T cell"
268,268,Homo sapiens,cell_type,CL:0000908,1493,4479,"CD8-positive, alpha-beta cytokine secreting effector T cell"
269,269,Homo sapiens,cell_type,CL:0000909,159617,258789,"CD8-positive, alpha-beta memory T cell"
270,270,Homo sapiens,cell_type,CL:0000910,385,385,cytotoxic T cell
271,271,Homo sapiens,cell_type,CL:0000913,251691,321804,"effector memory CD8-positive, alpha-beta T cell"
272,272,Homo sapiens,cell_type,CL:0000915,9434,25731,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell"
273,273,Homo sapiens,cell_type,CL:0000921,10950,21701,type I NK T cell
274,274,Homo sapiens,cell_type,CL:0000922,0,147,type II NK T cell
275,275,Homo sapiens,cell_type,CL:0000931,11568,11568,activated type II NK T cell
276,276,Homo sapiens,cell_type,CL:0000934,42719,54059,"CD4-positive, alpha-beta cytotoxic T cell"
277,277,Homo sapiens,cell_type,CL:0000936,2278,10719,early lymphoid progenitor
278,278,Homo sapiens,cell_type,CL:0000937,39,39,pre-natural killer cell
279,279,Homo sapiens,cell_type,CL:0000938,46414,59485,"CD16-negative, CD56-bright natural killer cell, human"
280,280,Homo sapiens,cell_type,CL:0000939,304440,325718,"CD16-positive, CD56-dim natural killer cell, human"
281,281,Homo sapiens,cell_type,CL:0000940,68851,79734,mucosal invariant T cell
282,282,Homo sapiens,cell_type,CL:0000954,1485,26273,small pre-B-II cell
283,283,Homo sapiens,cell_type,CL:0000956,542,1084,pre-B-I cell
284,284,Homo sapiens,cell_type,CL:0000957,876,32496,large pre-B-II cell
285,285,Homo sapiens,cell_type,CL:0000970,9989,10409,unswitched memory B cell
286,286,Homo sapiens,cell_type,CL:0000972,18554,22752,class switched memory B cell
287,287,Homo sapiens,cell_type,CL:0000979,2048,2048,IgG memory B cell
288,288,Homo sapiens,cell_type,CL:0000980,40954,51456,plasmablast
289,289,Homo sapiens,cell_type,CL:0000982,1107,4242,IgG plasmablast
290,290,Homo sapiens,cell_type,CL:0000984,956,3562,IgA plasmablast
291,291,Homo sapiens,cell_type,CL:0000985,9542,13235,IgG plasma cell
292,292,Homo sapiens,cell_type,CL:0000986,3651,3917,IgM plasma cell
293,293,Homo sapiens,cell_type,CL:0000987,41281,60144,IgA plasma cell
294,294,Homo sapiens,cell_type,CL:0000988,35828,36924,hematopoietic cell
295,295,Homo sapiens,cell_type,CL:0000990,81565,103914,conventional dendritic cell
296,296,Homo sapiens,cell_type,CL:0001024,2238,2238,"CD34-positive, CD38-negative hematopoietic stem cell"
297,297,Homo sapiens,cell_type,CL:0001029,1813,2370,common dendritic progenitor
298,298,Homo sapiens,cell_type,CL:0001031,4766,9532,cerebellar granule cell
299,299,Homo sapiens,cell_type,CL:0001042,18379,18379,T-helper 22 cell
300,300,Homo sapiens,cell_type,CL:0001043,9266,14331,"activated CD4-positive, alpha-beta T cell, human"
301,301,Homo sapiens,cell_type,CL:0001044,14897,30027,"effector CD4-positive, alpha-beta T cell"
302,302,Homo sapiens,cell_type,CL:0001049,470,1410,"activated CD8-positive, alpha-beta T cell, human"
303,303,Homo sapiens,cell_type,CL:0001050,74741,93873,"effector CD8-positive, alpha-beta T cell"
304,304,Homo sapiens,cell_type,CL:0001054,429861,429861,CD14-positive monocyte
305,305,Homo sapiens,cell_type,CL:0001056,4010,4470,"dendritic cell, human"
306,306,Homo sapiens,cell_type,CL:0001057,171,171,"myeloid dendritic cell, human"
307,307,Homo sapiens,cell_type,CL:0001058,4048,7318,"plasmacytoid dendritic cell, human"
308,308,Homo sapiens,cell_type,CL:0001061,40469,40469,abnormal cell
309,309,Homo sapiens,cell_type,CL:0001062,20649,37111,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"
310,310,Homo sapiens,cell_type,CL:0001063,53522,53522,neoplastic cell
311,311,Homo sapiens,cell_type,CL:0001064,571122,797557,malignant cell
312,312,Homo sapiens,cell_type,CL:0001065,32111,51214,innate lymphoid cell
313,313,Homo sapiens,cell_type,CL:0001066,773,773,"erythroid progenitor cell, mammalian"
314,314,Homo sapiens,cell_type,CL:0001069,524,2218,group 2 innate lymphoid cell
315,315,Homo sapiens,cell_type,CL:0001071,4441,27775,group 3 innate lymphoid cell
316,316,Homo sapiens,cell_type,CL:0001074,341,555,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human"
317,317,Homo sapiens,cell_type,CL:0001076,0,16978,"NKp46-positive innate lymphoid cell, human"
318,318,Homo sapiens,cell_type,CL:0001077,776,776,"ILC1, human"
319,319,Homo sapiens,cell_type,CL:0001078,2424,2594,"group 3 innate lymphoid cell, human"
320,320,Homo sapiens,cell_type,CL:0001079,584,611,"NKp44-positive group 3 innate lymphoid cell, human"
321,321,Homo sapiens,cell_type,CL:0001080,634,739,"NKp44-negative group 3 innate lymphoid cell, human"
322,322,Homo sapiens,cell_type,CL:0001081,93,93,"group 2 innate lymphoid cell, human"
323,323,Homo sapiens,cell_type,CL:0001082,28849,28875,immature innate lymphoid cell
324,324,Homo sapiens,cell_type,CL:0001203,12674,25348,"CD8-positive, alpha-beta memory T cell, CD45RO-positive"
325,325,Homo sapiens,cell_type,CL:0001204,19457,19457,"CD4-positive, alpha-beta memory T cell, CD45RO-positive"
326,326,Homo sapiens,cell_type,CL:0002009,31,31,macrophage dendritic cell progenitor
327,327,Homo sapiens,cell_type,CL:0002010,84,698,pre-conventional dendritic cell
328,328,Homo sapiens,cell_type,CL:0002028,611,611,basophil mast progenitor cell
329,329,Homo sapiens,cell_type,CL:0002038,42846,64783,T follicular helper cell
330,330,Homo sapiens,cell_type,CL:0002045,6717,21060,fraction A pre-pro B cell
331,331,Homo sapiens,cell_type,CL:0002048,659,19924,late pro-B cell
332,332,Homo sapiens,cell_type,CL:0002057,261782,261782,"CD14-positive, CD16-negative classical monocyte"
333,333,Homo sapiens,cell_type,CL:0002062,26699,75680,type I pneumocyte
334,334,Homo sapiens,cell_type,CL:0002063,135723,461574,type II pneumocyte
335,335,Homo sapiens,cell_type,CL:0002064,28750,39818,pancreatic acinar cell
336,336,Homo sapiens,cell_type,CL:0002071,4780,13814,enterocyte of epithelium of large intestine
337,337,Homo sapiens,cell_type,CL:0002075,743,916,brush cell of trachebronchial tree
338,338,Homo sapiens,cell_type,CL:0002079,19184,25294,pancreatic ductal cell
339,339,Homo sapiens,cell_type,CL:0002088,1474,3934,interstitial cell of Cajal
340,340,Homo sapiens,cell_type,CL:0002092,36,72,bone marrow cell
341,341,Homo sapiens,cell_type,CL:0002094,24823,49910,interstitial cell of ovary
342,342,Homo sapiens,cell_type,CL:0002097,328920,410019,cortical cell of adrenal gland
343,343,Homo sapiens,cell_type,CL:0002117,4345,4345,IgG-negative class switched memory B cell
344,344,Homo sapiens,cell_type,CL:0002129,23585,47087,regular atrial cardiac myocyte
