doi,in_asctb_5th,in_cellmarker,in_cxg,in_31_organ_PubMed_pubs,linked_organs,pub_year,article_title,authors,manually filled in_all,manually filled in_year,manually corrected_title
10.1002/cne.23144,0,1,0,0,,2012.0,Doublecortin and doublecortin-like are expressed in overlapping and non-overlapping neuronal cell population: implications for neurogenesis.,,FALSE,FALSE,FALSE
10.1002/cne.23821,1,0,0,0,,2016.0,"Identification of AⅡ amacrine, displaced amacrine, and bistratified ganglion cell types in human retina with antibodies against calretinin",,FALSE,FALSE,TRUE
10.1002/cne.24080,1,0,0,0,,2016.0,Comprehensive cellular-resolution atlas of the adult human brain.,,FALSE,FALSE,FALSE
10.1002/cne.902760106,1,0,0,0,,1988.0,Two types of tyrosine hydroxylase-immunoreactive amacrine cell in the rhesus monkey retina.,,FALSE,FALSE,FALSE
10.1002/cne.903480410,1,0,0,0,,1994.0,Immunocytochemical analysis of bipolar cells in the macaque monkey retina.,,FALSE,FALSE,FALSE
10.1002/cphy.c180015,1,0,0,0,,2018.0,Lymphatic Vessel Network Structure and Physiology.,,FALSE,FALSE,FALSE
10.1002/cphy.cp060142,1,0,0,0,,2011.0,Circulation of the pancreas and salivary glands,"Peter R. Kvietys, D. Neil Granger, Scot L. Harper",TRUE,FALSE,FALSE
10.1002/cptx.26,0,1,0,0,,2017.0,Intracellular Cytokine Detection by Flow Cytometry in Surface Marker-Defined Human Peripheral Blood Mononuclear T Cells.,,FALSE,FALSE,FALSE
10.1002/cptx.31,0,1,0,0,,2017.0,"Isolation, Cryopreservation, and Immunophenotyping of Human Peripheral Blood Mononuclear Cells.",,FALSE,FALSE,FALSE
10.1002/cti2.1079,1,0,0,0,,2019.0,"Human γδ T-cell receptor repertoire is shaped by influenza viruses, age and tissue compartmentalisation",,FALSE,FALSE,TRUE
10.1002/cyto.a.20039,0,1,0,0,,2004.0,B-cell subsets in blood and lymphoid organs in Macaca fascicularis.,,FALSE,FALSE,FALSE
10.1002/cyto.a.20133,1,0,0,0,,2005.0,"Flow cytometric analysis of CD41-labeled platelets isolated by the rapid, one-step OptiPrep method from human blood.",,FALSE,FALSE,FALSE
10.1002/cyto.a.20643,1,0,0,0,,2008.0,Phenotype and function of human T lymphocyte subsets: consensus and issues.,,FALSE,FALSE,FALSE
10.1002/cyto.a.21092,0,1,0,0,,2011.0,CD133 positive progenitor endothelial cell lines from human cord blood.,,FALSE,FALSE,FALSE
10.1002/cyto.a.22158,0,1,0,0,,2012.0,User-defined protein marker assay development for characterization of circulating tumor cells using the CellSearch® system,,FALSE,FALSE,TRUE
10.1002/cyto.a.22209,0,1,0,0,,2012.0,RchyOptimyx: cellular hierarchy optimization for flow cytometry.,,FALSE,FALSE,FALSE
10.1002/cyto.a.22420,0,1,0,0,,2014.0,Establishing the flow cytometric assessment of myeloid cells in kidney ischemia/reperfusion injury.,,FALSE,FALSE,FALSE
10.1002/cyto.a.22513,0,1,0,0,,2014.0,Human treg cells are characterized by low/negative CD6 expression.,,FALSE,FALSE,FALSE
10.1002/cyto.a.23724,1,0,0,0,,2019.0,Comprehensive Phenotyping of T Cells Using Flow Cytometry.,"Anniek B. van der Waart, Harry Dolstra, Willemijn Hobo, Anniek B. van der Waart, Harry Dolstra, Willemijn Hobo",FALSE,FALSE,FALSE
10.1002/cyto.b.20118,0,1,0,0,,2006.0,Optimization of a flow cytometry-based protocol for detection and phenotypic characterization of multipotent mesenchymal stromal cells from human bone marrow.,,FALSE,FALSE,FALSE
10.1002/cyto.b.21264,0,1,0,0,,2017.0,Evaluation of basophil activation test in suspected food hypersensitivity.,,FALSE,FALSE,FALSE
10.1002/cyto.b.21269,0,1,0,0,,2016.0,"Utility of CD54, CD229, and CD319 for the identification of plasma cells in patients with clonal plasma cell diseases.",,FALSE,FALSE,FALSE
10.1002/cyto.b.21373,0,1,0,0,,2017.0,CD19 negative precursor B acute lymphoblastic leukemia (B-ALL)-Immunophenotypic challenges in diagnosis and monitoring: A study of three cases.,,FALSE,FALSE,FALSE
10.1002/dmrr.1159,0,1,0,0,,2011.0,The decrement in circulating endothelial progenitor cells (EPCs) in type 2 diabetes is independent of the severity of the hypoadiponectemia.,,FALSE,FALSE,FALSE
10.1002/dvdy.24559,0,1,0,0,,2018.0,HMGB2 expression is associated with transition from a quiescent to an activated state of adult neural stem cells.,"Kinichi Nakashima, Taito Matsuda",FALSE,FALSE,FALSE
10.1002/eji.1830190709,0,1,0,0,,1989.0,Cell surface antigen CD5 is a marker for activated human B cells.,,FALSE,FALSE,FALSE
10.1002/eji.200425442,1,0,0,0,,2005.0,"Contribution of stromal cells to the migration, function and retention of plasma cells in human spleen: potential roles of CXCL12, IL-6 and CD54.",,FALSE,FALSE,FALSE
10.1002/eji.200425958,1,0,0,0,,2005.0,Limited correlation between human thymus and blood NKT cell content revealed by an ontogeny study of paired tissue samples.,,FALSE,FALSE,FALSE
10.1002/elps.201300364,0,1,0,0,,2014.0,CD133 and CD133-regulated nucleophosmin linked to 5-fluorouracil susceptibility in human colon cancer cell line SW620.,,FALSE,FALSE,FALSE
10.1002/gcc.20091,0,1,0,0,,2004.0,Application of combined immunofluorescence and fluorescence in situ hybridization on paraffin-embedded sections to characterize T-cell lymphoma with EBV-infected B-cell blasts.,,FALSE,FALSE,FALSE
10.1002/gcc.20604,0,1,0,0,,2008.0,Expression and mutational analysis of MET in human solid cancers.,,FALSE,FALSE,FALSE
10.1002/glia.22903,0,1,0,0,,2016.0,Generation of GFAP::GFP astrocyte reporter lines from human adult fibroblast-derived iPS cells using zinc-finger nuclease technology.,,FALSE,FALSE,FALSE
10.1002/hed.25158,0,1,0,0,,2018.0,"Prognostic implications of CD44, NANOG, OCT4, and BMI1 expression in tongue squamous cell carcinoma.",Lucyene Miguita Luiz,FALSE,FALSE,FALSE
10.1002/hep.1840040425,1,0,0,0,,1984.0,Immunocytochemical detection of desmin in fat-storing cells (Ito cells).,,FALSE,TRUE,FALSE
10.1002/hep.23544,0,1,0,0,,2010.0,Epigenetic regulation of cancer stem cell marker CD133 by transforming growth factor-beta.,,FALSE,FALSE,FALSE
10.1002/hep.24222,0,1,0,0,,2011.0,CD13: Waving the flag for a novel cancer stem cell target.,,FALSE,FALSE,FALSE
10.1002/hep.24693,0,1,0,0,,2012.0,Successful isolation of liver progenitor cells by aldehyde dehydrogenase activity in naïve mice,,FALSE,FALSE,TRUE
10.1002/hep.25890,0,1,0,0,,2012.0,Transcriptomic profiling reveals hepatic stem-like gene signatures and interplay of miR-200c and epithelial-mesenchymal transition in intrahepatic cholangiocarcinoma.,,FALSE,FALSE,FALSE
10.1002/hep.27235,0,1,0,0,,2015.0,Treatment response in the PIVENS trial is associated with decreased Hedgehog pathway activity.,,FALSE,FALSE,FALSE
10.1002/hep.27968,0,1,0,0,,2015.0,Signal transducer and activator of transcription 3-mediated CD133 up-regulation contributes to promotion of hepatocellular carcinoma.,,FALSE,FALSE,FALSE
10.1002/hep.29778,0,1,0,0,,2018.0,Single-cell analysis reveals cancer stem cell heterogeneity in hepatocellular carcinoma.,Xin Wei Wang,FALSE,FALSE,FALSE
10.1002/hon.2352,0,1,0,0,,2017.0,Human myeloid inhibitory C-lectin: a highly specific and stable acute myeloid leukemia marker.,,FALSE,FALSE,FALSE
10.1002/iid3.190,0,1,0,0,,2018.0,IL-12 and IL-15 induce the expression of CXCR6 and CD49a on peripheral natural killer cells.,Theresa Hydes,FALSE,FALSE,FALSE
10.1002/ijc.21449,0,1,0,0,,2006.0,Differential expression of TGFbeta-stimulated clone 22 in normal prostate and prostate cancer.,,FALSE,FALSE,FALSE
10.1002/ijc.25043,0,1,0,0,,2010.0,The effects of telomerase inhibition on prostate tumor-initiating cells.,,FALSE,FALSE,FALSE
10.1002/ijc.25546,0,1,0,0,,2011.0,Gamma-tocotrienol as an effective agent in targeting prostate cancer stem cell-like population.,,FALSE,FALSE,FALSE
10.1002/ijc.25787,0,1,0,0,,2011.0,Germline polymorphisms in genes involved in the CD44 signaling pathway are associated with clinical outcome in localized gastric adenocarcinoma.,,FALSE,FALSE,FALSE
10.1002/ijc.25967,0,1,0,0,,2012.0,Expression of aldehyde dehydrogenase and CD133 defines ovarian cancer stem cells.,,FALSE,FALSE,FALSE
10.1002/ijc.29382,0,1,0,0,,2015.0,Cell-surface Vimentin: A mislocalized protein for isolating csVimentin(+) CD133(-) novel stem-like hepatocellular carcinoma cells expressing EMT markers.,,FALSE,FALSE,FALSE
10.1002/jbm.a.34893,0,1,0,0,,2014.0,Effect of doping in carbon nanotubes on the viability of biomimetic chitosan-carbon nanotubes-hydroxyapatite scaffolds.,,FALSE,FALSE,FALSE
10.1002/jbm.a.36388,0,1,0,0,,2018.0,Osteogenic stimulation of human dental pulp stem cells with a novel gelatin-hydroxyapatite-tricalcium phosphate scaffold.,,FALSE,FALSE,FALSE
10.1002/jbm.b.33055,0,1,0,0,,2014.0,The beneficial effect of encapsulated human adipose-derived stem cells in alginate hydrogel on neural differentiation.,,FALSE,FALSE,FALSE
10.1002/jbmr.5650090106,0,1,0,0,,1994.0,CD44 expression in human bone: a novel marker of osteocytic differentiation.,,FALSE,FALSE,FALSE
10.1002/jcb.25807,0,1,0,0,,2017.0,Basic Fibroblast Growth Factor Regulates REX1 Expression Via IL-6 In Stem Cells Isolated From Human Exfoliated Deciduous Teeth.,,FALSE,FALSE,FALSE
10.1002/jcb.26434,0,1,0,0,,2018.0,"Unrestricted somatic stem cells, as a novel feeder layer: Ex vivo culture of human limbal stem cells.",Saeed Heidari Keshel,FALSE,FALSE,FALSE
10.1002/jcb.27114,0,1,0,0,,2018.0,Isolation and in vitro culture of ovarian stem cells in Chinese soft-shell turtle (Pelodiscus sinensis).,Hongyan Xu,FALSE,FALSE,FALSE
10.1002/jcla.1860060603,0,1,0,0,,1992.0,Simultaneous expression of type I procollagen mRNA and albumin in cirrhotic human liver.,,FALSE,FALSE,FALSE
10.1002/jcla.20001,1,0,0,0,,2004.0,Flow cytometric study of neutrophilic granulopoiesis in normal bone marrow using an expanded panel of antibodies: correlation with morphologic assessments.,,FALSE,FALSE,FALSE
10.1002/jcp.21827,0,1,0,0,,2009.0,"A novel osteoclast precursor cell line, 4B12, recapitulates the features of primary osteoclast differentiation and function: enhanced transfection efficiency before and after differentiation.",,FALSE,FALSE,FALSE
10.1002/jcp.22275,1,0,0,0,,2010.0,Keratinocyte stem cells: friends and foes.,,FALSE,FALSE,FALSE
10.1002/jcp.22329,0,1,0,0,,2011.0,Identification of human placenta-derived mesenchymal stem cells involved in re-endothelialization.,,FALSE,FALSE,FALSE
10.1002/jcp.22934,0,1,0,0,,2012.0,Efficient generation of functional hepatocyte-like cells from human fetal hepatic progenitor cells in vitro.,,FALSE,FALSE,FALSE
10.1002/jcp.23041,0,1,0,0,,2012.0,"Gefitinib resistance in HCC mahlavu cells: upregulation of CD133 expression, activation of IGF-1R signaling pathway, and enhancement of IGF-1R nuclear translocation.",,FALSE,FALSE,FALSE
10.1002/jcp.26238,0,1,0,0,,2018.0,"Novel nanohydrogel of hyaluronic acid loaded with quercetin alone and in combination with temozolomide as new therapeutic tool, CD44 targeted based, of glioblastoma multiforme.",Vincenzo Quagliariello,FALSE,FALSE,FALSE
10.1002/jlb.54.2.97,0,1,0,0,,1993.0,Activated neutrophils and neutrophil activators in human milk: increased expression of CD11b and decreased expression of L-selectin.,,FALSE,FALSE,FALSE
10.1002/jnr.10412,0,1,0,0,,2002.0,Engraftment of sorted/expanded human central nervous system stem cells from fetal brain.,,FALSE,FALSE,FALSE
10.1002/jor.22731,0,1,0,0,,2015.0,CD146 as a new marker for an increased chondroprogenitor cell sub-population in the later stages of osteoarthritis.,,FALSE,FALSE,FALSE
10.1002/jor.23449,0,1,0,0,,2017.0,Osteocyte physiology and response to fluid shear stress are impaired following exposure to cobalt and chromium: Implications for bone health following joint replacement.,,FALSE,FALSE,FALSE
10.1002/lary.20797,0,1,0,0,,2010.0,Characterization of mesenchymal stem cells from human vocal fold fibroblasts.,,FALSE,FALSE,FALSE
10.1002/lt.21436,0,1,0,0,,2008.0,Glial fibrillary acidic protein as an early marker of hepatic stellate cell activation in chronic and posttransplant recurrent hepatitis C.,,FALSE,FALSE,FALSE
10.1002/mc.20668,0,1,0,0,,2011.0,Establishment of an orthotopic transplantable gastric cancer animal model for studying the immunological effects of new cancer therapeutic modules.,,FALSE,FALSE,FALSE
10.1002/mc.22443,0,1,0,0,,2016.0,CD44 is functionally crucial for driving lung cancer stem cells metastasis through Wnt/β-catenin-FoxM1-Twist signaling,,FALSE,FALSE,TRUE
10.1002/mc.22448,0,1,0,0,,2016.0,The Ezh2 polycomb group protein drives an aggressive phenotype in melanoma cancer stem cells and is a target of diet derived sulforaphane.,,FALSE,FALSE,FALSE
10.1002/mc.22532,0,1,0,0,,2017.0,Krüppel-like factor 8 promotes cancer stem cell-like traits in hepatocellular carcinoma through Wnt/β-catenin signaling,,FALSE,FALSE,TRUE
10.1002/mrd.20105,0,1,0,0,,2004.0,Germ cells enter meiosis in a rostro-caudal wave during development of the mouse ovary.,,FALSE,FALSE,FALSE
10.1002/mrd.20298,0,1,0,0,,2005.0,Bovine mater-like NALP9 is an oocyte marker gene.,,FALSE,FALSE,FALSE
10.1002/mrd.20850,0,1,0,0,,2008.0,"Five azacytidine, a DNA methyltransferase inhibitor, specifically inhibits testicular cord formation and Sertoli cell differentiation in vitro.",,FALSE,FALSE,FALSE
10.1002/path.1711560403,0,1,0,0,,1988.0,Epithelial cell markers and proliferating cells in odontogenic jaw cysts.,,FALSE,FALSE,FALSE
10.1002/path.1711610107,0,1,0,0,,1990.0,Natural killer cells in cutaneous malignant melanoma.,,FALSE,FALSE,FALSE
10.1002/path.2597,0,1,0,0,,2009.0,The cancer stem cell marker CD133 has high prognostic impact but unknown functional relevance for the metastasis of human colon cancer.,,FALSE,FALSE,FALSE
10.1002/path.2793,0,1,0,0,,2011.0,Cancer stem cells: problems for therapy?,,FALSE,FALSE,FALSE
10.1002/path.4083,0,1,0,0,,2012.0,The increase of pericyte population in human neuromuscular disorders supports their role in muscle regeneration in vivo.,,FALSE,FALSE,FALSE
10.1002/path.4591,0,1,0,0,,2015.0,Genome-wide analysis of the oxyntic proliferative isthmus zone reveals ASPM as a possible gastric stem/progenitor cell marker over-expressed in cancer.,,FALSE,FALSE,FALSE
10.1002/path.4860,0,1,0,0,,2017.0,Tumour-associated macrophage-mediated survival of myeloma cells through STAT3 activation.,,FALSE,FALSE,FALSE
10.1002/path.5751,1,0,1,0,,2021.0,Single-cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions.,"Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand",FALSE,FALSE,FALSE
10.1002/pbc.24024,0,1,0,0,,2012.0,"DLK1, a serum marker for hepatoblastoma in young infants.",,FALSE,FALSE,FALSE
10.1002/pd.3894,0,1,0,0,,2012.0,Identification of circulating fetal cell markers by microarray analysis.,,FALSE,FALSE,FALSE
10.1002/pd.656,0,1,0,0,,2003.0,Applying a test system for discriminating fetal from maternal cells.,,FALSE,FALSE,FALSE
10.1002/pd.712,0,1,0,0,,2003.0,Rare cell isolation using antibodies covalently linked to slides: application to fetal cells in maternal blood.,,FALSE,FALSE,FALSE
10.1002/pmic.200800312,0,1,0,0,,2008.0,Stem cell markers: insights from membrane proteomics?,,FALSE,FALSE,FALSE
10.1002/pros.20578,0,1,0,0,,2007.0,Claudin-1 immunohistochemistry for distinguishing malignant from benign epithelial lesions of prostate.,,FALSE,FALSE,FALSE
10.1002/pros.20895,0,1,0,0,,2009.0,Oct4A is expressed by a subpopulation of prostate neuroendocrine cells.,,FALSE,FALSE,FALSE
10.1002/pros.20928,0,1,0,0,,2009.0,"Selective expression of CD44, a putative prostate cancer stem cell marker, in neuroendocrine tumor cells of human prostate cancer.",,FALSE,FALSE,FALSE
10.1002/pros.21274,0,1,0,0,,2011.0,Effective targeting of prostate cancer by lymphocytes redirected by a PSMA × CD3 bispecific single-chain diabody,,FALSE,FALSE,TRUE
10.1002/pros.24020,0,0,1,0,,2020.0,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate.,"Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten",FALSE,FALSE,FALSE
10.1002/ptr.5689,0,1,0,0,,2016.0,Apigenin Inhibits Cancer Stem Cell-Like Phenotypes in Human Glioblastoma Cells via Suppression of c-Met Signaling.,,FALSE,FALSE,FALSE
10.1002/rmb2.12371,1,0,0,0,,2021.0,The role of pituitary gonadotropins and intraovarian regulators in follicle development: A mini-review.,,FALSE,FALSE,FALSE
10.1002/(sici)1096-9861(19990816)411:1<19::aid-cne3>3.0.co,1,0,0,0,,,NOT FOUND,,TRUE,TRUE,FALSE
10.1002/(sici)1096-9861(19990816)411:1<19::aid-cne3>3.0.co;2-4,1,0,0,0,,1999.0,AII amacrine cells limit scotopic acuity in central macaque retina: A confocal analysis of calretinin labeling,"Stephen L. Mills, Stephen C. Massey",TRUE,FALSE,FALSE
10.1002/(sici)1096-9861(20000103)416:1<19::aid-cne3>3.0.co;2-h,1,0,0,0,,2000.0,Synaptic connections of DB3 diffuse bipolar cell axons in macaque retina.,,FALSE,FALSE,FALSE
10.1002/(sici)1096-9896(199909)189:1<105::aid-path388>3.0.co;2-0,0,1,0,0,,1999.0,CD34 expression as a novel marker of transformed mesangial cells in biopsied glomerular diseases.,,FALSE,FALSE,FALSE
10.1002/(sici)1097-0142(19980301)82:5<983::aid-cncr26>3.0.co;2-w,0,1,0,0,,1998.0,T gamma/delta hepatosplenic lymphoma in a heart transplant patient after an Epstein-Barr virus positive lymphoproliferative disorder: a case report.,,FALSE,FALSE,FALSE
10.1002/(sici)1097-0320(19991101)37:3<178::aid-cyto3>3.3.co;2-q,0,1,0,0,,1999.0,Human basophils express CD22 without expression of CD19.,,FALSE,FALSE,FALSE
10.1002/(sici)1097-0320(20000501)40:1<69::aid-cyto9>3.0.co;2-7,0,1,0,0,,2000.0,Importance of the CD3 marker for evaluating changes in rhesus macaque CD4/CD8 T-cell ratios.,,FALSE,FALSE,FALSE
10.1002/(sici)1097-4547(19981001)54:1<79::aid-jnr9>3.0.co;2-e,0,1,0,0,,1998.0,"Monoclonal antibody 14F7, which recognizes a stage-specific immature oligodendrocyte surface molecule, inhibits oligodendrocyte differentiation mediated in co-culture with astrocytes.",,FALSE,FALSE,FALSE
10.1002/stem.1166,0,1,0,0,,2012.0,Directing differentiation of human embryonic stem cells toward anterior neural ectoderm using small molecules.,,FALSE,FALSE,FALSE
10.1002/stem.1207,1,0,0,0,,2012.0,Stem-like epithelial cells are concentrated in the distal end of the fallopian tube: a site for injury and serous cancer initiation.,,FALSE,FALSE,FALSE
10.1002/stem.1233,0,1,0,0,,2012.0,Monoclonal antibodies against Lgr5 identify human colorectal cancer stem cells.,,FALSE,FALSE,FALSE
10.1002/stem.1282,0,1,0,0,,2013.0,Expression of integrin α2 receptor in human cord blood CD34+CD38-CD90+ stem cells engrafting long-term in NOD/SCID-IL2Rγ(c) null mice,,FALSE,FALSE,TRUE
